XINPUT1_3.dll                 0x000000400000
d3d11.dll                     0x000010000000
steam_api64.dll               0x00005FB00000
X3DAudio1_7.dll               0x00005FDF0000
tbbmalloc.dll                 0x000180000000
tbb.dll                       0x02AEA5E00000
ENB.dll                       0x02AEA7E90000
Fallout4.exe                  0x7FF7D3D50000
nvrtum64.dll                  0x7FFDDACC0000
nvcuda64.dll                  0x7FFDDF230000
steamclient64.dll             0x7FFDE08D0000
vulkan-1.dll                  0x7FFDFE320000
d3dcompiler_46e.dll           0x7FFDFE470000
graphics-hook64.dll           0x7FFDFEC30000
VkLayer_steam_fossilize64.dll 0x7FFDFEC80000
d3d11_vulkan.dll              0x7FFDFED20000
gameoverlayrenderer64.dll     0x7FFDFEEE0000
transfer_settlements.dll      0x7FFDFF070000
wsfw_identifier.dll           0x7FFDFF6A0000
terminal+.dll                 0x7FFDFF7A0000
PRKF.dll                      0x7FFDFF8F0000
PowerGridTools.dll            0x7FFDFF980000
PipboyTabs.dll                0x7FFDFF9F0000
UnlimitedSurvivalMode.dll     0x7FFE00AC0000
mcm.dll                       0x7FFE00BF0000
f4ee.dll                      0x7FFE00C90000
ClassicHolsteredWeapons.dll   0x7FFE00DA0000
Buffout4.dll                  0x7FFE00E50000
ESPExplorer.dll               0x7FFE016E0000
BulletCountedReload.dll       0x7FFE01740000
BetterConsole.dll             0x7FFE017D0000
place.dll                     0x7FFE01840000
D3DCOMPILER_43.dll            0x7FFE018C0000
HighFPSPhysicsFix.dll         0x7FFE01D90000
tier0_s64.dll                 0x7FFE01E20000
f4se_1_10_163.dll             0x7FFE02050000
crafting_highlight_fix.dll    0x7FFE023E0000
ConsoleUtilF4.dll             0x7FFE04B00000
pppl.dll                      0x7FFE056F0000
achievements.dll              0x7FFE066C0000
vstdlib_s64.dll               0x7FFE06700000
cudart64_75.dll               0x7FFE06790000
GFSDK_GodraysLib.x64.dll      0x7FFE067F0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE08CB0000
flexRelease_x64.dll           0x7FFE08D40000
WINHTTP.dll                   0x7FFE098A0000
d3dx11_43.dll                 0x7FFE09B00000
usvfs_x64.dll                 0x7FFE09BE0000
flexExtRelease_x64.dll        0x7FFE0B620000
MSVCR110.dll                  0x7FFE161A0000
MSVCP110.dll                  0x7FFE16280000
MSVCP140.dll                  0x7FFE29060000
bink2w64.dll                  0x7FFE293E0000
f4se_steam_loader.dll         0x7FFE29AB0000
VCRUNTIME140.dll              0x7FFE2C640000
Secur32.dll                   0x7FFE2E020000
COMCTL32.dll                  0x7FFE30B00000
MSIMG32.dll                   0x7FFE344C0000
WeaponDebrisCrashFix.dll      0x7FFE34620000
SprintStutteringFix.dll       0x7FFE34760000
textinputframework.dll        0x7FFE3FB20000
MSVCP140_ATOMIC_WAIT.dll      0x7FFE403B0000
VCRUNTIME140_1.dll            0x7FFE403D0000
WINMM.dll                     0x7FFE42650000
nvapi64.dll                   0x7FFE42690000
drvstore.dll                  0x7FFE43B50000
cryptnet.dll                  0x7FFE43CA0000
dxcore.dll                    0x7FFE43D50000
VERSION.dll                   0x7FFE45570000
WINHTTP.DLL                   0x7FFE464A0000
nvToolsExt64_1.dll            0x7FFE46DF0000
wintypes.dll                  0x7FFE47D20000
CoreUIComponents.dll          0x7FFE495C0000
CoreMessaging.dll             0x7FFE49920000
apphelp.dll                   0x7FFE49C30000
UxTheme.dll                   0x7FFE49D20000
dwmapi.dll                    0x7FFE49FE0000
windows.storage.dll           0x7FFE4A4B0000
dbghelp.dll                   0x7FFE4AD00000
HID.DLL                       0x7FFE4AFE0000
kernel.appcore.dll            0x7FFE4AFF0000
gpapi.dll                     0x7FFE4B010000
