[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     CleanMySettlement.esm
[0A]     Unofficial Fallout 4 Patch.esp
[0B]     SouthOfTheSea.esm
[0C]     HUDFramework.esm
[0D]     XDI.esm
[0E]     a149 My Little Armor.esm
[0F]     T6M_BurstFireFramework.esm
[10]     FatherCompanion.esp
[11]     InstituteReformation.esp
[12]     TacticalReload.esm
[13]     LegendariesTheyCanUse.esp
[14]     Depravity.esp
[15]     WorkshopFramework.esm
[16]     SS2.esm
[17]     SS2_XPAC_Chapter2.esm
[18]     AAF.esm
[19]     Armament.esp
[1A]     Ketaros_Treasures.esp
[1B]     AGNISNikaCola01.esp
[1C]     OutcastsAndRemnants.esp
[1D]     ProjectValkyrie.esp
[1E]     AA FusionCityRising.esp
[1F]     PACE.esm
[20]     AA FusionCityRising - HotC.esp
[21]     PersistentVolumeSliders.esp
[22]     AllSetsExtended.esp
[23]     KSHairdos.esp
[24]     KSHairdos_oel.esp
[25]     Facials.esp
[26]     NoSharedDogmeatTemplate.esp
[27]     KSHairsFemsheppingRadbeetle.esp
[28]     LooksMenu Customization Compendium.esp
[29]     HN66Fo4_Rings.esp
[2A]     ESPExplorerFO4.esp
[2B]     Reverb and Ambiance Overhaul.esp
[2C]     HHFootsteps.esp
[2D]     HN66-SiriusArmor.esp
[2E]     HN66Fo4_EasyGirl_BS.esp
[2F]     HN66Fo4_EarringsV1.esp
[30]     HN66Fo4_Nails.esp
[31]     ECO.esp
[32]     KetPatch01.esp
[33]     3dscopes.esp
[34]     WeaponModFixes-GOTY.esp
[35]     The Eyes Of Beauty.esp
[36]     TBOS-AntoHairPack.esp
[37]     Playable Synth Eyes.esp
[38]     SS2 Excess Resource Manager.esp
[39]     SS2_CityPlanContestAssistant.esp
[3A]     SS2_MsB_PlainPlans.esp
[3B]     ss2radiantpower.esp
[3C]     WestTekTacticalOptics.esp
[3D]     DOOMCatalyst.esp
[3E]     SovietAssaultPack.esp
[3F]     Radium.esp
[40]     Scopes.esp
[41]     ScopeOverlayDOF.esp
[42]     Eli_Armour_Compendium.esp
[43]     WorkshopPlus.esp
[44]     DeadlierDeathclaws.esp
[45]     Metro Gas Masks.esp
[46]     Altyn Assault Helmet.esp
[47]     WattzLaserGun.esp
[48]     Nuka World Bottle Fix.esp
[49]     CheatTerminal.esp
[4A]     NoSettlementQuestsAIODLC.esp
[4B]     SS2Extended.esp
[4C]     Skb_RiflesRebirth.esp
[4D]     Croup Manor Navmesh - retakrew7.esp
[4E]     InstituteSettlements2.esp
[4F]     Mk41GyrojetHMG.esp
[50]     SKKFastReunions.esp
[51]     SS2_FDK_TinyLiving.esp
[52]     ABundleofTape.esp
[53]     CreationClubDelay.esp
[54]     9mmPistol.esp
[55]     F4NVServiceRifleRedux.esp
[56]     ChineseStealthSuit.esp
[57]     CF_AtomicWarlord.esp
[58]     BetterSettlers.esp
[59]     LAER.esp
[5A]     SS2HappyTrails.esp
[5B]     Wana_SA58.esp
[5C]     SS2WastelandVenturers.esp
[5D]     SS2_SIMPDDDD.esp
[5E]     AtomsGloryThreads.esp
[5F]     [SS20Addon] SimSettlements SuperStructures.esp
[60]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[61]     SS2-Jampads2.esp
[62]     SS2-PraRandomAddon.esp
[63]     SS2_ruined_simsettlement_addonpack.esp
[64]     SS2Addon_FPh_AlleyCabaret.esp
[65]     SS2_Addon_R2R.esp
[66]     TotalHackRevisited.esp
[67]     FO4 NPCs Travel.esp
[68]     Eli_NukaStuff.esp
[69]     LeeEnfieldNo4MkI.esp
[6A]     BullpupBozar.esp
[6B]     DP_CaravanShotgun.esp
[6C]     SigSauer127.esp
[6D]     HuntingShotgun.esp
[6E]     SelectRapidMG.esp
[6F]     JunkTownTwo.esp
[70]     SS2_Addon_FHE.esp
[71]     GtN_SettlersatPlay.esp
[72]     SettlementMenuManager.esp
[73]     Better_Settlement_Defence.esp
[74]     SKKFastBOS.esp
[75]     SKKFastMinutemen.esp
[76]     SKKCombatSettlers.esp
[77]     SKKUnlockCompanions.esp
[78]     rfortaleza2.esp
[79]     HoloTime.esp
[7A]     AA Lots More Settlers and Enemies.esp
[7B]     AA LMSE_FarHarbor.esp
[7C]     Lost Souls No Hostility.esp
[7D]     CriticalHitsOutsideofVATS.esp
[7E]     AEWS.esp
[7F]     Automatron Protectrons Expanded.esp
[80]     autoweapons.esp
[81]     AutomatronUnlockedNukaParts.esp
[82]     Reload Sounds.esp
[83]     SKKOmodStripper.esp
[84]     rpampas.esp
[85]     QuickTrade.esp
[86]     Sjogren.esp
[87]     GreaseRatGarbs.esp
[88]     HuntingRevolver.esp
[89]     OWR.esp
[8A]     OWR2.esp
[8B]     G3Family.esp
[8C]     pulsecarbine.esp
[8D]     SelectMarksman.esp
[8E]     Zapgun.esp
[8F]     22LR_SilentPistol_ENG.esp
[90]     American180nv.esp
[91]     F4CW10mmSMG.esp
[92]     GreaseGunSMG.esp
[93]     SA80.esp
[94]     QBZ191.esp
[95]     Ketaros_MissingMags.esp
[96]     SS2CaravanSnatex.esp
[97]     Classic Combat Armor.esp
[98]     HN66-SiriusArmor-SEV.esp
[99]     Laser Weapon Reanimated.esp
[9A]     F4NV-N99.esp
[9B]     X12Plasmacaster.esp
[9C]     AER15.esp
[9D]     Archimedes-II.esp
[9E]     ClassicSniper.esp
