XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000059D00000
steam_api64.dll                    0x000059D10000
Fallout4.exe                       0x7FF68ADD0000
steamclient64.dll                  0x7FFD4EF00000
DSOUND.DLL                         0x7FFD56AB0000
gameoverlayrenderer64.dll          0x7FFD5D220000
XAudio2_7.dll                      0x7FFD5D5C0000
XDI.dll                            0x7FFD5D650000
weaponInstanceExtended.dll         0x7FFD5D6C0000
IPHLPAPI.DLL                       0x7FFD5D910000
wsfw_identifier.dll                0x7FFD5E320000
Buffout4.dll                       0x7FFD5E420000
UneducatedShooter.dll              0x7FFD62C50000
ProjectMojave.dll                  0x7FFD634D0000
UnlimitedSurvivalMode.dll          0x7FFD6CE70000
PRKF.dll                           0x7FFD6CF50000
po3_SpellPerkItemDistributorF4.dll 0x7FFD6CFE0000
SimpleImpact.dll                   0x7FFD6F5E0000
NVIDIA_Reflex.dll                  0x7FFD6F650000
mcm.dll                            0x7FFD70310000
HUDPlusPlus.dll                    0x7FFD703B0000
nvwgf2umx.dll                      0x7FFD722A0000
HighFPSPhysicsFix.dll              0x7FFD79CE0000
BakaScrapHeap.dll                  0x7FFD79D70000
BakaFramework.dll                  0x7FFD79E40000
BulletCountedReload.dll            0x7FFD7A0C0000
PrivateProfileRedirector.dll       0x7FFD7B010000
PowerGridTools.dll                 0x7FFD7B0F0000
tier0_s64.dll                      0x7FFD7B160000
tagpatch.dll                       0x7FFD7EAE0000
f4se_1_10_163.dll                  0x7FFD7EBF0000
vstdlib_s64.dll                    0x7FFD80120000
nvspcap64.dll                      0x7FFD80370000
pppl.dll                           0x7FFD827C0000
faster_workshop.dll                0x7FFD82F80000
def_ui.dll                         0x7FFD85BE0000
VCRUNTIME140.dll                   0x7FFD8D320000
MSVCP140.dll                       0x7FFD8D340000
VCRUNTIME140_1.dll                 0x7FFD8D800000
crafting_highlight_fix.dll         0x7FFD8F480000
tbbmalloc.dll                      0x7FFDA00B0000
AutoBeam.dll                       0x7FFDA5960000
cc_cleaner.dll                     0x7FFDA6EE0000
cudart64_75.dll                    0x7FFDA6F30000
GFSDK_GodraysLib.x64.dll           0x7FFDA6F90000
f4se_steam_loader.dll              0x7FFDA8C20000
GFSDK_SSAO_D3D11.win64.dll         0x7FFDA8CB0000
flexExtRelease_x64.dll             0x7FFDA8D40000
flexRelease_x64.dll                0x7FFDA8DE0000
MSVCR110.dll                       0x7FFDA8F30000
PriorityMod.dll                    0x7FFDA9050000
MSVCP110.dll                       0x7FFDA9080000
bink2w64.dll                       0x7FFDA9130000
AmmoRemover.dll                    0x7FFDA9300000
usvfs_x64.dll                      0x7FFDAA2B0000
d3d11.dll                          0x7FFDAA910000
MSVCP140_ATOMIC_WAIT.dll           0x7FFDADDE0000
WeaponDebrisCrashFix.dll           0x7FFDADE30000
COMCTL32.dll                       0x7FFDB1BC0000
InputHost.dll                      0x7FFDB6140000
nvToolsExt64_1.dll                 0x7FFDB6ED0000
MSIMG32.dll                        0x7FFDB7400000
WINSPOOL.DRV                       0x7FFDB75C0000
Windows.UI.dll                     0x7FFDB7960000
Secur32.dll                        0x7FFDB7B10000
textinputframework.dll             0x7FFDB8080000
AUDIOSES.DLL                       0x7FFDBD680000
OLEACC.dll                         0x7FFDBEF60000
winmmbase.dll                      0x7FFDBEFD0000
WINMM.dll                          0x7FFDC0400000
nvapi64.dll                        0x7FFDC04E0000
nvldumdx.dll                       0x7FFDC0FE0000
dxcore.dll                         0x7FFDC1820000
MMDevApi.dll                       0x7FFDC28F0000
DbgHelp.dll                        0x7FFDC38E0000
drvstore.dll                       0x7FFDC41F0000
VERSION.dll                        0x7FFDC4340000
cryptnet.dll                       0x7FFDC4420000
WINHTTP.dll                        0x7FFDC4C00000
twinapi.appcore.dll                0x7FFDC5100000
WindowManagementAPI.dll            0x7FFDC5300000
avrt.dll                           0x7FFDC56F0000
PROPSYS.dll                        0x7FFDC5B30000
d3d11.Dll                          0x7FFDC5CB0000
wintypes.dll                       0x7FFDC6A80000
DComp.dll                          0x7FFDC6BF0000
CoreUIComponents.dll               0x7FFDC7160000
CoreMessaging.dll                  0x7FFDC74C0000
UxTheme.dll                        0x7FFDC7910000
resourcepolicyclient.dll           0x7FFDC7A90000
DWMAPI.dll                         0x7FFDC7BA0000
kernel.appcore.dll                 0x7FFDC7E90000
windows.storage.dll                0x7FFDC8090000
HID.DLL                            0x7FFDC8830000
dxgi.dll                           0x7FFDC8870000
ntmarta.dll                        0x7FFDC8C80000
rsaenh.dll                         0x7FFDC9050000
UMPDC.dll                          0x7FFDC93C0000
IpHlpAPI.dll                       0x7FFDC93E0000
powrprof.dll                       0x7FFDC9550000
MSWSOCK.dll                        0x7FFDC9740000
CRYPTSP.dll                        0x7FFDC9930000
CRYPTBASE.DLL                      0x7FFDC9950000
Wldp.dll                           0x7FFDC99E0000
msasn1.dll                         0x7FFDC9B70000
devobj.dll                         0x7FFDC9D50000
SSPICLI.DLL                        0x7FFDC9E40000
profapi.dll                        0x7FFDC9EC0000
WINTRUST.DLL                       0x7FFDC9F80000
bcrypt.dll                         0x7FFDC9FF0000
win32u.dll                         0x7FFDCA020000
CRYPT32.dll                        0x7FFDCA100000
KERNELBASE.dll                     0x7FFDCA260000
cfgmgr32.dll                       0x7FFDCA530000
msvcp_win.dll                      0x7FFDCA580000
bcryptPrimitives.dll               0x7FFDCA620000
ucrtbase.dll                       0x7FFDCA6B0000
gdi32full.dll                      0x7FFDCA7B0000
OLEAUT32.dll                       0x7FFDCA8C0000
SHLWAPI.dll                        0x7FFDCA990000
COMDLG32.dll                       0x7FFDCAA00000
GDI32.dll                          0x7FFDCAAE0000
shcore.dll                         0x7FFDCAB10000
sechost.dll                        0x7FFDCABC0000
SHELL32.dll                        0x7FFDCAC60000
USER32.dll                         0x7FFDCB3B0000
IMM32.DLL                          0x7FFDCB780000
MSCTF.dll                          0x7FFDCB7B0000
ADVAPI32.dll                       0x7FFDCB8D0000
ole32.dll                          0x7FFDCB980000
