[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     CALIBER-COMPLEX.esm
[0A]     WorkshopFramework.esm
[0B]     HUDFramework.esm
[0C]     TrueStormsFO4.esm
[0D]     PACE.esm
[0E]     PANPC.esm
[0F]     XDI.esm
[10]     DamnApocalypse_CORE.esm
[11]     SS2.esm
[12]     SS2_XPAC_Chapter2.esm
[13]     CWPointLookoutFO4.esm
[14]     MutantMenagerie.esm
[15]     MutantMenagerie_FarHarbor.esm
[16]     MutantMenagerie_NukaWorld.esm
[17]     MutantMenagerie_PointLookout.esm
[18]     SouthOfTheSea.esm
[19]     ProjectMojave.esm
[1A]     CWWorkshopMaster.esm
[1B]     NewCalibers.esp
[1C]     Kermie's Explosives Complex.esp
[1D]     SimpleBounties.esp
[1E]     Armorsmith Extended.esp
[1F]     Atomic World.esp
[20]     Firelance2.5.esp
[21]     Depravity.esp
[22]     SS2Extended.esp
[23]     TU3SD4Y'S Commonwealth Responders.esp
[24]     LR_APCTransport.esp
[25]     LR_APCFarHarborExspansion.esp
[26]     LR_APCNukaWorldExspansion.esp
[27]     Custom Concrete with Glass.esp
[28]     ImmersiveVendors.esp
[29]     More Scavenging Stations.esp
[2A]     EnclaveX02.esp
[2B]     Northland Diggers New.esp
[2C]     CWCreateABot.esp
[2D]     RecruitableSettlers.esp
[2E]     SalvageBeacons.esp
[2F]     ScrapButton.esp
[30]     mso_sms.esp
[31]     SettlementMenuManager.esp
[32]     SettlementTeleporters.esp
[33]     MojaveImports.esp
[34]     MojaveImports - Combat Addon.esp
[35]     Scopes.esp
[36]     PD_VisualReload.esp
[37]     Strong Back - Improved -- Far Harbor.esp
[38]     QuickTrade.esp
[39]     SCM.esp
[3A]     GCM.esp
[3B]     QuickSwap.esp
[3C]     SlowTime.esp
[3D]     CriticalHitsOutsideofVATS.esp
[3E]     CROSS_GoreCrits.esp
[3F]     DD_Khassar_De_Templari_Increased_build.esp
[40]     DynamicInteriorFogRemoval.esp
[41]     HoloTime.esp
[42]     MoreAGOMBz.esp
[43]     QuickWeaponSwap.esp
[44]     SKKCombatStalkers.esp
[45]     SKKPlayerUndead.esp
[46]     SKKMutations76.esp
[47]     SKKRESystemManager.esp
[48]     SKKSurvivalUtilities.esp
[49]     ToggleFanning.esp
[4A]     ToggleableHightechVisionModes.esp
[4B]     llamaCompanionHeather.esp
[4C]     EFF.esp
[4D]     KSHairdos.esp
[4E]     OWR.esp
[4F]     Reverb and Ambiance Overhaul.esp
[50]     UltraExteriorLighting.esp
[51]     UltraInteriorLighting.esp
[52]     EBSO.esp
[53]     dD-Enhanced Blood.esp
[54]     HeadWounds.esp
[55]     InstitWeapPosit.esp
[56]     Immersive HUD.esp
[57]     PowerArmorHUD.esp
[58]     Be Exceptional.esp
[59]     HumblePerksPack.esp
[5A]     Perks76.esp
[5B]     YouAreSPECIAL.esp
[5C]     DX_Black_Widow.esp
[5D]     CROSS_Jetpack.esp
[5E]     Dogmeat's Backpack.esp
[5F]     Eli_Armour_Compendium.esp
[60]     EXALT Cybernetics.esp
[61]     Mercenary.esp
[62]     MLA.esp
[63]     Rangergearnew.esp
[64]     AWPWandererCoat.esp
[65]     WestTekTacticalOptics.esp
[66]     D98R_EarTacLight.esp
[67]     Fallout4 Weapon Overhaul.esp
[68]     10mmSMG.esp
[69]     AK74M.esp
[6A]     AlienAssaultRifle.esp
[6B]     F4NV-AMR.esp
[6C]     BullpupBozar.esp
[6D]     ChinaLakeandHolorifle.esp
[6E]     ElMudoStore.esp
[6F]     WinCowbowRepeater.esp
[70]     CROSS_FireworksCannon.esp
[71]     CROSS_PlasRail.esp
[72]     Yona_Weapon_DefenseGun.esp
[73]     Factor.esp
[74]     Famas.esp
[75]     Wana_SA58.esp
[76]     P90.esp
[77]     G36Complex.esp
[78]     Glock19x.esp
[79]     GS Lever Action Shotgun.esp
[7A]     HK_MP5.esp
[7B]     MP7.esp
[7C]     HK_UMP.esp
[7D]     HuntingRevolver.esp
[7E]     HuntingShotgun.esp
[7F]     Skibs-IF88Redux.esp
[80]     Skb_RiflesRebirth.esp
[81]     Jericho 941.esp
[82]     Krait6712.esp
[83]     Krebs.esp
[84]     M1Garand.esp
[85]     M1Garand - AWKCR.esp
[86]     DOOM1911.esp
[87]     M2_Flamethrower.esp
[88]     OTs-02 Kiparis.esp
[89]     M60.esp
[8A]     M72GaussRifle.esp
[8B]     Family Mauser.esp
[8C]     MG42.esp
[8D]     AN94.esp
[8E]     Moddable Plasma Caster.esp
[8F]     Mosin.esp
[90]     Mossberg500.esp
[91]     MP40.esp
[92]     RealThrowingWeapons.esp
[93]     RussianAssaultPack.esp
[94]     REAPER.esp
[95]     Remington 1858.esp
[96]     RiotShotgun.esp
[97]     rivetpistol.esp
[98]     RightHandedHuntingRifle.esp
[99]     RU556.esp
[9A]     RU556AWKCR.esp
[9B]     spas12.esp
[9C]     02_M520.esp
[9D]     WattzLaserGun.esp
[9E]     P220.esp
[9F]     MP5.esp
[A0]     win1897.esp
[A1]     WinchesterP94Balanced2.esp
[A2]     1CAS_serviceRifle.esp
[A3]     SREP.esp
[A4]     WM Chinese Assault Rifle - Standalone.esp
[A5]     LString_Bow.esp
[A6]     G3A3.esp
[A7]     ImiUzi.esp
[A8]     ImiGalil.esp
[A9]     F4NVSingleActionArmy.esp
[AA]     Python2.esp
[AB]     BerettaM9FS.esp
