[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     WorkshopFramework.esm
[0A]     XDI.esm
[0B]     HUDFramework.esm
[0C]     AAF.esm
[0D]     Homemaker.esm
[0E]     SS2.esm
[0F]     SS2_XPAC_Chapter2.esm
[10]     TortureDevices.esm
[11]     AAF_AutonomyEnhanced.esp
[12]     Another Pine Forest Mod.esp
[13]     PiperCaitCurieDialogueOverhaul.esp
[14]     SlaversCamp.esp
[15]     GoodneighborExpanded.esp
[16]     OutcastsAndRemnants.esp
[17]     NorwegiansCleanQuincy.esp
[18]     ECO.esp
[19]     INVB_WastelandDairy.esp
[1A]     W.A.T.Minutemen.esp
[1B]     SS2Extended.esp
[1C]     DCGuard_Overhaul.esp
[1D]     Stm_DiamondCityExpansion.esp
[1E]     CompanionJasmineWITHQUEST.esp
[1F]     AnimalLoverWastelandSeducer.esp
[20]     MiscHairstyle.esp
[21]     KSHairdos.esp
[22]     KSHairsFemsheppingRadbeetle.esp
[23]     AzarPonytailHairstyles.esp
[24]     The Eyes Of Beauty.esp
[25]     LooksMenu Customization Compendium.esp
[26]     GKSinjinRaiders.esp
[27]     Supreme Perks.esp
[28]     More Smarter Companions Mod.esp
[29]     CompanionLauraWITHQUEST.esp
[2A]     AAF_Prostitution.esp
[2B]     AAF_Violate.esp
[2C]     AAF_Four-Play_Animations_Crazy6987.esp
[2D]     Deathclaw_nude.esp
[2E]     ErectionFix_SilverPerv.esp
[2F]     UAP Moans.esp
[30]     Vioxsis_Strap-Ons.esp
[31]     FO4_AnimationsByLeito.esp
[32]     Wasteland Heroines Replacer All in One_2.0.esp
[33]     TWH_TheWayHome.esp
[34]     LaserMusketMk2.esp
[35]     AAF_CreaturePack01.esp
[36]     FPAttributes.esp
[37]     FPAttributesHUD.esp
[38]     TBOS-AntoHairPack.esp
[39]     Wastelander's_Storage.esp
[3A]     DX Courser X-92 Power Suit.esp
[3B]     INVB_WastelandResources.esp
[3C]     OppaiMilkPasties.esp
[3D]     Reimagin Vault Suit .esp
[3E]     EveryonesBestFriend.esp
[3F]     SS2_FDK_TinyLiving.esp
[40]     ProjectValkyrie.esp
[41]     LilyCompanion.esp
[42]     HandmadeShotgun.esp
[43]     MakeshiftCMG.esp
[44]     FP_FamilyPlanningEnhanced.esp
[45]     FPE_Resources.esp
[46]     sarahRageArmor.esp
[47]     Idiot Slut.esp
[48]     HiPolyFaces.esp
[49]     CBBE.esp
[4A]     Ciri.18B5F4.18B5F4.18B5F4.esp
[4B]     Ellie.23134B.esp
[4C]     Ghost.231346.231346.esp
[4D]     Heather.18B5F3.18B5F3.18B5F3.esp
[4E]     Jodelle.23134A.esp
[4F]     Krisa.esp
[50]     Lexxa.225B67.225B67.225B67.225B67.esp
[51]     Lima.225B6A.225B6A.225B6A.225B6A.esp
[52]     Lin.231349.231349.esp
[53]     Lora.18B5F7.esp
[54]     Roxy.225B68.225B68.225B68.225B68.225B68.225B68.esp
[55]     Triss.23134C.23134C.23134C.23134C.esp
[56]     With.225B69.esp
[57]     Yennefer.18B5F6.esp
[58]     cute.231348.231348.esp
[59]     LMBTOverlays.esp
[5A]     SkEyes.esp
[5B]     Sunshine.esp
[5C]     DX_Magnolia_New_Look.esp
[5D]     TheKite_ScoopDigger.esp
[5E]     BobbleGirl.esp
[5F]     B259.esp
[60]     AEWS.esp
[61]     MODGirlyAnimation.esp
[62]     PerpetualBeta_OppressorDogArmor.esp
[63]     Companion Infinite Ammo and Unbreakable Power Armour.esp
[64]     GKCait.esp
[65]     GKCurie.esp
[66]     GKPiper.esp
[67]     MsAutomatronPartsCollection.esp
[68]     LooksMirror.esp
[69]     TrueGrass.esp
[6A]     [ARRETH] FGEP.esp
[6B]     PD_LowerWeapon.esp
[6C]     SS2WastelandVenturers.esp
[6D]     0_Vault120.esp
[6E]     [SS20Addon] SimSettlements SuperStructures.esp
[6F]     PersonalShelter.esp
[70]     ASmallAdditionPenguinCom00.esp
[71]     Shino Vault Pack.esp
[72]     SettlementMenuManager.esp
[73]     Assaultron Ada Parts.esp
[74]     mm journals.esp
[75]     RILF.esp
[76]     TheEyesOfBeauty.esp
[77]     GKAnneHargraves.36D6F.esp
[78]     DiamondCitySecurityOverhaulVanilla.esp
[79]     GKAster.100463E.esp
[7A]     GKChase.esp
[7B]     GKDesdemona.esp
[7C]     GKGlory.esp
[7D]     GKIsabel.esp
[7E]     GKKasumi.esp
[7F]     GKKessler.1995C.esp
[80]     GKMagnolia.esp
[81]     UniqueNPCSettlers.esp
[82]     Vertidrones.esp
[83]     MamaMutie.esp
[84]     Vault-Tec Workshop Overhaul Redux.esp
[85]     Vault88 - Essentials.esp
[86]     Homemaker - Streetlights Use Passive Power.esp
[87]     SS2-Jampads2.esp
[88]     UndergroundHideout.esp
[89]     JunkTownTwo.esp
[8A]     SS2-PraRandomAddon.esp
[8B]     SimHomestead2.esp
[8C]     FIS-Naming-Weap-Armo-EN.esp
[8D]     GCM.esp
[8E]     LooksMenu.esp
[8F]     MakeshiftAssaultPack.esp
[90]     HandmadeMac.esp
[91]     BullpupHmar.esp
[92]     RailwayPistol.esp
[93]     RadiumPistol.esp
[94]     MakeshiftStealthPack.esp
[95]     GaussRevolver.esp
[96]     Zapgun.esp
[97]     HomemadeLasRevolver.esp
[98]     HandmadeSMG.esp
[99]     HandmadeAntiMat.esp
[9A]     NAC.esp
