[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     CleanMySettlement.esm
[0C]     TheSewers.esm
[0D]     AAF.esm
[0E]     TortureDevices.esm
[0F]     Devious Devices.esm
[10]     TacticalReload.esm
[11]     PhotoMode.esp
[12]     Pip-Boy Flashlight.esp
[13]     PIP-Pad.esp
[14]     LooksMenu Customization Compendium.esp
[15]     Immersive HUD.esp
[16]     K9TacticalHarness.esp
[17]     Tactical Flashlights.esp
[18]     Tactical Flashlights - Settings.esp
[19]     OpsCoreFASTHelmet.esp
[1A]     PowerArmorLite.esp
[1B]     Modern Assassin.esp
[1C]     US_Rangers.esp
[1D]     M4k4rov - MWGrenades - Replacer.esp
[1E]     [MW2R] Shadow Company.esp
[1F]     MW-Krueger.esp
[20]     McMillanCS5.esp
[21]     Quad_Fusillade.esp
[22]     APC9.esp
[23]     Glock19x.esp
[24]     M2Agency.esp
[25]     Immersive Fallout - Real Recoil (DLC).esp
[26]     Reverb and Ambiance Overhaul.esp
[27]     LOST Audio Tweaks.esp
[28]     _SoundZero_.esp
[29]     Immersive Fallout - Movement (DLC).esp
[2A]     RAW INPUT.esp
[2B]     NightOfTheCreeps.esp
[2C]     GCM.esp
[2D]     [ARRETH] FGEP.esp
[2E]     SlowTime.esp
[2F]     SKKFeralNights.esp
[30]     [ARR] MZP Zombie Behaviour.esp
[31]     Creative Perks (everything).esp
[32]     CreativePerksPlus.esp
[33]     Hit Em Where It Hurts- FH & NW.esp
[34]     Gritty Subway Stations.esp
[35]     TrueBlood.esp
[36]     Vivid Weathers - FO4.esp
[37]     Ambient Wasteland.esp
[38]     Misty Pines Overhaul.esp
[39]     UltraInteriorLighting.esp
[3A]     Hunkered Down - No AtomCatsGarage.esp
[3B]     Wasteland Illumination.esp
[3C]     saferoom2.0.esp
[3D]     Some Assembly Required.esp
[3E]     WestTekTacticalOptics.esp
[3F]     P220.esp
[40]     Commonwealth Overhaul.esp
[41]     [ARR] FallEvil - Mega Zombie Pack.esp
[42]     TRD - Main - Headshots Zombies.esp
[43]     ECO.esp
[44]     QuickTrade.esp
[45]     TRD - Zombie Spawns.esp
[46]     CapitalRuinsFO4.esp
[47]     ImmersiveAnimationFramework.esp
[48]     Thaylar Lighting 3.2 Base Edition.esp
[49]     RRTV_GoodneighborCondo.esp
[4A]     ALOOT_Better_CPS.esp
[4B]     MaxwellsWorl.esp
[4C]     MaxwellsWorl XDI Patch.esp
[4D]     Eli_Chestnut Lodge DLC.esp
[4E]     Vivid Weathers - FO4 - Autumn.esp
[4F]     AmazingFollowerTweaks.esp
[50]     DD_Enchantings.esp
[51]     CheatTerminal.esp
[52]     Vivid Waters.esp
[53]     waterLODfix.esp
[54]     Hunkered Down-Settlements.esp
[55]     Backpacks of the Commonwealth.esp
[56]     The Death Tunnel.esp
[57]     FallEvil - Complete Edition.esp
[58]     cVc Dead Wasteland 6.esp
[59]     RRTV_SubwaySafehouse.esp
[5A]     RRTV_CourierStations.esp
[5B]     HHFootsteps.esp
[5C]     ForestHouse.esp
[5D]     Devious Devices Addon - High Heels Sound.esp
[5E]     MK18.esp
[5F]     CartographersMapMarkers Commonwealth.esp
[60]     BerettaM9FS.esp
[61]     SteyrAUGnv.esp
[62]     FO4 NPCs Travel.esp
[63]     M&P 2.0.esp
[64]     RU556.esp
[65]     HuntingShotgun.esp
[66]     DesertEagleNV.esp
[67]     SigMCX.esp
[68]     SV-98.esp
[69]     cVc Dead Wasteland 6 DLC2.esp
[6A]     cVc Dead Wasteland 6 DLC3.esp
[6B]     mcgFemaleWalk.esp
[6C]     GrafsSecurityFences.esp
[6D]     NewLights.esp
[6E]     Realistic Roads - Black Asphalt.esp
[6F]     Sandbag Fortifications - Version 2C.esp
[70]     SettlementMenuManager.esp
[71]     Vivid Weathers - FO4 - Far Harbor.esp
[72]     Vivid Weathers - Nuka World.esp
[73]     woodysWastelandStuff.esp
[74]     3dscopes-replacer.esp
[75]     FnScar.esp
[76]     MODGirlyAnimation.esp
[77]     HK_MP5.esp
[78]     Immersive Fallout - Realistic ADS (DLC).esp
[79]     TacticalReloadVanilla.esp
[7A]     CazadorML.esp
[7B]     L96A1.esp
[7C]     HK_UMP.esp
[7D]     HKUSP9mm.esp
[7E]     44MBF4.esp
[7F]     Nate's Old Footlocker v1.esp
[80]     AzarPonytailHairstyles.esp
[81]     CartographersMapMarkers FarHarbor.esp
[82]     CartographersMapMarkers NukaWorld.esp
[83]     CBBE.esp
[84]     CustomCamera.esp
[85]     Detection Boy.esp
[86]     resetspecialbuffs.esp
[87]     Detector.esp
[88]     ESPExplorerFO4.esp
[89]     FO4Hotkeys.esp
[8A]     HHFootsteps_extended.esp
[8B]     HiPolyFaces.esp
[8C]     LooksMenu.esp
[8D]     MGSAiming.esp
[8E]     Small blur Crafting screen background.esp
[8F]     The Eyes Of Beauty.esp
[90]     VtawWardrobe5.esp
[91]     VtawWardrobe6.esp
[92]     VtawWardrobe7.esp
[93]     VtawWardrobe8.esp
[94]     ZaZOut4.esp
[95]     PIP-Pad_LMCC.esp
[96]     PIP-Pad_Pip-BoyFlashlight.esp
[97]     AAF_BadEnd_Animations.esp
[98]     AAF_CreaturePack01.esp
[99]     AAF_CreaturePack02DLC.esp
[9A]     AAF_GrayAnimations.esp
[9B]     AAF_SEU.esp
[9C]     AAF_Violate.esp
