[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     DLCUltraHighResolution.esm
[08]     Unofficial Fallout 4 Patch.esp
[09]     ArmorKeywords.esm
[0A]     HUDFramework.esm
[0B]     WorkshopFramework.esm
[0C]     XDI.esm
[0D]     CompanionIvy.esm
[0E]     DLC76 Charleston West Virginia Vault76.esm
[0F]     SS2.esm
[10]     SS2_XPAC_Chapter2.esm
[11]     CWPointLookoutFO4.esm
[12]     TheWilderness.esm
[13]     ProjectMojave.esm
[14]     FIS-Naming-Weap-Armo-EN.esp
[15]     Claire.esp
[16]     RER Rachael Attire.esp
[17]     Phantomers Pack 01.esp
[18]     AVA Female Pack 01.esp
[19]     SA2 Leona Outfit.esp
[1A]     UltraInteriorLighting.esp
[1B]     ENBLightsHDRPatch.esp
[1C]     OutcastsAndRemnants.esp
[1D]     CompanionIvy_Nuka.esp
[1E]     outlawer Titanfall.esp
[1F]     Outlawer Outfits.esp
[20]     New Landscape Grass v4 Light .esp
[21]     Grasslands - Healthy.esp
[22]     ELFX_ENBLight_Patch.esp
[23]     NAC.esp
[24]     NAC-FH.esp
[25]     NAC-NW.esp
[26]     remove_piperifle_loot.esp
[27]     LockedSafesLegendaryLoot.esp
[28]     LegendaryModification.esp
[29]     LegendaryModification Enhanced.esp
[2A]     Custom Legendary Modifications Remade.esp
[2B]     TTI_STI2011.esp
[2C]     STI2011DVC.esp
[2D]     travelerspistol.esp
[2E]     MK18SoundFix.esp
[2F]     AAC_HoneyBadger.esp
[30]     Quad_RAWLauncher.esp
[31]     NRAW_Common.esp
[32]     M72GaussRifle.esp
[33]     Glock19x.esp
[34]     Quad_Fusillade.esp
[35]     Factor.esp
[36]     Depth of Field Removal.esp
[37]     Modern Firearms.esp
[38]     FO4LaserBolts - InstitutePurple.esp
[39]     FO4LaserBolts - NormalBlue.esp
[3A]     FO4LaserBolts.esp
[3B]     Perks Unleashed.esp
[3C]     sectorv.esp
[3D]     AGNISNikaCola01.esp
[3E]     Wasteland Illumination.esp
[3F]     AGNISNikaCola01-XDI patch.esp
[40]     Mors Shortcut to Curie.esp
[41]     Keep Radiants In Commonwealth.esp
[42]     AA Better Companions - No Conflicts.esp
[43]     AA FusionCityRising.esp
[44]     Vault4.esp
[45]     Armorsmith Extended.esp
[46]     TitanfallSuit.esp
[47]     CSEPAllAmericans.esp
[48]     Firelance2.5.esp
[49]     Vivid Waters.esp
[4A]     InstituteSettlements2.esp
[4B]     PACER.esp
[4C]     Mercenary.esp
[4D]     DOOMMerged.esp
[4E]     SS2_FDK_TinyLiving.esp
[4F]     ProjectValkyrie.esp
[50]     CompanionIvy_quest.esp
[51]     CompanionIvy_Mags.esp
[52]     CombinedArmsNV.esp
[53]     CombinedArmsEXPack.esp
[54]     AR_DLC01.esp
[55]     MK18.esp
[56]     MK18 Armory Project.esp
[57]     SS2_XDI Patch.esp
[58]     Cannabis.esp
[59]     SKKMutations76.esp
[5A]     More Detailed Perk Description Nuka World.esp
[5B]     VendorCaps.esp
[5C]     BetterCommando.esp
[5D]     Crimsomrider's DLC Ammo.esp
[5E]     TurretDmgNerf.esp
[5F]     Lots More Female Hairstyles.esp
[60]     Beautiful Female Settlers v. 2.0 - NO BS.esp
[61]     Lots More Facial Hair.esp
[62]     Lots More Male Hairstyles.esp
[63]     LegendaryAllDifficulties5x.esp
[64]     LegendaryRarity10.esp
[65]     MakanarWeightBase2000.esp
[66]     MakanarWeightStrength500.esp
[67]     Larger Shipments.esp
[68]     Generator Fusebox - More realistic version.esp
[69]     Brotherhood of Steel Paints.esp
[6A]     MoreWeaves.esp
[6B]     LegendaryModification - DLC Far Harbor.esp
[6C]     LegendaryModification2LM.esp
[6D]     LegendaryModification - DLC Far Harbor (2LM).esp
[6E]     LegendaryModification2LMAKPatch.esp
[6F]     LegendaryModificationCSA.esp
[70]     LegendaryModificationGroknak.esp
[71]     LegendaryModificationMisc.esp
[72]     Legendary Mod Additions.esp
[73]     CraftableAmmo.esp
[74]     CraftableAmmo_plus.esp
[75]     AzarPonytailHairstyles.esp
[76]     Beautiful Female Enemies.esp
[77]     LovingCait.esp
[78]     MiscHairstyle.esp
[79]     Wasteland Heroines Replacer_2.0.0_Piper.esp
[7A]     KSHairdos_oel.esp
[7B]     LooksMenu Customization Compendium.esp
[7C]     The Eyes Of Beauty.esp
[7D]     LooksMenu.esp
[7E]     KSHairdos.esp
[7F]     Wasteland Heroines Replacer5_1.0.0.esp
[80]     Wasteland Heroines Replacer4_1.0.0.esp
[81]     Wasteland Heroines Replacer3_1.0.0.esp
[82]     DanLi_VaultExplorer.esp
[83]     BZW_Chris_Redfield.esp
[84]     GR123 West Tek Tactical Gloves.esp
[85]     WestTekTacticalOptics.esp
[86]     WTTO - Colour Targeting HUD.esp
[87]     rpampas.esp
[88]     K9TacticalHarness.esp
[89]     personelforcefields.esp
[8A]     CBBE.esp
[8B]     BZW_MW_Mara.esp
[8C]     SS2Extended.esp
[8D]     SimHomestead2.esp
[8E]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[8F]     SS2WastelandReconstructionKit.esp
[90]     SS2_ruined_simsettlement_addonpack.esp
[91]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[92]     ellen.esp
[93]     llamaCompanionHeatherv2.esp
[94]     SS2_SIMPDDDD.esp
[95]     [SS20Addon] SimSettlements SuperStructures.esp
[96]     CHAOTIC SUN.esp
[97]     RU556.esp
[98]     RU556Armouryprojectv3.esp
