[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     cczsef04001-bhouse.esm
[08]     Unofficial Fallout 4 Patch.esp
[09]     HUDFramework.esm
[0A]     WorkshopFramework.esm
[0B]     TrueStormsFO4.esm
[0C]     Settlement Electricity Overhaul.esm
[0D]     SimSettlements.esm
[0E]     Homemaker.esm
[0F]     CWSS Redux.esp
[10]     NoSharedDogmeatTemplate.esp
[11]     SimSettlementsConquerorFaction_SimpleBrotherhood.esp
[12]     IndustrialCity_Sim_Settlements_Addon.esp
[13]     DD_Khassar_De_Templari_Increased_build.esp
[14]     NPC Spawner.esp
[15]     TU3SD4Y'S Fallout 76 Survival Tent.esp
[16]     AnatomicallyCorrectFerals.esp
[17]     AnatomicallyCorrectFerals_V1_Hotfix.esp
[18]     AnatomicallyCorrectFerals_FH.esp
[19]     CROSS_GoreCrits.esp
[1A]     AnatomicallyCorrectFerals_GorecritsPatch.esp
[1B]     AnatomicallyCorrectFerals_NW.esp
[1C]     PiperCaitCurieDialogueOverhaul.esp
[1D]     Universal Working Bathroom Fixtures (CWSS and DLCs).esp
[1E]     D.C.I.R..esp
[1F]     Cleaner Goodneighbor Indoor Only (No Fog).esp
[20]     [777] Sanctuary - Reworked Roads.esp
[21]     Eli_Faction Housing Overhaul - Prydwen.esp
[22]     A Sensible Prydwen Overhaul.esp
[23]     Spectacle Island.esp
[24]     FaceMaxson.esp
[25]     MojaveImports.esp
[26]     Eli_Armour_Compendium.esp
[27]     SimSettlements_XPAC_Conqueror.esp
[28]     BostonAirportRedux.esp
[29]     SimSettlements_MegaPack_YearTwo.esp
[2A]     SimSettlements CaptLaserBeam Jampads.esp
[2B]     CLBsJampads Patch - SJ - Imports.esp
[2C]     Diverse Cats.esp
[2D]     MREs.esp
[2E]     CorvalhoWidowShotgun.esp
[2F]     SimHomestead.esp
[30]     ruined_simsettlement_addonpack.esp
[31]     SimSettlements_MegaPack_YearOne.esp
[32]     WareHouseExt.esp
[33]     BarnAdd.esp
[34]     Radiant Clouds and Fogs.esp
[35]     Reverb and Ambiance Overhaul.esp
[36]     LOST Audio Tweaks.esp
[37]     TrueStormsFO4-FarHarbor.esp
[38]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[39]     DarkerNights.esp
[3A]     DarkerNightsDetection.esp
[3B]     GZ__ReverbAmbienceOverhaul__TrueStorms.esp
[3C]     TrueStormsFO4-EarlierSunsets.esp
[3D]     TrueStormsFO4-EarlierSunsetsFH.esp
[3E]     TrueStormsFO4-FarHarborExtraRads.esp
[3F]     TrueStormsFO4-GlowingSeaExtraRads.esp
[40]     SKKFastBOS.esp
[41]     EveryonesBestFriend.esp
[42]     DanseDialogueOverhaul.esp
[43]     Danse GTFO Power Armor.esp
[44]     Classic Combat Armor.esp
[45]     CROSS_GoreCrits_FarHarborPatch.esp
[46]     MK_CanteensofCommonwealth.esp
[47]     ClassicSniper.esp
[48]     BostonAirport_WorkshopFix.esp
[49]     NanotechWaterpump_FoodWaterHappy.esp
[4A]     BarefootFootstepSet.esp
[4B]     Binary Speech Checks V.4.esp
[4C]     WestTekTacticalOptics.esp
[4D]     Better Thermal Vision.esp
[4E]     BetterSettlers.esp
[4F]     BetterSettlersCleanFacePack.esp
[50]     keke-bu All-in-one Pack_1.1.7.esp
[51]     Brotherhood_Of_Steel_Overhaul.esp
[52]     LooksMenu Customization Compendium.esp
[53]     LooksMenu.esp
[54]     Danse by PokaPefk.esp
[55]     Orphans.esp
[56]     BetterSettlersMortalPack.esp
[57]     BetterSettlersNoLollygagging.esp
[58]     C1.esp
[59]     BetterCompanions.esp
[5A]     Campsite.esp
[5B]     CROSS_RugerMkV.esp
[5C]     MiscHairstyle.esp
[5D]     MoleRatCure.esp
[5E]     Multiple Floors Sandboxing.esp
[5F]     NoAffinityCooldown.esp
[60]     NoNegativeAffinity.esp
[61]     NightPerson_NoNightVision-FarHarbor.esp
[62]     No Aggro Impact Landing.esp
[63]     NoNegativeAffinitySeason.esp
[64]     NoRailRoadBallisticWeave.esp
[65]     Northland Diggers New.esp
[66]     NukaVimRack.esp
[67]     OCDecorator - No Experience.esp
[68]     OCDecorator.esp
[69]     OCDecoratorDLC.esp
[6A]     OCDispenser.esp
[6B]     Orphan's Beds.esp
[6C]     ChildrenofGoodneighbor.esp
[6D]     PAMAP.esp
[6E]     PAMAP CC Hellfire.esp
[6F]     PAMAP CC X-02.esp
[70]     PersistentVolumeSliders.esp
[71]     Pine Trees Redone.esp
[72]     Pip-Boy Flashlight.esp
[73]     AzarPonytailHairstyles.esp
[74]     BetterSettlersCCAPack2.0.esp
[75]     RAW INPUT.esp
[76]     Realistic Death Physics - ALL DLC.esp
[77]     SKKAutoUnlock.esp
[78]     SKKSettlementAttackSystem.esp
[79]     ScrapThatMisc.esp
[7A]     SettlementMenuManager.esp
[7B]     Simple Salvageable Power Armor Frames.esp
[7C]     Skip DIMA memories.esp
[7D]     Smoke-able Cigars.esp
[7E]     keyNuker.esp
[7F]     StoreYourKeys.esp
[80]     NaiRaeCozyScavver.esp
[81]     SimSettlements_MegaPack_YearThree.esp
[82]     The Eyes Of Beauty.esp
[83]     TheEyesOfBeauty.esp
[84]     PlayerMarriage.esp
[85]     Vivid Fallout - All in One - Best Choice.esp
[86]     Vault-Tec Workshop Overhaul Redux.esp
[87]     Vault88 - Essentials.esp
[88]     woodysWastelandStuff.esp
[89]     Pip-Boy CC Fix.esp
[8A]     MechanistsLair_fix_only.esp
