XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000073EF0000
d3d11.dll                        0x000180000000
MSCTF.dll                        0x01EB2E3D0000
Fallout4.exe                     0x7FF6BB050000
d3dcompiler_47_64.dll            0x7FFE36930000
NvCamera64.dll                   0x7FFE36D40000
d3dcompiler_46e.dll              0x7FFE3E380000
enbhelperf4.dll                  0x7FFE3E740000
XAudio2_7.dll                    0x7FFE41C30000
XDI.dll                          0x7FFE42200000
wsfw_identifier.dll              0x7FFE42270000
WmkActiveEffects.dll             0x7FFE894A0000
UneducatedShooter.dll            0x7FFE89520000
RememberPickAngleUpdated.dll     0x7FFE901D0000
PowerGridTools.dll               0x7FFE90290000
IPHLPAPI.DLL                     0x7FFE90630000
Buffout4.dll                     0x7FFE92A20000
place.dll                        0x7FFE92FF0000
mcm.dll                          0x7FFE93070000
nvspcap64.dll                    0x7FFE936C0000
nvwgf2umx.dll                    0x7FFE9AE70000
HighFPSPhysicsFix.dll            0x7FFE9F040000
f4ee.dll                         0x7FFE9F0B0000
f4pm.dll                         0x7FFE9F8D0000
BakaScrapHeap.dll                0x7FFE9FE60000
Discord_Presence_F4SE.dll        0x7FFEA0350000
DINPUT8.dll                      0x7FFEA1780000
D3DCOMPILER_43.dll               0x7FFEA17D0000
f4se_1_10_163.dll                0x7FFEA2440000
ClassicHolsteredWeapons.dll      0x7FFEA2ED0000
flexRelease_x64.dll              0x7FFEA3230000
CCExtenderF4.dll                 0x7FFEA36D0000
PrivateProfileRedirector.dll     0x7FFEA37E0000
BulletCountedReload.dll          0x7FFEA3AC0000
MSVCR110.dll                     0x7FFEA3B50000
vertibird_jump.dll               0x7FFEA3C80000
faster_workshop.dll              0x7FFEA3D00000
ESPExplorer.dll                  0x7FFEA3F10000
crafting_highlight_fix.dll       0x7FFEA3FE0000
tbbmalloc.dll                    0x7FFEA4030000
pppl.dll                         0x7FFEA42B0000
ConsoleUtilF4.dll                0x7FFEA4440000
BetterConsole.dll                0x7FFEA4490000
BakaWaitAnywhere.dll             0x7FFEA4540000
cc_cleaner.dll                   0x7FFEA54A0000
MSVCP110.dll                     0x7FFEA54E0000
d3dx11_43.dll                    0x7FFEA60C0000
GFSDK_SSAO_D3D11.win64.dll       0x7FFEA6320000
MpOav.dll                        0x7FFEA8A20000
f4se_steam_loader.dll            0x7FFEB0060000
steam_api64.dll                  0x7FFEB00A0000
cudart64_75.dll                  0x7FFEB01C0000
GFSDK_GodraysLib.x64.dll         0x7FFEB5380000
usvfs_x64.dll                    0x7FFEB6990000
bink2w64.dll                     0x7FFEB9830000
WeaponDebrisCrashFix.dll         0x7FFEB99B0000
flexExtRelease_x64.dll           0x7FFEBCB40000
PriorityMod.dll                  0x7FFEC3670000
encounter_zone_recalculation.dll 0x7FFEC3CC0000
NoLockpickActivate.dll           0x7FFEC5280000
MSVCP140_ATOMIC_WAIT.dll         0x7FFEC6AC0000
mskeyprotect.dll                 0x7FFEC86C0000
ncryptsslp.dll                   0x7FFEC8710000
XINPUT9_1_0.dll                  0x7FFED1960000
textinputframework.dll           0x7FFED2200000
Windows.UI.dll                   0x7FFED3CB0000
MessageBus.dll                   0x7FFED8590000
VCRUNTIME140.dll                 0x7FFEDB7F0000
MSVCP140.dll                     0x7FFEDB810000
msdmo.dll                        0x7FFEDC630000
VCRUNTIME140_1.dll               0x7FFEDC760000
ResampleDmo.DLL                  0x7FFEDCD30000
DSOUND.DLL                       0x7FFEDCEE0000
webio.dll                        0x7FFEDD110000
OLEACC.dll                       0x7FFEDD760000
WINSPOOL.DRV                     0x7FFEDD800000
COMCTL32.dll                     0x7FFEDD8A0000
fastprox.dll                     0x7FFEE1A40000
wbemcomn.dll                     0x7FFEE24A0000
AUDIOSES.DLL                     0x7FFEE3100000
rasadhlp.dll                     0x7FFEE3340000
winmmbase.dll                    0x7FFEE33B0000
DbgHelp.dll                      0x7FFEE3AA0000
SilentProtagonistF4SE.dll        0x7FFEE4420000
inputhost.dll                    0x7FFEE4DA0000
amsi.dll                         0x7FFEE5190000
nvapi64.dll                      0x7FFEE5800000
WINMM.dll                        0x7FFEE7010000
nvldumdx.dll                     0x7FFEE7110000
MMDevApi.dll                     0x7FFEE7610000
wbemsvc.dll                      0x7FFEE76B0000
wbemprox.dll                     0x7FFEE7AF0000
WindowsCodecs.dll                0x7FFEE8080000
fwpuclnt.dll                     0x7FFEE8230000
drvstore.dll                     0x7FFEE8400000
cryptnet.dll                     0x7FFEE85C0000
VERSION.dll                      0x7FFEE8600000
d3d11.dll                        0x7FFEE8D80000
WINNSI.DLL                       0x7FFEE9330000
dhcpcsvc6.DLL                    0x7FFEE9630000
CoreUIComponents.dll             0x7FFEE9840000
DComp.dll                        0x7FFEE9BB0000
WINHTTP.dll                      0x7FFEE9FA0000
avrt.dll                         0x7FFEEA320000
dhcpcsvc.DLL                     0x7FFEEA6C0000
directxdatabasehelper.dll        0x7FFEEA860000
CoreMessaging.dll                0x7FFEECEB0000
MSIMG32.dll                      0x7FFEED1C0000
nvToolsExt64_1.dll               0x7FFEED230000
UxTheme.dll                      0x7FFEED410000
dxcore.dll                       0x7FFEED550000
dxgi.dll                         0x7FFEED590000
resourcepolicyclient.dll         0x7FFEED690000
DWMAPI.dll                       0x7FFEED9C0000
wintypes.dll                     0x7FFEEDCC0000
windows.storage.dll              0x7FFEEDE30000
HID.DLL                          0x7FFEEE6A0000
IpHlpAPI.dll                     0x7FFEEE8E0000
DNSAPI.dll                       0x7FFEEE910000
schannel.DLL                     0x7FFEEEC50000
rsaenh.dll                       0x7FFEEED50000
kernel.appcore.dll               0x7FFEEEDF0000
ntmarta.dll                      0x7FFEEEE80000
SspiCli.dll                      0x7FFEEF0F0000
UMPDC.dll                        0x7FFEEF270000
mswsock.dll                      0x7FFEEF330000
powrprof.dll                     0x7FFEEF3A0000
USERENV.dll                      0x7FFEEF470000
CRYPTSP.dll                      0x7FFEEF5C0000
CRYPTBASE.DLL                    0x7FFEEF5E0000
msasn1.dll                       0x7FFEEF620000
wldp.dll                         0x7FFEEF690000
NTASN1.dll                       0x7FFEEF6E0000
ncrypt.dll                       0x7FFEEF720000
bcrypt.dll                       0x7FFEEF750000
devobj.dll                       0x7FFEEFA40000
cfgmgr32.dll                     0x7FFEEFA70000
DPAPI.DLL                        0x7FFEEFAE0000
profapi.dll                      0x7FFEEFCA0000
CRYPT32.dll                      0x7FFEEFD70000
KERNELBASE.dll                   0x7FFEEFEE0000
gdi32full.dll                    0x7FFEF0260000
bcryptPrimitives.dll             0x7FFEF0380000
WINTRUST.DLL                     0x7FFEF04C0000
ucrtbase.dll                     0x7FFEF0530000
msvcp_win.dll                    0x7FFEF0650000
win32u.dll                       0x7FFEF06F0000
SHELL32.dll                      0x7FFEF0720000
PSAPI.DLL                        0x7FFEF0EE0000
USER32.dll                       0x7FFEF0FE0000
WS2_32.dll                       0x7FFEF1220000
NSI.dll                          0x7FFEF1290000
ole32.dll                        0x7FFEF1300000
ADVAPI32.dll                     0x7FFEF14A0000
shcore.dll                       0x7FFEF1550000
sechost.dll                      0x7FFEF1640000
IMM32.DLL                        0x7FFEF16E0000
SETUPAPI.dll                     0x7FFEF1840000
KERNEL32.DLL                     0x7FFEF1CB0000
COMDLG32.dll                     0x7FFEF1F40000
msvcrt.dll                       0x7FFEF2030000
RPCRT4.dll                       0x7FFEF2100000
SHLWAPI.dll                      0x7FFEF2220000
GDI32.dll                        0x7FFEF2280000
OLEAUT32.dll                     0x7FFEF22B0000
combase.dll                      0x7FFEF2390000
clbcatq.dll                      0x7FFEF2720000
imagehlp.dll                     0x7FFEF2840000
ntdll.dll                        0x7FFEF28A0000
