[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     WorkshopFramework.esm
[0A]     SettlementKeywords.esm
[0B]     Robot Home Defence.esm
[0C]     CWPointLookoutFO4.esm
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     XDI.esm
[10]     TrueStormsFO4.esm
[11]     Homemaker.esm
[12]     EthreonMasterPlan.esm
[13]     NPCScaling.esm
[14]     Darlene.esm
[15]     PACE.esm
[16]     TacticalReload.esm
[17]     DarleneDLC.esp
[18]     SS2Extended.esp
[19]     SS2WastelandVenturers.esp
[1A]     [SS20Addon] SimSettlements SuperStructures.esp
[1B]     SS2_FDK_TinyLiving.esp
[1C]     SS2-PraRandomAddon.esp
[1D]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[1E]     JunkTown-FENCES2.esp
[1F]     JunkTownTwo.esp
[20]     SimHomestead2.esp
[21]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[22]     SS2-Jampads2.esp
[23]     SS2_ruined_simsettlement_addonpack.esp
[24]     SS2_SIMPDDDD.esp
[25]     InstituteSettlements2.esp
[26]     SS2_Addon_Favelabulous.esp
[27]     GtN_SettlersatPlay.esp
[28]     ss2radiantpower.esp
[29]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[2A]     [CSR]SS2_Nordhagen_Beach.esp
[2B]     [SS2] BBVault 88.esp
[2C]     BOSAirport.esp
[2D]     Children_of_Somerville.esp
[2E]     Faster Upfront Training SS2.esp
[2F]     Fort Tenpines.esp
[30]     Murkwater Paise Atom.esp
[31]     MyCityPlans 1.3.esp
[32]     Sim Settlements 2  - Captain Croup Bar and Dive Entry by Karvoc.esp
[33]     SS2 Sanctuary Green Hills.esp
[34]     SS2_Addon_R2R.esp
[35]     SS2_CityPlan_TheAlley Cabaret.esp
[36]     SS2CoastalCottage-CSR.esp
[37]     SettlementMenuManager.esp
[38]     Snappy_HouseK.esp
[39]     Snappy_DLC03.esp
[3A]     Thematic and Practical.esp
[3B]     Thematic and Practical - DLC.esp
[3C]     Vault-Tec Workshop Overhaul Redux.esp
[3D]     Vendor.esp
[3E]     WareHouseExt.esp
[3F]     BetterJunkFences.esp
[40]     BarnAdd.esp
[41]     WarehouseKit.esp
[42]     woodysWastelandStuff.esp
[43]     WmkActiveEffects.esp
[44]     CastleInTheSky.esp
[45]     CleanSettlement Homemaker Greenhouses.esp
[46]     DLC Timing.esp
[47]     Better_Settlement_Defence.esp
[48]     QuickTrade.esp
[49]     PD_LowerWeapon.esp
[4A]     FO4 NPCs Travel.esp
[4B]     NPCSTRAVELFIXES.esp
[4C]     CreativePerksPlus.esp
[4D]     UniqueUniques.esp
[4E]     Hunkered Down - No AtomCatsGarage.esp
[4F]     InstituteReformation.esp
[50]     BoSStory.esp
[51]     1ECHO.esp
[52]     VaultTecStory.esp
[53]     InstituteStory.esp
[54]     Firelance2.5.esp
[55]     FarHarborStory.esp
[56]     KellyManor.esp
[57]     Vault4.esp
[58]     DCGuard_Overhaul.esp
[59]     OldTimeReligion.esp
[5A]     ImmersiveCovenantCompound.esp
[5B]     Underground RailroadALLDLC.esp
[5C]     NukaCola&BeveragePatch.esp
[5D]     ChemistRadiationFix.esp
[5E]     PersistentVolumeSliders.esp
[5F]     TrueGrass.esp
[60]     Another Pine Forest Trees Only.esp
[61]     Pine Trees Redone.esp
[62]     AnimatedCandles.esp
[63]     NukaWorldPlus.esp
[64]     Pip-Boy Flashlight.esp
[65]     Vivid Weathers - FO4 - Summer.esp
[66]     CBBE.esp
[67]     DnxTattoos.esp
[68]     RutahTattooPack_FO4.esp
[69]     TCD.esp
[6A]     TCDOverlays.esp
[6B]     TCDM.esp
[6C]     TCDOverlaysSET.esp
[6D]     ECO.esp
[6E]     Sporty Underwear.esp
[6F]     512StandaloneHairColors.esp
[70]     The Eyes Of Beauty.esp
[71]     KSHairdos_oel.esp
[72]     ellen.esp
[73]     llamaCompanionHeatherv2.esp
[74]     Wasteland Heroines Replacer_Ellen.esp
[75]     BetterSettlers.esp
[76]     Eli_Armour_Compendium.esp
[77]     BetterSettlersCCAPack2.0.esp
[78]     BetterSettlersCleanFacePack.esp
[79]     BetterSettlersNoLollygagging.esp
[7A]     MeleeFinishersRebalance.esp
[7B]     NX Encounter Zones - Season Pass.esp
[7C]     QuantumCreatures.esp
[7D]     Yona_Weapon_DefenseGun.esp
[7E]     M2Agency.esp
[7F]     HuntingShotgun.esp
[80]     CorvalhoWidowShotgun.esp
[81]     AK400.esp
[82]     AK74M.esp
[83]     CROSS_PlasRail.esp
[84]     WattzLaserGun.esp
[85]     officersRevolver.esp
[86]     CazadorML.esp
[87]     CombinedArmsNV.esp
[88]     CombinedArmsEXPack.esp
[89]     ReconPack.esp
[8A]     EnclaveX02.esp
[8B]     Hellfirenew.esp
[8C]     10mmModificationPack.esp
[8D]     RevolverModificationPack.esp
[8E]     InstituteRifleModificationOverhaul.esp
[8F]     DelivererModPack.esp
[90]     3dscopes-replacer.esp
[91]     TeleportGrenade.esp
[92]     Some Assembly Required.esp
[93]     ExcavatorPA.esp
[94]     Vault88 - Essentials.esp
[95]     AttackSpawnsOutsideSettlement.esp
[96]     QuickSwap.esp
[97]     Publick Occurrences Expanded.esp
[98]     Marmo1233 - PowerArmorAirdrop.esp
[99]     Improved Disarm.esp
[9A]     ESPExplorerFO4.esp
[9B]     InstitWeapPosit.esp
