[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     Armament.esp
[0C]     CALIBER-COMPLEX.esm
[0D]     TacticalReload.esm
[0E]     ExtendedWeaponSystem.esm
[0F]     141 Assets.esp
[10]     MutantMenagerie.esm
[11]     MutantMenagerie_FarHarbor.esm
[12]     MutantMenagerie_NukaWorld.esm
[13]     WorkshopFramework.esm
[14]     SS2.esm
[15]     SS2_XPAC_Chapter2.esm
[16]     CWPointLookoutFO4.esm
[17]     No Aggro Impact Landing.esp
[18]     WheelMenu.esp
[19]     EveryonesBestFriend.esp
[1A]     RAW INPUT.esp
[1B]     RustDevilRedux.esp
[1C]     Complex Vendors.esp
[1D]     SalvageBeacons.esp
[1E]     InstitWeapPosit.esp
[1F]     AtomicRadio.esp
[20]     W.A.T.Minutemen.esp
[21]     llamaCompanionHeatherv2.esp
[22]     PhotoMode.esp
[23]     LeverActionBCR.esp
[24]     HoloTime.esp
[25]     TacticalTablet.esp
[26]     TacticalTablet_LMCC.esp
[27]     Lunatic's Unhelpful Loading Screens.esp
[28]     Lunatic's Unhelpful Loading Screens - DLC.esp
[29]     Flashy_CrimeAndPunishment.esp
[2A]     CROSS_GoreCrits.esp
[2B]     CROSS_GoreCrits_FarHarborPatch.esp
[2C]     LooksMenu.esp
[2D]     LooksMenu Customization Compendium.esp
[2E]     LooksMirror.esp
[2F]     CBBE.esp
[30]     The Eyes Of Beauty.esp
[31]     LookingStranger.esp
[32]     The Eyes of Beauty Looking Stranger.esp
[33]     KSHairdos.esp
[34]     MiscHairstyle.esp
[35]     Lots More Male Hairstyles.esp
[36]     Lots More Facial Hair.esp
[37]     VHCE.esp
[38]     TCD.esp
[39]     TCDM.esp
[3A]     TCDOverlays.esp
[3B]     OMEGA - AI-2 Tweaks.esp
[3C]     ImmersiveAnimationFramework.esp
[3D]     SF Danse.esp
[3E]     Reverb and Ambiance Overhaul.esp
[3F]     LOST Audio Tweaks.esp
[40]     OWR.esp
[41]     OWR2.esp
[42]     F4R.esp
[43]     NAC.esp
[44]     NAC-FH.esp
[45]     NAC-NW.esp
[46]     EAMR.esp
[47]     Rangergearnew.esp
[48]     Classic Combat Armor.esp
[49]     RedShiftPowerArmor.esp
[4A]     T65PA.esp
[4B]     Crimsomrider's 1950s Feminine Outfits.esp
[4C]     MilitarizedMinutemen.esp
[4D]     MilitarisedMinutemen_PatchesAddon.esp
[4E]     K9TacticalHarness.esp
[4F]     Nexus_PMC.esp
[50]     PMC_extended.esp
[51]     DT_MercOutfitPack.esp
[52]     DT_GunnerOutfitPack.esp
[53]     Gunner_Operator.esp
[54]     WestTekTacticalOptics.esp
[55]     3dscopes.esp
[56]     AVBMGReplace.esp
[57]     AVBMusket.esp
[58]     AVBPipeGunsReplace.esp
[59]     9x39Project.esp
[5A]     3dscopes-9x39project.esp
[5B]     9x39ProjectSR3MAddon.esp
[5C]     AAC_HoneyBadger.esp
[5D]     AK400.esp
[5E]     AK74M.esp
[5F]     DP_CaravanShotgun.esp
[60]     Scopes.esp
[61]     CombinedArmsNV.esp
[62]     CombinedArmsEXPack.esp
[63]     CROSS_RugerMkV.esp
[64]     Wana_SA58.esp
[65]     3dscopes-fnfal.esp
[66]     Glock19x.esp
[67]     G3A3.esp
[68]     G3_R91_Expansion.esp
[69]     G3A3_AnimationUpdate.esp
[6A]     HKUSP9mm.esp
[6B]     LeeEnfieldNo4MkI.esp
[6C]     ODT - Lee Enfield Skin Pack Vol1.esp
[6D]     3dscopes-leeenfield.esp
[6E]     Mosin.esp
[6F]     3dscopes-mosin.esp
[70]     HK_MP5.esp
[71]     QBZ191.esp
[72]     ReconPack.esp
[73]     3dscopes-reconpack.esp
[74]     SigMCX.esp
[75]     SIGMCXArmoryProject.esp
[76]     RussianAssaultPack.esp
[77]     1CAS_ServiceRifle.esp
[78]     3dscopes-wmsr.esp
[79]     StG44BFV.esp
[7A]     GIAT_FAMAS.esp
[7B]     Famas_Addon.esp
[7C]     ODT - GIAT FAMAS Skin Pack Vol. 1.esp
[7D]     SVT40.esp
[7E]     SVT40-AWKCR.esp
[7F]     SVT40SkinPacksAll.esp
[80]     3dscopes-svt40.esp
[81]     Ak5C.esp
[82]     AK5CSkinPackAll.esp
[83]     ElMudoStore.esp
[84]     WinCowbowRepeater.esp
[85]     Yona_Weapon_DefenseGun.esp
[86]     3dscopes-defensegun.esp
[87]     DefenseGunCALIBER-COMPLEX.esp
[88]     PKMnv.esp
[89]     PKM_Z.esp
[8A]     Zenit.esp
[8B]     Tull_Framework.esp
[8C]     TullAK.esp
[8D]     MK18.esp
[8E]     MK18 Armory Project.esp
[8F]     AnotherMK18Addon.esp
[90]     Another_Tull_MK18.esp
[91]     M2Agency.esp
[92]     Sjogren.esp
[93]     SR1MP.esp
[94]     UniqueUniques.esp
[95]     LString_Bow.esp
[96]     44MBF4.esp
[97]     AKSounds.esp
[98]     BF1 Animations - Hunting Rifle v1.3.esp
[99]     Assault Rifle Reanimated.esp
[9A]     TacticalReloadVanilla.esp
[9B]     TacticalReloadDLC.esp
[9C]     Clarity.esp
[9D]     MutilatedDeadBodies.esp
[9E]     Raider Children.esp
[9F]     [ARR] FallEvil - Mega Zombie Pack.esp
[A0]     Flashy_PersonalEssentials.esp
[A1]     DCVendorOverhaulAIO.esp
[A2]     InteriorsEnhanced-All-In-One.esp
