XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000062EF0000
steam_api64.dll                  0x000062F00000
ConsoleUtilF4.dll                0x0211BD4D0000
Fallout4.exe                     0x7FF756180000
steamclient64.dll                0x7FF816830000
d3dcompiler_47_64.dll            0x7FF818360000
NvCamera64.dll                   0x7FF819870000
DSOUND.DLL                       0x7FF81B8C0000
XAudio2_7.dll                    0x7FF81C7C0000
gameoverlayrenderer64.dll        0x7FF81CC70000
XDI.dll                          0x7FF81D960000
wsfw_identifier.dll              0x7FF81D9D0000
RememberPickAngleUpdated.dll     0x7FF81DFF0000
WmkActiveEffects.dll             0x7FF81E880000
PrivateProfileRedirector.dll     0x7FF81EA00000
PowerGridTools.dll               0x7FF81F2E0000
place.dll                        0x7FF81F350000
mcm.dll                          0x7FF81F3D0000
f4ee.dll                         0x7FF81F470000
DINPUT8.dll                      0x7FF820210000
vertibird_jump.dll               0x7FF8206D0000
HighFPSPhysicsFix.dll            0x7FF820720000
faster_workshop.dll              0x7FF820880000
f4pm.dll                         0x7FF8208E0000
ESPExplorer.dll                  0x7FF820950000
IPHLPAPI.DLL                     0x7FF8209B0000
Discord_Presence_F4SE.dll        0x7FF821380000
crafting_highlight_fix.dll       0x7FF821420000
ClassicHolsteredWeapons.dll      0x7FF821470000
CCExtenderF4.dll                 0x7FF821520000
BulletCountedReload.dll          0x7FF821590000
Buffout4.dll                     0x7FF821620000
tier0_s64.dll                    0x7FF821830000
tbbmalloc.dll                    0x7FF822540000
BakaScrapHeap.dll                0x7FF8225A0000
f4se_1_10_163.dll                0x7FF827D50000
BetterConsole.dll                0x7FF8296F0000
BakaWaitAnywhere.dll             0x7FF829CF0000
vstdlib_s64.dll                  0x7FF829D60000
cudart64_75.dll                  0x7FF82A400000
GFSDK_GodraysLib.x64.dll         0x7FF82BA40000
nvspcap64.dll                    0x7FF833550000
winmmbase.dll                    0x7FF8386E0000
PriorityMod.dll                  0x7FF839D30000
AUDIOSES.DLL                     0x7FF83F330000
WeaponDebrisCrashFix.dll         0x7FF8441F0000
pppl.dll                         0x7FF845460000
mskeyprotect.dll                 0x7FF8473C0000
ncryptsslp.dll                   0x7FF8475C0000
usvfs_x64.dll                    0x7FF84A880000
GFSDK_SSAO_D3D11.win64.dll       0x7FF84AB10000
flexRelease_x64.dll              0x7FF84ABA0000
cc_cleaner.dll                   0x7FF84AE40000
MSVCR110.dll                     0x7FF84AE80000
MpOav.dll                        0x7FF84C080000
amsi.dll                         0x7FF84C800000
wbemsvc.dll                      0x7FF84CA00000
fastprox.dll                     0x7FF84D310000
MSVCP140.dll                     0x7FF84F710000
