XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000072ED0000
steam_api64.dll                  0x000072EE0000
d3d11.dll                        0x000180000000
LL_fourPlay_1_10_163.dll         0x023B61EB0000
Fallout4.exe                     0x7FF665E80000
nvspcap64.dll                    0x7FFF02F00000
d3dcompiler_47_64.dll            0x7FFF46780000
steamclient64.dll                0x7FFF46D80000
NvCamera64.dll                   0x7FFF4C0B0000
nvwgf2umx.dll                    0x7FFF4C990000
d3dcompiler_46e.dll              0x7FFF4F670000
dxgi.dll                         0x7FFF4FA30000
D3DCOMPILER_43.dll               0x7FFF50550000
IPHLPAPI.DLL                     0x7FFF507C0000
Buffout4.dll                     0x7FFF51670000
gameoverlayrenderer64.dll        0x7FFF57C30000
tier0_s64.dll                    0x7FFF5A2F0000
wsfw_identifier.dll              0x7FFF5A4B0000
DSOUND.DLL                       0x7FFF5BED0000
XAudio2_7.dll                    0x7FFF5C6F0000
WeaponsFramework.dll             0x7FFF63860000
flexRelease_x64.dll              0x7FFF63AE0000
winmmbase.dll                    0x7FFF67180000
TullFramework.dll                0x7FFF68FE0000
PowerGridTools.dll               0x7FFF69220000
mcm.dll                          0x7FFF69290000
ondemandconnroutehelper.dll      0x7FFF6F4E0000
WININET.dll                      0x7FFF77980000
f4ee.dll                         0x7FFF7B880000
SSW.dll                          0x7FFF7D7D0000
place.dll                        0x7FFF7E0D0000
FloatingDamage.dll               0x7FFF7E150000
BulletCountedReload.dll          0x7FFF7E240000
f4se_1_10_163.dll                0x7FFF7E440000
vstdlib_s64.dll                  0x7FFF7F390000
GFSDK_SSAO_D3D11.win64.dll       0x7FFF7F4F0000
MSVCR110.dll                     0x7FFF7F580000
tbbmalloc.dll                    0x7FFF80670000
MSVCP110.dll                     0x7FFF806D0000
webio.dll                        0x7FFF84230000
rasadhlp.dll                     0x7FFF862B0000
fwpuclnt.dll                     0x7FFF86500000
mskeyprotect.dll                 0x7FFF86780000
ncryptsslp.dll                   0x7FFF86A00000
Secur32.dll                      0x7FFF87410000
DINPUT8.dll                      0x7FFF87460000
MpOav.dll                        0x7FFF87670000
amsi.dll                         0x7FFF87730000
cudart64_75.dll                  0x7FFF87760000
bink2w64.dll                     0x7FFF87910000
GFSDK_GodraysLib.x64.dll         0x7FFF87AA0000
UnlimitedSurvivalMode.dll        0x7FFF87CA0000
flexExtRelease_x64.dll           0x7FFF88010000
COMCTL32.dll                     0x7FFF88E30000
MessageBus.dll                   0x7FFF89280000
DbgHelp.dll                      0x7FFF89A80000
WINSPOOL.DRV                     0x7FFF8B620000
hudextension.dll                 0x7FFF8B8B0000
fastprox.dll                     0x7FFF8BCC0000
WINHTTP.dll                      0x7FFF8BFC0000
wbemsvc.dll                      0x7FFF8C870000
wbemcomn.dll                     0x7FFF8CE30000
urlmon.dll                       0x7FFF8CF70000
WINMM.dll                        0x7FFF8D530000
MSVCP140.dll                     0x7FFF90220000
iertutil.dll                     0x7FFF902B0000
nvapi64.dll                      0x7FFF91670000
nvldumdx.dll                     0x7FFF91E10000
inputhost.dll                    0x7FFF92240000
textinputframework.dll           0x7FFF923A0000
Windows.UI.dll                   0x7FFF924A0000
d3dx11_43.dll                    0x7FFF92EC0000
dxcore.dll                       0x7FFF92F50000
wbemprox.dll                     0x7FFF93110000
srvcli.dll                       0x7FFF93130000
MMDevApi.dll                     0x7FFF93FD0000
AUDIOSES.DLL                     0x7FFF940A0000
drvstore.dll                     0x7FFF94DC0000
cryptnet.dll                     0x7FFF94F10000
VERSION.dll                      0x7FFF94F50000
WINNSI.DLL                       0x7FFF95DE0000
dhcpcsvc6.DLL                    0x7FFF95DF0000
WindowsCodecs.dll                0x7FFF95E70000
WindowManagementAPI.dll          0x7FFF96030000
dhcpcsvc.DLL                     0x7FFF96170000
avrt.dll                         0x7FFF964A0000
f4se_steam_loader.dll            0x7FFF96D40000
twinapi.appcore.dll              0x7FFF97370000
encounter_zone_recalculation.dll 0x7FFF97600000
PROPSYS.dll                      0x7FFF97B30000
XINPUT9_1_0.dll                  0x7FFF97C80000
d3d11.dll                        0x7FFF97D90000
d3dcompiler_47.dll               0x7FFF98000000
wintypes.dll                     0x7FFF98BB0000
MSIMG32.dll                      0x7FFF98E30000
VCRUNTIME140.dll                 0x7FFF98E60000
CoreUIComponents.dll             0x7FFF993F0000
CoreMessaging.dll                0x7FFF99750000
VCRUNTIME140_1.dll               0x7FFF99950000
MSVCP140_ATOMIC_WAIT.dll         0x7FFF999D0000
nvToolsExt64_1.dll               0x7FFF99AA0000
apphelp.dll                      0x7FFF99AB0000
UxTheme.dll                      0x7FFF99C50000
resourcepolicyclient.dll         0x7FFF99D70000
dwmapi.dll                       0x7FFF99F60000
kernel.appcore.dll               0x7FFF9A170000
windows.storage.dll              0x7FFF9A370000
HID.DLL                          0x7FFF9AB10000
dxgi.dll                         0x7FFF9AB50000
schannel.DLL                     0x7FFF9B220000
rsaenh.dll                       0x7FFF9B300000
ntmarta.dll                      0x7FFF9B420000
UMPDC.dll                        0x7FFF9B6D0000
IpHlpAPI.dll                     0x7FFF9B6F0000
netutils.dll                     0x7FFF9B730000
DNSAPI.dll                       0x7FFF9B740000
powrprof.dll                     0x7FFF9B860000
MSWSOCK.dll                      0x7FFF9BA50000
CRYPTSP.dll                      0x7FFF9BC40000
CRYPTBASE.DLL                    0x7FFF9BC60000
Wldp.dll                         0x7FFF9BCF0000
NTASN1.dll                       0x7FFF9BD20000
ncrypt.dll                       0x7FFF9BD60000
msasn1.dll                       0x7FFF9BE80000
devobj.dll                       0x7FFF9C040000
DPAPI.DLL                        0x7FFF9C090000
SSPICLI.DLL                      0x7FFF9C150000
USERENV.dll                      0x7FFF9C190000
profapi.dll                      0x7FFF9C1D0000
bcryptPrimitives.dll             0x7FFF9C290000
ucrtbase.dll                     0x7FFF9C320000
KERNELBASE.dll                   0x7FFF9C420000
gdi32full.dll                    0x7FFF9C700000
win32u.dll                       0x7FFF9C810000
WINTRUST.DLL                     0x7FFF9C840000
bcrypt.dll                       0x7FFF9C8B0000
cfgmgr32.dll                     0x7FFF9C8E0000
msvcp_win.dll                    0x7FFF9C930000
CRYPT32.dll                      0x7FFF9CA80000
