[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     AAF.esm
[08]     ArmorKeywords.esm
[09]     HUDFramework.esm
[0A]     DEF_WIDGETS_CORE.esm
[0B]     ExtendedWeaponSystem.esm
[0C]     WorkshopFramework.esm
[0D]     SS2.esm
[0E]     Snap'n Build.esm
[0F]     TacticalReload.esm
[10]     Unofficial Fallout 4 Patch.esp
[11]     Homemaker.esm
[12]     Gunners Overhaul 1.1.esm
[13]     JonsMod.esm
[14]     Robot Home Defence.esm
[15]     SS2_XPAC_Chapter2.esm
[16]     Overlays.esm
[17]     hood.esp
[18]     Atomic Lust.esp
[19]     GIAT_FAMAS.esp
[1A]     AllSetsExtended.esp
[1B]     Armorsmith Extended.esp
[1C]     AEWS.esp
[1D]     th1nkEyebot.esp
[1E]     th1nkEyeBot-FarHarbor.esp
[1F]     RobotFactionPaint.esp
[20]     autoweapons.esp
[21]     AutomatronUnlockedNukaParts.esp
[22]     BetterAutomatronWeapons.esp
[23]     Better Armor Scrap-Ultimate Edition.esp
[24]     Atomic World.esp
[25]     DCGuard_Overhaul.esp
[26]     ABundleofTape.esp
[27]     CraftingOverhaulTlTlNoBIS.esp
[28]     Mosin.esp
[29]     0_Vault120.esp
[2A]     AKeVolk.esp
[2B]     Quad_Accelerator.esp
[2C]     AnimChemRedux.esp
[2D]     APC9.esp
[2E]     BF1 Animations - Double Barrel Shotgun v2.3.esp
[2F]     BeastWhisperer.esp
[30]     MWvalpha.esp
[31]     _00Stingray.esp
[32]     AtomicRadio.esp
[33]     ASH127.esp
[34]     L96A1.esp
[35]     BOCW Outfit Pack.esp
[36]     D13Crafting.esp
[37]     SS2_Addon_FHE.esp
[38]     BetterCompanions.esp
[39]     Piercings.esp
[3A]     [ARR] FallEvil - Mega Zombie Pack.esp
[3B]     [ARR] FallEvil - Zombie Dogs REVisited.esp
[3C]     GR001-AutomatronRebooted.esp
[3D]     ECO.esp
[3E]     GlowingSeaEXPANDED.esp
[3F]     CombinedArmsNV.esp
[40]     CombinedArmsEXPack.esp
[41]     ConcordEXPANDED.esp
[42]     CombatZoneRestored.esp
[43]     Eli_Armour_Compendium.esp
[44]     DeadlierDeathclaws.esp
[45]     Vault4.esp
[46]     3DNPC_FO4_DLC.esp
[47]     DTG_LeveledListIntegration.esp
[48]     WZXM4.esp
[49]     ChinaLakeandHolorifle.esp
[4A]     MK_CanteensofCommonwealth.esp
[4B]     Crossbow.esp
[4C]     Crazy Safari.esp
[4D]     Wana_SA58.esp
[4E]     ellen.esp
[4F]     Glock19x.esp
[50]     BuildableBurningCampfires.esp
[51]     SlowTime.esp
[52]     Buildable Fallout 76 Watchtowers V2.esp
[53]     CROSS_GoreCrits.esp
[54]     CROSS_Jetpack.esp
[55]     LooksMenu Customization Compendium.esp
[56]     Casio_W59.esp
[57]     P90.esp
[58]     GrenadeExpansionPackChinaLakePatch.esp
[59]     CF_AtomicWarlord.esp
[5A]     ColtDeltaElite_10mmReplacer.esp
[5B]     KSHairdos.esp
[5C]     D.E.C.A.Y.esp
[5D]     DarkerNights.esp
[5E]     DN Music.esp
[5F]     Escape from Boston - M200 Intervention.esp
[60]     ExoticWorkshopCreatures.esp
[61]     BeastMaster_ExoticCreaturesPatch.esp
[62]     FO4 NPCs Travel.esp
[63]     Follower Revive System.esp
[64]     GasserRevolver.esp
[65]     FnScar.esp
[66]     EFT_ShAK-12.esp
[67]     mmd_GuardPostWithSpotlights.esp
[68]     [SS20Addon] SimSettlements SuperStructures.esp
[69]     3DNPC_FO4.esp
[6A]     SuperMutantRedux.esp
[6B]     SPTFIRE-ALLDLC.esp
[6C]     AGNISNikaCola01.esp
[6D]     3DNPC_FO4Settler.esp
[6E]     Mercenary.esp
[6F]     powerarmort49.esp
[70]     stumbleuponinteriors.esp
[71]     TU3SD4Y'S Fallout 76 Survival Tent.esp
[72]     LightsaberMod.esp
[73]     Synth Overhaul.esp
[74]     TAC.esp
[75]     THPoses.esp
[76]     WastelandEnergyShields.esp
[77]     Invisible wires.esp
[78]     HN66Fo4_Rings.esp
[79]     HN66Fo4_EarringsV1.esp
[7A]     UltraInteriorLighting.esp
[7B]     Icepick Overhaul.esp
[7C]     SS2WastelandReconstructionKit.esp
[7D]     GunnersOverhaul.esp
[7E]     nvvault1080.esp
[7F]     UrbanFoodExpanded.esp
[80]     MojaveImports.esp
[81]     W.A.T.Minutemen.esp
[82]     LegendaryPAPieces.esp
[83]     DT_GunnerOutfitPack.esp
[84]     UniqueUniques.esp
[85]     Mark V[B] Armory - WES Patch.esp
[86]     EvilViking13_WastelandWalls.esp
[87]     InsideJobs.esp
[88]     GrenadeExpansionPack.esp
[89]     WattzLaserGun.esp
[8A]     wd_huntingrifle.esp
[8B]     LooksMirror.esp
[8C]     LString_Bow.esp
[8D]     DWUK_LexingtonInteriors.esp
[8E]     M1Garand.esp
[8F]     HoloTime_2.esp
[90]     ImiUzi.esp
[91]     AAlpha12.esp
[92]     InstitWeapPosit.esp
[93]     NRAW_KF5.esp
[94]     LegendaryPAPieces - FarHarborPatch.esp
[95]     Locksmith.esp
[96]     M1Garand - AWKCR-VIS.esp
[97]     M2Agency.esp
[98]     llamaCompanionHeather.esp
[99]     Colt1911.esp
[9A]     DP_CaravanShotgun.esp
[9B]     HuntingShotgun.esp
[9C]     BOUNTIESFORYOU.esp
[9D]     MP7.esp
[9E]     Skibs-WH77Redux.esp
[9F]     HKUSP9mm.esp
