[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     AAF.esm
[0C]     MutantMenagerie.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     SouthOfTheSea.esm
[0F]     ProjectMojave.esm
[10]     CWWorkshopMaster.esm
[11]     Companion Infinite Ammo and Unbreakable Power Armour.esm
[12]     TacticalReload.esm
[13]     Russian_Operator_Pack.esp
[14]     BOCW Outfit Pack.esp
[15]     Better Locational Damage.esp
[16]     Better Locational Damage - DLC_Far_Harbor.esp
[17]     BLD - Leveled Lists - DLC.esp
[18]     No Borders.esp
[19]     UltraInteriorLighting.esp
[1A]     Diamond City Clean up Project.esp
[1B]     UltraExteriorLighting.esp
[1C]     Pine Forest Redone.esp
[1D]     NiceBush.esp
[1E]     PFR-Mist Addon.esp
[1F]     PiperCaitCurieDialogueOverhaul.esp
[20]     MoreLeavesFX-EN.esp
[21]     Phase4DLC.esp
[22]     RynsFallout4.esp
[23]     Ketaros_Treasures.esp
[24]     Remove Interior Fog - All Dlc.esp
[25]     SuperMutantRedux.esp
[26]     OutcastsAndRemnants.esp
[27]     CrimeTown.esp
[28]     AnimatedCandles.esp
[29]     Cyberman.esp
[2A]     Better Locational Damage - DLC_Automatron.esp
[2B]     CraftingFramework.esp
[2C]     Better Locational Damage - DLC_Nuka_World.esp
[2D]     Glowing Animals Emit Light.esp
[2E]     Better Locational Damage - DLC_WWorkshop.esp
[2F]     Better Perks.esp
[30]     Better VATS - 0.75.esp
[31]     [MW2022] Shadow Company.esp
[32]     Infinite Armory.esp
[33]     Reverb and Ambiance Overhaul.esp
[34]     Mark V[B] Redux.esp
[35]     SKKRESystemManager.esp
[36]     FIS-Naming-Weap-Armo-EN.esp
[37]     Wasteland Workshop Streetlights.esp
[38]     DiamondNewVendors.esp
[39]     SC-SanctuaryCrash-redux.esp
[3A]     PAC.esp
[3B]     America Rising - A Tale of the Enclave.esp
[3C]     AutomatronClaptrap.esp
[3D]     IWProtag.esp
[3E]     IWJackal.esp
[3F]     IWSynaptic.esp
[40]     BZW_COD_Ghost_Jawbone.esp
[41]     BetterCoastalWaves.esp
[42]     MyCart_Biohazard.esp
[43]     Eli_Armour_Compendium.esp
[44]     MegaExplosions_x2.esp
[45]     jsrs.esp
[46]     MWHitFx.esp
[47]     NAC.esp
[48]     CBBE.esp
[49]     TacticalReloadDLC.esp
[4A]     Casio_W59.esp
[4B]     ClassicGhoulRace2022.esp
[4C]     BZW_Chris_Redfield.esp
[4D]     DlxClothesPack.esp
[4E]     E3PC.esp
[4F]     JSSynths.esp
[50]     Cinematographic fog effect - Heavy.esp
[51]     Explosive Plasma Projectiles.esp
[52]     Factor.esp
[53]     Inst_Exoskeleton_R-20.esp
[54]     [ETH]EthnetsMeleeSounds.esp
[55]     C_VWAS.esp
[56]     [ARR] Hunter Beta.esp
[57]     [ARR] FallEvil - Zombie Dogs REVisited.esp
[58]     Clean Water - Tropical.esp
[59]     Scopes.esp
[5A]     Fireflies.esp
[5B]     FlaconOil_BA2_Upto4K_Part3.esp
[5C]     AA FusionCityRising.esp
[5D]     MoreOutfitVariations.esp
[5E]     W.A.T.Minutemen.esp
[5F]     GhoulBlood.esp
[60]     [ARR] FallEvil - Mega Zombie Pack.esp
[61]     [ARR] MZP Zombie Behaviour.esp
[62]     kobold.esp
[63]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[64]     Backpacks of the Commonwealth.esp
[65]     Flashy_Infestations.esp
[66]     Zetan.esp
[67]     Teddies 76.esp
[68]     InGameCollectibleMaps.esp
[69]     MA37.esp
[6A]     MisriahArmory.esp
[6B]     ProjectValkyrie.esp
[6C]     UltracitePA.esp
[6D]     LilyCompanion.esp
[6E]     MjolnirMKVB.esp
[6F]     Noble Team Companions.esp
[70]     CSEPBIARedux.esp
[71]     AER15.esp
[72]     BLD - AI Tweaks.esp
[73]     MM_UNSC_IA.esp
[74]     Midwest Power Armor Evolution.esp
[75]     CWCreateABot.esp
[76]     llamaCompanionHeatherv2.esp
[77]     VisibleWeaponsOnPacks.esp
[78]     ECV_RemnantsArmor.esp
[79]     US_Rangers.esp
[7A]     [MW2R] Shadow Company.esp
[7B]     [LEO] Licker.esp
[7C]     [ARRETH] FGEP.esp
[7D]     Gunner_Operator.esp
[7E]     KSHairdos.esp
[7F]     Hellfirenew.esp
[80]     870.esp
[81]     CriticalFX.esp
[82]     Live Action Handy.esp
[83]     CompRedo.esp
[84]     Holsters & sheaths.esp
[85]     Riot_Armor.esp
[86]     Synth Overhaul.esp
[87]     FlaconOil_BA2_Upto4K_Part2.esp
[88]     EnclaveX02.esp
[89]     Guards.esp
[8A]     3Vegas_SurvivalBeverages_version1A.esp
[8B]     Crows&Creatures_V1.esp
[8C]     HiPolyFaces.esp
[8D]     Delta.esp
[8E]     FO4 NPCs Travel.esp
[8F]     Karma-45.esp
[90]     K9TacticalHarness.esp
[91]     KrissVector.esp
[92]     Ketaros_World.esp
[93]     Leaf Piles Improved.esp
[94]     ZellaHairDye.esp
[95]     LooksMenu Customization Compendium.esp
[96]     LooksMenu.esp
[97]     Lots More Facial Hair.esp
[98]     LongRangeBulletHoles.esp
[99]     Lots More Male Hairstyles.esp
[9A]     JK_IonCannon.esp
[9B]     MWIIM4.esp
[9C]     MW-Farah.esp
[9D]     MW-Krueger.esp
