[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     XDI.esm
[09]     HUDFramework.esm
[0A]     ArmorKeywords.esm
[0B]     WorkshopFramework.esm
[0C]     MutantMenagerie.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     CompanionIvy.esm
[0F]     Companion Infinite Ammo and Unbreakable Power Armour.esm
[10]     TacticalReload.esm
[11]     SS2.esm
[12]     SS2_XPAC_Chapter2.esm
[13]     AAF.esm
[14]     Servitron.esm
[15]     TheSewers.esm
[16]     ProjectMojave.esm
[17]     CWWorkshopMaster.esm
[18]     TortureDevices.esm
[19]     LooksMenu.esp
[1A]     KSHairdos.esp
[1B]     SleekStylesPack.esp
[1C]     KSHairsFemsheppingRadbeetle.esp
[1D]     The Eyes Of Beauty.esp
[1E]     UltraInteriorLighting.esp
[1F]     No Borders.esp
[20]     Diamond City Clean up Project.esp
[21]     UltraExteriorLighting.esp
[22]     Pine Forest Redone.esp
[23]     NiceBush.esp
[24]     PFR-Mist Addon.esp
[25]     PiperCaitCurieDialogueOverhaul.esp
[26]     Unique NPCs - Creatures and Monsters.esp
[27]     Phase4DLC.esp
[28]     MoreLeavesFX-EN.esp
[29]     SOTS.esp
[2A]     NAI.esp
[2B]     WestTekResearchCenter.esp
[2C]     Improved Boston Airport.esp
[2D]     GunnersOverhaul.esp
[2E]     Armorsmith Extended.esp
[2F]     Better Locational Damage.esp
[30]     AEWS.esp
[31]     [ARR] FallEvil - Zombie Dogs REVisited.esp
[32]     [ARR] Hunter Beta.esp
[33]     Better Locational Damage - DLC_Far_Harbor.esp
[34]     JSSynths.esp
[35]     Reverb and Ambiance Overhaul.esp
[36]     KrissVector.esp
[37]     Factor.esp
[38]     Mac10.esp
[39]     McMillanCS5.esp
[3A]     Quad_RAWLauncher.esp
[3B]     RemingtonM11.esp
[3C]     RU556_VWAS.esp
[3D]     Scopes.esp
[3E]     3DNPC_FO4.esp
[3F]     EFF.esp
[40]     RynsFallout4.esp
[41]     SuperMutantRedux.esp
[42]     Ketaros_Treasures.esp
[43]     moreXplore.esp
[44]     OutcastsAndRemnants.esp
[45]     CompanionIvy_Nuka.esp
[46]     CrimeTown.esp
[47]     AnimatedCandles.esp
[48]     RW9 LZ Commonwealth.esp
[49]     Depravity.esp
[4A]     DiamondNewVendors.esp
[4B]     NAC.esp
[4C]     CF_AtomicWarlord.esp
[4D]     America Rising - A Tale of the Enclave.esp
[4E]     TU3SD4Y'S Fallout 76 Watchtowers REDUX.esp
[4F]     Eli_Armour_Compendium.esp
[50]     AA FusionCityRising.esp
[51]     jsrs.esp
[52]     Vault4.esp
[53]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[54]     Fusion Gun.esp
[55]     MoreOutfitVariations.esp
[56]     W.A.T.Minutemen.esp
[57]     GhoulBlood.esp
[58]     [LEO] Licker.esp
[59]     RaiderOverhaul.esp
[5A]     MWM91.esp
[5B]     CriticalFX.esp
[5C]     EBSO.esp
[5D]     [ARRETH] FGEP.esp
[5E]     SKKRESystemManager.esp
[5F]     Elysium.esp
[60]     Guards.esp
[61]     TrueGrass.esp
[62]     VELDT.esp
[63]     InteractionAnimations.esp
[64]     PowerArmorSkinPack.esp
[65]     Weapon Rack Extended.esp
[66]     CraftingFramework.esp
[67]     Karma-45.esp
[68]     MWM4.esp
[69]     [ARR] FallEvil - Mega Zombie Pack.esp
[6A]     3dscopes.esp
[6B]     VtawWardrobe6.esp
[6C]     VtawWardrobe8.esp
[6D]     C_VWAS.esp
[6E]     EnclaveX02.esp
[6F]     Holsters & sheaths.esp
[70]     Raider Overhaul - AE Patch-Restored Content.esp
[71]     3DNPC_FO4_DLC.esp
[72]     atlanticofficesf23.esp
[73]     kobold.esp
[74]     SS2Extended.esp
[75]     DCGuard_Overhaul.esp
[76]     InstituteJunkyard.esp
[77]     Stm_DiamondCityExpansion.esp
[78]     InstituteSettlements2.esp
[79]     Backpacks of the Commonwealth.esp
[7A]     DX_Banshee_Recon_Armor.esp
[7B]     Flashy_CrimeAndPunishment.esp
[7C]     3DNPC_FO4Settler.esp
[7D]     IKAROS-Androids.esp
[7E]     TacticalTablet.esp
[7F]     LooksMenu Customization Compendium.esp
[80]     ZellaHairDye.esp
[81]     Post Nuclear Girl.esp
[82]     Clothes Pack 2 by DonEb14n.esp
[83]     DlxClothesPack.esp
[84]     Clothes Pack 4 by DonEb14n.esp
[85]     DonEb14n Clothes pack.esp
[86]     Teddies 76.esp
[87]     EG7.esp
[88]     870.esp
[89]     Riot_Armor.esp
[8A]     Explosive Plasma Projectiles.esp
[8B]     AA12.esp
[8C]     Glock86.esp
[8D]     SS2_FDK_TinyLiving.esp
[8E]     MagnoCumGaudio.esp
[8F]     ProjectValkyrie.esp
[90]     CSEPBountyMod.esp
[91]     CompanionIvy_quest.esp
[92]     AKM_AKMS.esp
[93]     CombinedArmsNV.esp
[94]     CombinedArmsEXPack.esp
[95]     UltracitePA.esp
[96]     SigMCX.esp
[97]     10-22 Pistol.esp
[98]     MK18.esp
[99]     mk14.esp
[9A]     AER15.esp
[9B]     Midwest Power Armor Evolution.esp
[9C]     LString_Bow.esp
[9D]     Tactical ACR.esp
[9E]     ClassicSniper.esp
[9F]     llamaCompanionHeatherv2.esp
[A0]     VisibleWeaponsOnPacks.esp
[A1]     [SS20Addon] SimSettlements SuperStructures.esp
[A2]     FO4 NPCs Travel.esp
[A3]     BH_MCX_Spear.esp
