[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     WorkshopFramework.esm
[08]     HUDFramework.esm
[09]     ArmorKeywords.esm
[0A]     SS2.esm
[0B]     Loads.esm
[0C]     NewCalibers.esp
[0D]     Homemaker.esm
[0E]     Brawl Bug Fix.esp
[0F]     VIS-G Item Sorting.esp
[10]     WeightlessSpecialAmmo.esp
[11]     PiperCaitCurieDialogueOverhaul.esp
[12]     3dscopes.esp
[13]     RichMerchants.esp
[14]     Loads of Ammo - Leveled Lists.esp
[15]     Homemaker - Streetlights Use Passive Power.esp
[16]     FunctionalDisplays-Collectibles.esp
[17]     EveryonesBestFriend.esp
[18]     Companion Infinite Ammo.esp
[19]     Campsite.esp
[1A]     Armorsmith Extended.esp
[1B]     WeightlessMods.esp
[1C]     WeightlessJunk.esp
[1D]     FunctionalDisplays.esp
[1E]     WeightlessAid.esp
[1F]     FunctionalDisplays-MISC-VIS-Weightless.esp
[20]     FunctionalDisplays-Patch-DLC-ALL-VIS-Weightless.esp
[21]     Eli_Armour_Compendium.esp
[22]     Eli Armor Compendium AE VIS Patch.esp
[23]     CheatTerminal.esp
[24]     Eli_Rockin Red Rocket.esp
[25]     UniqueUniques.esp
[26]     Backpacks of the Commonwealth.esp
[27]     DOOMMerged.esp
[28]     FunctionalDisplays-AID-VIS.esp
[29]     FunctionalDisplays-AID-VIS-Weightless.esp
[2A]     FunctionalDisplays-MISC-VIS.esp
[2B]     FunctionalDisplays-Patch-DLC-ALL-VIS.esp
[FE:000] Loot Detector.esl
