[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     WorkshopFramework.esm
[0C]     SouthOfTheSea.esm
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     CWPointLookoutFO4.esm
[10]     ProjectMojave.esm
[11]     TacticalReload.esm
[12]     RAW INPUT.esp
[13]     LooksMenu.esp
[14]     AWKCR - Mod Power Armor Engine Glitch Fix.esp
[15]     Armorsmith Extended.esp
[16]     ESPExplorerFO4.esp
[17]     HoloTime.esp
[18]     QuickTrade.esp
[19]     Immersive HUD.esp
[1A]     CustomCamera.esp
[1B]     NeuraLOD.esp
[1C]     PiperCaitCurieDialogueOverhaul.esp
[1D]     3DNPC_FO4.esp
[1E]     RailroadRedone.esp
[1F]     TrainBar.esp
[20]     SS2Extended.esp
[21]     3DNPC_FO4_DLC.esp
[22]     PlaneWreck.esp
[23]     AtomCatGarage.esp
[24]     Mercenary.esp
[25]     CSEPBountyMod.esp
[26]     UFOCrashSite.esp
[27]     F4NV-AMR.esp
[28]     9mmPistol.esp
[29]     TacticalReloadVanilla.esp
[2A]     127mmSMG.esp
[2B]     1FOM_FireAxe.esp
[2C]     3dscopes.esp
[2D]     50CalMachineGun.esp
[2E]     [XHX] Metro Exodus Stallion.esp
[2F]     AKSounds.esp
[30]     F3metalarmor.esp
[31]     F4NVSingleActionArmy.esp
[32]     FemsheppingsLightBrawlerOutfits.esp
[33]     G_Survivalist.esp
[34]     RightHandedHuntingRifle.esp
[35]     WestTek.esp
[36]     Zanthir_MinigunReplacer.esp
[37]     CF_AtomicWarlord.esp
[38]     Be Exceptional - Uninstall.esp
[39]     Be Exceptional.esp
[3A]     CinematicKills.esp
[3B]     EveryonesBestFriend.esp
[3C]     Fallout 4 AI Overhaul - NAC X Legacy Patch.esp
[3D]     NPC Accuracy Revised.esp
[3E]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[3F]     CriticalHitsOutsideofVATS.esp
[40]     SlowTime.esp
[41]     LongerPowerLines3x.esp
[42]     Ambient Wasteland.esp
[43]     AmbientTunnels.esp
[44]     Assault Rifle Reanimated.esp
[45]     SigSauer127.esp
[46]     F4CW10mmSMG.esp
[47]     F4NVServiceRifleRedux.esp
[48]     SimpleBounties.esp
[49]     llamaCompanionHeatherv2.esp
[4A]     FO4 NPCs Travel.esp
[4B]     VarmintRifle.esp
[4C]     VarmintRifle - AWKCR.esp
[4D]     HuntingShotgun.esp
[4E]     AtomicRadio.esp
[4F]     MiscOutfitPackv2.esp
[50]     NAC.esp
[51]     NAC-FH.esp
[52]     NAC-NW.esp
[53]     ClassicBehemoth.esp
[54]     CROSS_GoreCrits.esp
[55]     CROSS_GoreCrits_FarHarborPatch.esp
[56]     AnimatedCandles.esp
[57]     dD-Enhanced Blood Basic.esp
[58]     Fallout Suite.esp
[59]     Fixed Alpha Maps.esp
[5A]     fo3friedghouls.esp
[5B]     ImmersiveAnimationFramework.esp
[5C]     Insignificant Object Remover.esp
[5D]     instituteproject2k.esp
[5E]     InstitWeapPosit.esp
[5F]     JSRS_Footsteps.esp
[60]     Laser Weapon Reanimated.esp
[61]     laserproject2k.esp
[62]     TacticalReloadDLC.esp
[63]     LeverActionBCR.esp
[64]     NukaWorldRifleClassicStock.esp
[65]     PerformanceImproverMolotov.esp
[66]     plasmaproject.esp
[67]     RadiantBirdsv05.esp
[68]     SS2_XDI Patch.esp
[69]     XR92_Rifle_TacticalReloadPatch.esp
[6A]     HiPolyFaces.esp
[6B]     CBBE.esp
[6C]     ClassicGhoulRace2022.esp
[6D]     SimpleBounties - Ghoul Race Redux Patch.esp
[6E]     ConcordNPCOverhaul.esp
[6F]     DCWestSuperMutants.esp
[70]     Edit_Hancock.esp
[71]     KSHairsFemsheppingRadbeetle.esp
[72]     SSF - All In One (NEW).esp
[73]     SSNPC - DCResidentsAIO.esp
[74]     SSNPC - KelloggNEW.esp
[75]     The Eyes Of Beauty.esp
[76]     TheEyesOfBeauty.esp
[77]     HKUSP9mm.esp
[78]     BH_Colt M1911.esp
[79]     3dscopes-f4nvamr.esp
[7A]     Esk_NoTeleportingCreatures.esp
[7B]     More Where That Came From Diamond City.esp
[7C]     3dscopes-servicerifle.esp
[7D]     F4NVServiceRifleReduxAmmoPatch.esp
[7E]     VGDoubleBarrel.esp
[7F]     Rusty Face Fix.esp
[80]     Nac X Fogline Fix.esp
[81]     MiscHairstyle.esp
[82]     StartMeUp.esp
[83]     PlayerComments.esp
[84]     StartMeUpNukaWorldPatch.esp
[85]     PlayerComments_PiperCaitCurieDialogueOverhaul_Patch.esp
[86]     PlayerComments_UFO4P_Patch.esp
[87]     PlayerCommentsStartMeUpPiperFix.esp
[88]     EnhancedLightsandFX.esp
[89]     Femsheppings Outfits.esp
[FE:000] Small blur Crafting screen background.esl
[FE:001] PPF.esm
[FE:002] TAAFlickerRemover.esl
[FE:003] CROSS_VertibirdFlightsuit.esl
[FE:004] CWBrotherhoodOutfits.esl
[FE:005] SSTForestFungusDelit.esl
[FE:006] ClassicBobbleheads.esl
[FE:007] CWOutfitPackPart2.esl
[FE:008] CWRaiders.esl
[FE:009] VaultOutfitPack.esl
[FE:00A] Encumbrance76.esl
[FE:00B] ballisticproject2k.esl
[FE:00C] Bighorner.esl
[FE:00D] Centaur.esl
[FE:00E] CWBrahmin.esl
