XINPUT1_3.dll               0x000000400000
x3daudio1_7.dll             0x000058080000
steam_api64.dll             0x000058090000
Buffout4.dll                0x01E11F320000
MSCTF.dll                   0x01E145B70000
WINTRUST.DLL                0x01E146760000
Fallout4VR.exe              0x7FF6C2020000
XAudio2_7.dll               0x7FFE154C0000
mcm_vr.dll                  0x7FFE158A0000
HighFPSPhysicsFixVR.dll     0x7FFE15940000
FRIK.dll                    0x7FFE159B0000
FO4VRTools.dll              0x7FFE15A70000
f4sevr_1_2_72.dll           0x7FFE15DF0000
dxgi.dll                    0x7FFE15ED0000
IPHLPAPI.DLL                0x7FFE162E0000
bink2w64.dll                0x7FFE168A0000
MSVCR110.dll                0x7FFE16930000
MSVCP110.dll                0x7FFE16A10000
gameoverlayrenderer64.dll   0x7FFE1E3B0000
vrclient_x64.dll            0x7FFE1F200000
steamclient64.dll           0x7FFE1F690000
tier0_s64.dll               0x7FFE33600000
vstdlib_s64.dll             0x7FFE41D80000
FO4VR_better_scopes.dll     0x7FFE436F0000
nvwgf2umx.dll               0x7FFE44EE0000
X3DAudio1_7.dll             0x7FFE48E50000
DSOUND.DLL                  0x7FFE50D50000
nvapi64.dll                 0x7FFE65480000
nvspcap64.dll               0x7FFE6B070000
f4sevr_steam_loader.dll     0x7FFE73670000
MSVCP140_ATOMIC_WAIT.dll    0x7FFE73D90000
uiautomationcore.dll        0x7FFE73EF0000
AUDIOSES.DLL                0x7FFE78A50000
openvr_api.dll              0x7FFE7C400000
AcGenral.DLL                0x7FFE7C450000
mskeyprotect.dll            0x7FFE84120000
ncryptsslp.dll              0x7FFE842C0000
MPR.dll                     0x7FFE84E30000
MSVCP140.dll                0x7FFE8B570000
VCRUNTIME140.dll            0x7FFE8B600000
webio.dll                   0x7FFE8C5A0000
VCRUNTIME140_1.dll          0x7FFE8DF20000
winmmbase.dll               0x7FFE8F880000
ondemandconnroutehelper.dll 0x7FFE90900000
Oleacc.dll                  0x7FFE91220000
WINSPOOL.DRV                0x7FFE91290000
COMCTL32.dll                0x7FFE91C80000
DbgHelp.dll                 0x7FFE92A00000
nvldumdx.dll                0x7FFE94350000
Secur32.dll                 0x7FFE94690000
fwpuclnt.dll                0x7FFE95580000
rasadhlp.dll                0x7FFE95660000
srvcli.dll                  0x7FFE95760000
urlmon.dll                  0x7FFE95830000
iertutil.dll                0x7FFE95B60000
WINMM.dll                   0x7FFE96590000
OPENGL32.dll                0x7FFE96DD0000
WININET.dll                 0x7FFE99250000
usvfs_x64.dll               0x7FFE998A0000
textinputframework.dll      0x7FFE99B30000
vcheck_patcher.dll          0x7FFE9A250000
InputHost.dll               0x7FFE9A2F0000
Windows.UI.dll              0x7FFE9A740000
GLU32.dll                   0x7FFE9ABD0000
dxcore.dll                  0x7FFE9C900000
MMDevApi.dll                0x7FFE9C940000
drvstore.dll                0x7FFE9D840000
cryptnet.dll                0x7FFE9D9E0000
VERSION.dll                 0x7FFE9DA20000
WINHTTP.dll                 0x7FFE9DA30000
dhcpcsvc.DLL                0x7FFE9E4A0000
dhcpcsvc6.DLL               0x7FFE9E4C0000
WINNSI.DLL                  0x7FFE9E6A0000
twinapi.appcore.dll         0x7FFE9E790000
WindowManagementAPI.dll     0x7FFE9EAB0000
avrt.dll                    0x7FFE9F0C0000
PROPSYS.dll                 0x7FFEA03C0000
WTSAPI32.dll                0x7FFEA0520000
d3d11.dll                   0x7FFEA0540000
wintypes.dll                0x7FFEA1320000
CoreUIComponents.dll        0x7FFEA1A00000
CoreMessaging.dll           0x7FFEA1D60000
MSIMG32.dll                 0x7FFEA2010000
apphelp.dll                 0x7FFEA20F0000
UxTheme.dll                 0x7FFEA2250000
resourcepolicyclient.dll    0x7FFEA2330000
dwmapi.dll                  0x7FFEA2540000
kernel.appcore.dll          0x7FFEA2720000
windows.storage.dll         0x7FFEA2920000
dxgi.dll                    0x7FFEA3100000
tdh.dll                     0x7FFEA3200000
schannel.DLL                0x7FFEA37D0000
rsaenh.dll                  0x7FFEA38B0000
ntmarta.dll                 0x7FFEA39D0000
UMPDC.dll                   0x7FFEA3C80000
IpHlpAPI.dll                0x7FFEA3CA0000
DNSAPI.dll                  0x7FFEA3CE0000
netutils.dll                0x7FFEA3DB0000
powrprof.dll                0x7FFEA3E10000
MSWSOCK.dll                 0x7FFEA4000000
CRYPTSP.dll                 0x7FFEA41F0000
CRYPTBASE.DLL               0x7FFEA4210000
Wldp.dll                    0x7FFEA42A0000
NTASN1.dll                  0x7FFEA42D0000
ncrypt.dll                  0x7FFEA4310000
msasn1.dll                  0x7FFEA4430000
devobj.dll                  0x7FFEA45F0000
DPAPI.DLL                   0x7FFEA4640000
USERENV.dll                 0x7FFEA4700000
SspiCli.dll                 0x7FFEA4730000
profapi.dll                 0x7FFEA4780000
cfgmgr32.dll                0x7FFEA48B0000
bcrypt.dll                  0x7FFEA4900000
ucrtbase.dll                0x7FFEA4930000
KERNELBASE.dll              0x7FFEA4A30000
gdi32full.dll               0x7FFEA4D10000
msvcp_win.dll               0x7FFEA4E20000
CRYPT32.dll                 0x7FFEA4EC0000
bcryptPrimitives.dll        0x7FFEA5020000
win32u.dll                  0x7FFEA5160000
COMDLG32.dll                0x7FFEA5190000
GDI32.dll                   0x7FFEA5270000
SHLWAPI.dll                 0x7FFEA5370000
ADVAPI32.dll                0x7FFEA53D0000
OLEAUT32.dll                0x7FFEA5480000
clbcatq.dll                 0x7FFEA5700000
ole32.dll                   0x7FFEA57B0000
KERNEL32.DLL                0x7FFEA5A00000
RPCRT4.dll                  0x7FFEA5AC0000
SHELL32.dll                 0x7FFEA5BF0000
SETUPAPI.dll                0x7FFEA6340000
sechost.dll                 0x7FFEA67B0000
IMM32.DLL                   0x7FFEA6850000
shcore.dll                  0x7FFEA6890000
PSAPI.DLL                   0x7FFEA69D0000
msvcrt.dll                  0x7FFEA69E0000
combase.dll                 0x7FFEA6AE0000
WS2_32.dll                  0x7FFEA6EC0000
imagehlp.dll                0x7FFEA6F30000
NSI.dll                     0x7FFEA6F50000
USER32.dll                  0x7FFEA6F60000
ntdll.dll                   0x7FFEA7150000
