[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     HUDFramework.esm
[0A]     WorkshopFramework.esm
[0B]     SS2.esm
[0C]     Robot Home Defence.esm
[0D]     Loads.esm
[0E]     NewCalibers.esp
[0F]     XDI.esm
[10]     LootableCars.esp
[11]     LootableCrates.esp
[12]     LootableCrates MergedDLCs.esp
[13]     Wasteland Illumination.esp
[14]     stumbleuponinteriors.esp
[15]     plenty 'o' exploration.esp
[16]     Cyber-Light Apartments.esp
[17]     WilkesEstate.esp
[18]     AR_DLC01.esp
[19]     LimaOutpost.esp
[1A]     Firelance2.5.esp
[1B]     AA FusionCityRising.esp
[1C]     AA FusionCityRising - HotC.esp
[1D]     OutcastsAndRemnants.esp
[1E]     Vivid Fallout - All in One - Best Choice.esp
[1F]     Another Pine Forest Trees Only.esp
[20]     FLORA - The Fungal Forest.esp
[21]     AnimatedCandles.esp
[22]     UltraInteriorLighting.esp
[23]     ENBLightsHDRPatch.esp
[24]     FlaconOil_BA2_2K_Part1.esp
[25]     FlaconOil_BA2_2K_Part2.esp
[26]     FlaconOil_BA2_2K_Part3.esp
[27]     Langleys HD Texture Workshop.esp
[28]     NMC Bundle VERY HIGH.esp
[29]     highwaysfix.esp
[2A]     InstitWeapPosit.esp
[2B]     DiamondCityAutoClose.esp
[2C]     Tweaks and Fixes.esp
[2D]     Immersive HUD.esp
[2E]     WheelMenu.esp
[2F]     CartographersMapMarkers Commonwealth.esp
[30]     CartographersMapMarkers FarHarbor.esp
[31]     CartographersMapMarkers NukaWorld.esp
[32]     Pip-Boy Flashlight.esp
[33]     Reverb and Ambiance Overhaul.esp
[34]     OWR_NIN.esp
[35]     OWR_SFM.esp
[36]     OWR_OWT.esp
[37]     DN Music.esp
[38]     STALKER Music_Complete.esp
[39]     F4R-v1.6.1 - Energy.esp
[3A]     jsrs.esp
[3B]     Audio Changes Merged.esp
[3C]     Regs_Enhanced_PainGrunts.esp
[3D]     RadiationOverhaulSP.esp
[3E]     BetterCoastalWaves.esp
[3F]     CBBE.esp
[40]     HiPolyFaces.esp
[41]     The Eyes Of Beauty.esp
[42]     SS2Extended.esp
[43]     Vault-Tec Workshop Overhaul.esp
[44]     SettlementMenuManager.esp
[45]     ImmersiveScrapping_SeasonPass.esp
[46]     cVc Dead Wasteland 6.esp
[47]     cVc Dead Wasteland 6 DLC.esp
[48]     cVc Dead Wasteland 6 DLC2.esp
[49]     Unicorn_Farts_And_God_Rays.esp
[4A]     Better_Settlement_Defence.esp
[4B]     cartman1975_concrete-glass.esp
[4C]     MojaveImports.esp
[4D]     CAPP.esp
[4E]     ComicCollector.esp
[4F]     The Collector's Guides AIO.esp
[50]     Collectable_Cars.esp
[51]     Collectable_Trucks.esp
[52]     Zippo Lighters Display.esp
[53]     BossChestsHaveLegendaries.esp
[54]     Gameplay Merge.esp
[55]     EatFood.esp
[56]     PressXtoRespond.esp
[57]     DLC Timing.esp
[58]     Campsite.esp
[59]     MoreEnemies.esp
[5A]     Vivid Weathers - FO4.esp
[5B]     TrueGrass.esp
[5C]     Better Landscape Grass.esp
[5D]     MODGirlyAnimation.esp
[5E]     Swinging Meat Bags.esp
[5F]     ImmersiveAnimationFramework.esp
[60]     FO4 NPCs Travel.esp
[61]     Rsiyo'sLocationPack.esp
[62]     AtomCatGarage.esp
[63]     CrimeTown.esp
[64]     PlaneWreck.esp
[65]     DCGuard_Overhaul.esp
[66]     SS2_XDI Patch.esp
[67]     NukaWorldPlus.esp
[68]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[69]     Altyn Assault Helmet.esp
[6A]     Metro Gas Masks.esp
[6B]     RRTV_HomesAndBunkers_Oberland.esp
[6C]     RRTV_HomesAndBunkers_Starlight.esp
[6D]     Eli_FahabaShack.esp
[6E]     RRTV_EdenCinemaHome.esp
[6F]     RRTV_FizztopGrilleEnhancements.esp
[70]     Armorsmith Extended.esp
[71]     Better Locational Damage.esp
[72]     PD_LowerWeapon.esp
[73]     Raider Children.esp
[74]     Orphans.esp
[75]     Killable Children.esp
[76]     Glowing Animals Emit Light.esp
[77]     True Legendary Enemies.esp
[78]     [ARRETH] FGEP.esp
[79]     detailedferalghouls2K.esp
[7A]     DeadlierDeathclaws.esp
[7B]     Unique Mythic Deathclaws.esp
[7C]     NightstrikerCreatureMod.esp
[7D]     Synth Overhaul.esp
[7E]     SuperMutantRedux.esp
[7F]     CF_AtomicWarlord.esp
[80]     W.A.T.Minutemen.esp
[81]     3DNPC_FO4Settler.esp
[82]     quickchange.esp
[83]     Backpacks of the Commonwealth.esp
[84]     Eli_Armour_Compendium.esp
[85]     DT_GunnerOutfitPack.esp
[86]     DTG_LeveledListIntegration.esp
[87]     WestTekTacticalOptics.esp
[88]     K9TacticalHarness.esp
[89]     hazardousenvironmentkit.esp
[8A]     MyCart_Biohazard.esp
[8B]     HN66-SiriusArmor.esp
[8C]     DX_Black_Widow.esp
[8D]     Catuskoti FO4 Mashup MOFAM Edition.esp
[8E]     VIS-G Item Sorting.esp
[8F]     VIS-G Legendary Modifications.esp
[90]     Immersive Pickup Sounds F04.esp
[91]     LooksMenu.esp
[92]     LooksMenu Customization Compendium.esp
[93]     AA Better Companions - No Conflicts.esp
[94]     QuickTrade.esp
[95]     ImmersiveVendors.esp
[96]     EveryonesBestFriend.esp
[97]     VisibleCompanionAffinity.esp
[98]     SummonCompanions.esp
