[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     FactionDistributionFramework.esm
[0A]     HUDFramework.esm
[0B]     XDI.esm
[0C]     WorkshopFramework.esm
[0D]     TrueStormsFO4.esm
[0E]     SS2.esm
[0F]     SS2_XPAC_Chapter2.esm
[10]     DEF_WIDGETS_CORE.esm
[11]     SouthOfTheSea.esm
[12]     AAF.esm
[13]     BaseIDforUniques.esm
[14]     Vault4.esp
[15]     PD_LowerWeapon.esp
[16]     Immersive HUD.esp
[17]     HoloTime.esp
[18]     CompanionStatus.esp
[19]     PowerArmorHUD.esp
[1A]     def_w_PA1.esp
[1B]     R88_SimpleSorter.esp
[1C]     Fixed Alpha Maps.esp
[1D]     Better_Notes.esp
[1E]     Nuka-MixUniqueTextures.esp
[1F]     ImmersiveSupermutantsOrders.esp
[20]     chem redux.esp
[21]     LoreFriendlySurvivalChems.esp
[22]     Ketaros_World.esp
[23]     LunarFalloutOverhaul.esp
[24]     Lunar-WhenFreedomCalls.esp
[25]     ScalingTweakLunar.esp
[26]     SKKCombatStalkers.esp
[27]     HARDCore.esp
[28]     SCM.esp
[29]     Complex Vendors.esp
[2A]     EveryonesBestFriend.esp
[2B]     RecycleBottles.esp
[2C]     CompanionTracker.esp
[2D]     RandomValuablesRedux.esp
[2E]     TruePerks.esp
[2F]     Unique NPCs - Creatures and Monsters.esp
[30]     SuperMutantRedux.esp
[31]     D.E.C.A.Y.esp
[32]     Vertibird Faction Paint Schemes.esp
[33]     PlutoniumCreatures.esp
[34]     CourserCrusher.esp
[35]     Respawnable Legendary Bosses.esp
[36]     Alias.esp
[37]     F4NVServiceRifleRedux.esp
[38]     McMillanCS5.esp
[39]     Makeshift SMG.esp
[3A]     T6M_PumpShotgun.esp
[3B]     vsq_PipeAssaultRifle.esp
[3C]     T6M_SS-MG.esp
[3D]     RailwayPistol.esp
[3E]     PJARPistol.esp
[3F]     WattzLaserGun.esp
[40]     spacefiddle_WattzSoundAndReverb.esp
[41]     HomemadeLasRevolver.esp
[42]     Zapgun.esp
[43]     pulsecarbine.esp
[44]     skewer.esp
[45]     BullpupHmar.esp
[46]     RadiumPistol.esp
[47]     PipeShotgun.esp
[48]     GravityFist.esp
[49]     Plasma Saber.esp
[4A]     Crossbow.esp
[4B]     HandmadeAntiMaterielRifle.esp
[4C]     WastelandFlamerAlone.esp
[4D]     Webley.esp
[4E]     RiotShotgun.esp
[4F]     GaussRevolver.esp
[50]     HandmadeLeverActionSG.esp
[51]     BullpupBozar.esp
[52]     GreaseGunSMG.esp
[53]     GatlingRifle.esp
[54]     Archimedes-II.esp
[55]     HuntingShotgun.esp
[56]     LAER.esp
[57]     M2045MagnumRevolverRifle.esp
[58]     HuntingRevolver.esp
[59]     DOOMDesertEagle.esp
[5A]     ruined_handmadeturrets.esp
[5B]     ImmersiveHandmadeTurretsReplacer.esp
[5C]     GunmetalWeaponSkins.esp
[5D]     GWS-HandmadeRiflePaints.esp
[5E]     3dscopes-replacer.esp
[5F]     SPTFIRE-ALLDLC.esp
[60]     Meleebangs.esp
[61]     3dscopes-replacer-crossbow.esp
[62]     3dscopes-replacer-hamr.esp
[63]     Lunar Fallout Patch - Hunting Shotgun.esp
[64]     YogCrowbar.esp
[65]     Battleaxe.esp
[66]     YogMadCan.esp
[67]     Buzz_Axe.esp
[68]     WMW_TS.esp
[69]     ConcreteSledgehammer.esp
[6A]     Fireaxe.esp
[6B]     BowieKnifes.esp
[6C]     FryingPanSA.esp
[6D]     BullDozierStandalone.esp
[6E]     BoxcutterSA.esp
[6F]     Butcher.esp
[70]     RoadSignAxe.esp
[71]     NONE - Ballistic Weave Overhaul.esp
[72]     Armor_Modifications_Overhaul_RoboArmor.esp
[73]     Armor_Modifications_Overhaul_Synth.esp
[74]     AtomsGloryThreads.esp
[75]     Gunmetal-Clothing-Variaty.esp
[76]     GunmetalArmorSkins-RaiderArmorPack.esp
[77]     GunmetalArmorSkins.esp
[78]     FDF - CombatArmorDecals.esp
[79]     GreaseRatGarbs.esp
[7A]     DCGuard Extended Wardrobe.esp
[7B]     Backpacks of the Commonwealth.esp
[7C]     Minutemen Paint Job.esp
[7D]     DT_GunnerOutfitPack.esp
[7E]     DT_MercOutfitPack.esp
[7F]     ThatsMercLife.esp
[80]     WestTekTacticalOptics.esp
[81]     LBPAC.esp
[82]     Consistent Power Armor Overhaul.esp
[83]     LBPAC CPAO Patch.esp
[84]     RaiderPAChopShop.esp
[85]     3dscopes-replacer-huntingrevolver.esp
[86]     3dscopes-laer.esp
[87]     3dscopes-replacer-bullpupbozar.esp
[88]     ExcavatorPA.esp
[89]     RedShiftPowerArmor.esp
[8A]     PARepairs - RedShift.esp
[8B]     UnbogusLunchboxes.esp
[8C]     HuntingRifleSounds.esp
[8D]     FG_ReloadSounds.esp
[8E]     Laser Weapon Reanimated.esp
[8F]     ImmersiveAnimationFramework.esp
[90]     LooksMenu.esp
[91]     LooksMenu Customization Compendium.esp
[92]     UniquePlayer.esp
[93]     The Eyes Of Beauty.esp
[94]     KSHairdos.esp
[95]     KSHairsFemsheppingRadbeetle.esp
[96]     AzarPonytailHairstyles.esp
[97]     Orphans.esp
[98]     Guards.esp
[99]     Facials.esp
[9A]     Concept Art Characters - AIO-DLC-PiperAlt.esp
[9B]     RustDevilRedux.esp
[9C]     SaveAcadiaFromBoS.esp
[9D]     FaceMaxson.esp
