[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     ArmorKeywords.esm
[0A]     XDI.esm
[0B]     HUDFramework.esm
[0C]     CheatBunker.esm
[0D]     ProjectMojave.esm
[0E]     CALIBER-COMPLEX.esm
[0F]     ExtendedWeaponSystem.esm
[10]     Overlays.esm
[11]     Talos_Armor.esp
[12]     Better Power Armor - Redux.esp
[13]     StrongerSentryBot.esp
[14]     TaurusJudge.esp
[15]     Lots More Female Hairstyles.esp
[16]     RemoveTurretPower-100def.esp
[17]     Glock19x.esp
[18]     ehtyeci_MPX.esp
[19]     Zenit.esp
[1A]     DiamondCityOverhaul.esp
[1B]     NEWSANCTUARY.esp
[1C]     UltraInteriorLighting.esp
[1D]     PH_HighwayProject.esp
[1E]     WelcometoGoodneighbor.esp
[1F]     ENBLightsHDRPatch.esp
[20]     Armorsmith Extended.esp
[21]     ImmersiveScrapping.esp
[22]     MutilatedDeadBodies.esp
[23]     subwayrunnnernodynamic.esp
[24]     _hod.esp
[25]     Raider Children.esp
[26]     EBW-Merged.esp
[27]     No Combat Boundaries.esp
[28]     The Train.esp
[29]     CombatZoneRestored.esp
[2A]     Reverb and Ambiance Overhaul.esp
[2B]     jsrs.esp
[2C]     W.A.T.Minutemen.esp
[2D]     dD-Enhanced Blood Basic.esp
[2E]     GhoulBlood.esp
[2F]     ImmersiveAnimationFramework.esp
[30]     Penetration Framework.esp
[31]     jDS__HP_Skull_Mask.esp
[32]     maleBITCHESfemaleFUCKERS.esp
[33]     NoMoreRustyGunners.esp
[34]     m249.esp
[35]     ScaryDeathclaws.esp
[36]     GojiraSmallerExtreme.esp
[37]     AAlpha12.esp
[38]     NPC Spawner.esp
[39]     ClassicBehemoth.esp
[3A]     KSHairdos.esp
[3B]     AzarPonytailHairstyles.esp
[3C]     CBBE.esp
[3D]     NoNegativeAffinityNoFucks.esp
[3E]     ShortAffinityCooldown.esp
[3F]     MS SkipPreWar.esp
[40]     1CAS_ServiceRifle.esp
[41]     MGRemesh.esp
[42]     RadiationOverhaulSP.esp
[43]     DeadlyRadstorms_Damage_70.esp
[44]     TacticalCourser_Standalone.esp
[45]     DD_Khassar_De_Templari_Increased_build.esp
[46]     leonsoutfit.esp
[47]     The Eyes Of Beauty.esp
[48]     SurvivalOptions.esp
[49]     BZW_COD_Ghost_Jawbone.esp
[4A]     Modern Assassin.esp
[4B]     NRAW_Common.esp
[4C]     More_Clothes_Textures.esp
[4D]     US_Rangers.esp
[4E]     [ARRETH] FGEP.esp
[4F]     LegendaryModification.esp
[50]     LegendaryModification - DLC Far Harbor.esp
[51]     LegendaryModification2LM.esp
[52]     LegendaryModification - DLC Far Harbor (2LM).esp
[53]     LegendaryModification2LMAKPatch.esp
[54]     LegendaryModificationGroknak.esp
[55]     LegendaryModificationMisc.esp
[56]     Mosin.esp
[57]     3dscopes-mosin.esp
[58]     ReconPack.esp
[59]     3dscopes-reconpack.esp
[5A]     3dscopes.esp
[5B]     MWvalpha.esp
[5C]     AX50.esp
[5D]     Smoke-able Cigars.esp
[5E]     Lots More Facial Hair.esp
[5F]     Tracksuit.esp
[60]     AimFatigue f4se.esp
[61]     dD-Action Ragdoll Force.esp
[62]     Ambient Wasteland.esp
[63]     PD_LowerWeapon.esp
[64]     APC9.esp
[65]     BlackoutTats1.esp
[66]     PersonalGuard.esp
[67]     CustomCamera.esp
[68]     CustomMossberg590A1.esp
[69]     DSR 50.esp
[6A]     dD - Screen Blood Duration Medium.esp
[6B]     ELFX_ENBLight_Patch.esp
[6C]     EntrenchingToolStandalone.esp
[6D]     FIS-Naming-Weap-Armo-EN.esp
[6E]     Scopes.esp
[6F]     FlaconOil_BA2_1K_Part2.esp
[70]     GCM.esp
[71]     HoneyBadger.esp
[72]     Immersive HUD.esp
[73]     K9TacticalHarness.esp
[74]     KrissVector.esp
[75]     LongRangeBulletHoles.esp
[76]     LMBTOverlays.esp
[77]     LooksMenu.esp
[78]     Lots More Male Hairstyles.esp
[79]     M2Agency.esp
[7A]     MKIIGrenadeStandalone.esp
[7B]     MP153.esp
[7C]     M4k4rov - PPSh.esp
[7D]     AlexMakarovPistol.esp
[7E]     Metro Gas Masks.esp
[7F]     Military_Cap_Extended_Full.esp
[80]     Military Gorka Suit.esp
[81]     Mossberg500.esp
[82]     NPC Accuracy Revised.esp
[83]     OakleyMFrame.esp
[84]     PL-14.esp
[85]     Pet - Call -Feed Dogmeat.esp
[86]     Project Reality Footsteps FO4.esp
[87]     RBJustin.esp
[88]     M870.esp
[89]     RussianAssaultPack.esp
[8A]     SKKCombatStalkers.esp
[8B]     STALKER Music_Complete.esp
[8C]     TacticalBeanie.esp
[8D]     Nexus_PMC.esp
[8E]     PMC_extended.esp
[8F]     PMC_NVG.esp
[90]     EFF.esp
[91]     WestTekTacticalOptics.esp
[92]     SpotlightFix-100-Shadow.esp
[93]     GR123 West Tek Tactical Gloves.esp
[94]     Stalker Suit.esp
[95]     CK-SimpleCritsOutsideVATS.esp
[96]     LTC Patch - More MAIM Human Loot.esp
[97]     101GlowingSea.esp
[98]     GhillieModRedux.esp
[99]     Flashy_PersonalEssentials.esp
[9A]     Minutemen Supply Caches.esp
[9B]     Gas Masks of the Wasteland.esp
[9C]     Gas Mask NPC.esp
[9D]     EnclaveFactionItems.esp
[9E]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[9F]     Backpacks of the Commonwealth.esp
