XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000050C60000
steam_api64.dll               0x000050C70000
mdnsNSP.dll                   0x000052210000
d3d11.dll                     0x000180000000
Fallout4.exe                  0x7FF7097F0000
nvcuda64.dll                  0x7FF955E30000
nvwgf2umx.dll                 0x7FF957B60000
usvfs_x64.dll                 0x7FF992E70000
NvCamera64.dll                0x7FF9947F0000
steamclient64.dll             0x7FF9957D0000
d3dcompiler_47_64.dll         0x7FF99D580000
enbImgui.dllplugin            0x7FF9A0F30000
d3dcompiler_46e.dll           0x7FF9A1A40000
gameoverlayrenderer64.dll     0x7FF9A29F0000
enbhelperf4.dll               0x7FF9A2B80000
dxgi.dll                      0x7FF9A2EA0000
IPHLPAPI.DLL                  0x7FF9A32A0000
Buffout4.dll                  0x7FF9A3E10000
f4ee.dll                      0x7FF9AC1A0000
XAudio2_7.dll                 0x7FF9AC4F0000
nvapi64.dll                   0x7FF9ACA70000
D3DCOMPILER_43.dll            0x7FF9AD4A0000
AudioDevProps2.dll            0x7FF9AF0E0000
ShadowBoostFO4.dll            0x7FF9AF980000
WheelMenuHelper.dll           0x7FF9AFA90000
PRKF.dll                      0x7FF9B0940000
NVIDIA_Reflex.dll             0x7FF9B0B80000
ProductInfo.dll               0x7FF9B93D0000
UneducatedShooter.dll         0x7FF9BACB0000
SimpleImpact.dll              0x7FF9BBFF0000
mcm.dll                       0x7FF9BC440000
SimpleImpact - Copy.dll       0x7FF9BC8F0000
HighFPSPhysicsFix.dll         0x7FF9BC960000
DINPUT8.dll                   0x7FF9BCDA0000
FineZoom.dll                  0x7FF9BDB70000
f4se_1_10_163.dll             0x7FF9BDD30000
OneCoreCommonProxyStub.dll    0x7FF9BEC30000
tier0_s64.dll                 0x7FF9BEED0000
FallSouls.dll                 0x7FF9C04F0000
f4pm.dll                      0x7FF9C4000000
nvspcap64.dll                 0x7FF9C7570000
crafting_highlight_fix.dll    0x7FF9C7890000
DSOUND.DLL                    0x7FF9C78E0000
tbbmalloc.dll                 0x7FF9C7DD0000
BetterConsole.dll             0x7FF9CBED0000
flexRelease_x64.dll           0x7FF9CBF40000
vstdlib_s64.dll               0x7FF9CC400000
BodyPartsUI.dll               0x7FF9CD640000
ondemandconnroutehelper.dll   0x7FF9CEA40000
WININET.dll                   0x7FF9CEA60000
MSVCP140.dll                  0x7FF9CFB60000
MSVCR110.dll                  0x7FF9CFC00000
nvldumdx.dll                  0x7FF9CFCE0000
ALR.dll                       0x7FF9D0D30000
WINSPOOL.DRV                  0x7FF9D13E0000
d3dx11_43.dll                 0x7FF9D1960000
cudart64_75.dll               0x7FF9D1B50000
GFSDK_GodraysLib.x64.dll      0x7FF9D1BB0000
VCRUNTIME140_1.dll            0x7FF9D1FD0000
VCRUNTIME140.dll              0x7FF9D1FE0000
MSVCP110.dll                  0x7FF9D2480000
GFSDK_SSAO_D3D11.win64.dll    0x7FF9D25E0000
bink2w64.dll                  0x7FF9D3610000
Windows.UI.dll                0x7FF9D3940000
winmmbase.dll                 0x7FF9D3FA0000
COMCTL32.dll                  0x7FF9D4220000
webio.dll                     0x7FF9D5F70000
Secur32.dll                   0x7FF9D6570000
flexExtRelease_x64.dll        0x7FF9D6BA0000
MessageBus.dll                0x7FF9D6E60000
ASM.Plugin.AudioDevProps2.dll 0x7FF9D7950000
inputhost.dll                 0x7FF9D7F70000
textinputframework.dll        0x7FF9D80D0000
mskeyprotect.dll              0x7FF9D9B00000
ncryptsslp.dll                0x7FF9D9BF0000
MSIMG32.dll                   0x7FF9DCEF0000
fwpuclnt.dll                  0x7FF9DDD20000
WINMM.dll                     0x7FF9DE4D0000
iertutil.dll                  0x7FF9DE500000
srvcli.dll                    0x7FF9E2450000
dxcore.dll                    0x7FF9E25E0000
OneCoreUAPCommonProxyStub.dll 0x7FF9E2DD0000
windowscodecs.dll             0x7FF9E3920000
WindowManagementAPI.dll       0x7FF9E3AE0000
MSVCP140_ATOMIC_WAIT.dll      0x7FF9E4180000
urlmon.dll                    0x7FF9E41E0000
MpOav.dll                     0x7FF9E45C0000
amsi.dll                      0x7FF9E4640000
wbemsvc.dll                   0x7FF9E4730000
fastprox.dll                  0x7FF9E4750000
wbemcomn.dll                  0x7FF9E4B00000
XINPUT9_1_0.dll               0x7FF9E5320000
f4se_steam_loader.dll         0x7FF9E6210000
wbemprox.dll                  0x7FF9E6420000
WINHTTP.dll                   0x7FF9E73D0000
nvToolsExt64_1.dll            0x7FF9E75C0000
drvstore.dll                  0x7FF9E75F0000
cryptnet.dll                  0x7FF9E7780000
dhcpcsvc6.DLL                 0x7FF9E7900000
twinapi.appcore.dll           0x7FF9E7D10000
dhcpcsvc.DLL                  0x7FF9E8160000
xinput1_4.dll                 0x7FF9E9050000
WINNSI.DLL                    0x7FF9E93F0000
VERSION.dll                   0x7FF9E98A0000
avrt.dll                      0x7FF9E98E0000
rasadhlp.dll                  0x7FF9E9910000
MMDevApi.dll                  0x7FF9EA3B0000
AudioSes.dll                  0x7FF9EA530000
PROPSYS.dll                   0x7FF9EB520000
d3d11.dll                     0x7FF9EB890000
D3DCOMPILER_47.dll            0x7FF9EBB00000
wintypes.dll                  0x7FF9EC520000
dcomp.dll                     0x7FF9EC680000
CoreUIComponents.dll          0x7FF9ECBF0000
CoreMessaging.dll             0x7FF9ECF50000
apphelp.dll                   0x7FF9ED180000
