[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     AAF.esm
[0A]     CBBE.esp
[0B]     KSHairdos.esp
[0C]     LooksMenu.esp
[0D]     The Eyes Of Beauty.esp
[0E]     TheEyesOfBeauty.esp
[0F]     LooksMenu Customization Compendium.esp
[10]     Insignificant Object Remover.esp
[11]     3dscopes-replacer.esp
[12]     Idiot Slut.esp
[13]     2pacSkimpy.esp
[14]     ChainBikini.esp
[15]     HN66Fo4_EasyGirl_BS.esp
[16]     YoungMamaMurphy.esp
[17]     TheKite_CaitSet.esp
[18]     TheKite_VTS.esp
[19]     MCM_CS1_Raven.esp
[1A]     tschutschiSpearheadCatsuit.esp
[1B]     Zipsuit.esp
[1C]     ApalLeotard.esp
[1D]     AngeliPowerarmor.esp
[1E]     FemSynth.esp
[1F]     DlxClothesPack.esp
[20]     HoloDisplay.esp
[21]     Brawl Bug Fix.esp
[22]     AWKCR - Mod Power Armor Engine Glitch Fix.esp
[23]     AzarPonytailHairstyles.esp
[24]     Armorsmith Extended.esp
[25]     StartMeUp.esp
[26]     ThisIsTrash.esp
[27]     Vault Meat Paintings.esp
[28]     Flags.esp
[29]     EroticArt.esp
[2A]     Hot and Horny Wastelands Posters.esp
[2B]     Hot and Horny Wastelands Billboards.esp
[2C]     Paintings Kinky.esp
[2D]     SprintStutterRemoverWithExtras.esp
[2E]     aSexMod.esp
[2F]     AAF_debug_on.esp
[30]     Atomic Lust.esp
[FE:000] Loot Detector.esl
[FE:001] CanarySaveFileMonitor.esl
[FE:002] PPF.esm
[FE:003] Jill Valentine Art.esp
