[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     SS2.esm
[0C]     SS2_XPAC_Chapter2.esm
[0D]     ArmorKeywords.esm
[0E]     TrueStormsFO4.esm
[0F]     SettlementKeywords.esm
[10]     CWPointLookoutFO4.esm
[11]     SOTS.esp
[12]     MutantMenagerie.esm
[13]     MutantMenagerie_FarHarbor.esm
[14]     MutantMenagerie_NukaWorld.esm
[15]     MutantMenagerie_PointLookout.esm
[16]     Loads.esm
[17]     NewCalibers.esp
[18]     Arbitration - Resources.esm
[19]     Knockout Framework.esm
[1A]     SS2Extended.esp
[1B]     SS2WastelandVenturers.esp
[1C]     [SS20Addon] SimSettlements SuperStructures.esp
[1D]     SS2_ruined_simsettlement_addonpack.esp
[1E]     SS2WastelandReconstructionKit.esp
[1F]     the library.esp
[20]     The House.esp
[21]     Vault4.esp
[22]     Miami Misadventures EP1.esp
[23]     WilkesEstate.esp
[24]     Phase4DLC.esp
[25]     3DNPC_FO4.esp
[26]     FarHarborStory.esp
[27]     DCGuard_Overhaul.esp
[28]     OldTimeReligion.esp
[29]     Children of Ug Qualtoth.esp
[2A]     LimaOutpost.esp
[2B]     Firelance2.5.esp
[2C]     AtomicRadio.esp
[2D]     Eli_Armour_Compendium.esp
[2E]     RecruitableSettlers.esp
[2F]     CombinedArmsNV.esp
[30]     CombinedArmsEXPack.esp
[31]     CheatTerminal.esp
[32]     3DNPC_FO4Settler.esp
[33]     SS2_FDK_TinyLiving.esp
[34]     RecruitableSettlersFH.esp
[35]     FO4 NPCs Travel.esp
[36]     PD_LowerWeapon.esp
[37]     Scopes.esp
[38]     LooksMirror.esp
[39]     PhotoMode.esp
[3A]     SettlementMenuManager.esp
[3B]     BetterSettlers.esp
[3C]     Better Manufacturing.esp
[3D]     Ketaros_Treasures.esp
[3E]     ECO.esp
[3F]     3DNPC_FO4_DLC.esp
[40]     cVc Dead Wasteland 6.esp
[41]     LooksMenu Customization Compendium.esp
[42]     ManufacturingExtended.esp
[43]     OCDecorator.esp
[44]     RealNameSettlers.esp
[45]     Vault-Tec Workshop Overhaul Redux.esp
[46]     RNS-WSFW-CompPatch.esp
[47]     cVc Dead Wasteland 6 DLC.esp
[48]     Vivid Weathers - FO4.esp
[49]     DarkerNights.esp
[4A]     Armorsmith Extended.esp
[4B]     3dscopes.esp
[4C]     Weaponsmith Extended 2.esp
[4D]     Car variety Commonwealth Nika Colla.esp
[4E]     PiperCaitCurieDialogueOverhaul.esp
[4F]     Boston Natural Surroundings.esp
[50]     Boston_Police_Department.esp
[51]     Car variety Far Harbor.esp
[52]     BTInteriors_Project.esp
[53]     IH_LV_Cars_Have_loot.esp
[54]     subwayrunnnernodynamic.esp
[55]     Better Locational Damage.esp
[56]     Better Locational Damage - DLC_Far_Harbor.esp
[57]     SettlementSalvageBot.esp
[58]     NEST_BUNKER_PROJECT.esp
[59]     MojaveImports.esp
[5A]     HighwaySettlement.esp
[5B]     FaceMaxson.esp
[5C]     HAIA With Crafting.esp
[5D]     MoreSettlementsWorkshop.esp
[5E]     CombatZoneRestored.esp
[5F]     AGNISNikaCola01.esp
[60]     MsAbominations.esp
[61]     True Legendary Enemies.esp
[62]     America Rising - A Tale of the Enclave.esp
[63]     TheSprawlPatch.esp
[64]     RaiderOverhaul.esp
[65]     mr Loot Logic and Reduction.esp
[66]     PlutoniumCreatures.esp
[67]     DeadlierDeathclaws.esp
[68]     jsrs.esp
[69]     Fusion Gun.esp
[6A]     NCRDesertRavenArmor.esp
[6B]     Vivid Weathers - FO4 - Quest.esp
[6C]     ZombieWalkers.esp
[6D]     BTInt_Menus.esp
[6E]     W.A.T.Minutemen.esp
[6F]     GhoulBlood.esp
[70]     highwaysfix.esp
[71]     Reinforcements.esp
[72]     NightstrikerCreatureMod.esp
[73]     TU3SD4Y'S Commonwealth Responders.esp
[74]     APC_Mobile_Base_v1.3.esp
[75]     DT_GunnerOutfitPack.esp
[76]     DTG_LeveledListIntegration.esp
[77]     InstituteStory.esp
[78]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[79]     officersRevolver.esp
[7A]     Better Explosives.esp
[7B]     Ketaros_World.esp
[7C]     CourierDuster.esp
[7D]     ArcWelder.esp
[7E]     HVSG_LLInjector.esp
[7F]     halffacemask.esp
[80]     CROSS_FireworksCannon.esp
[81]     CROSS_Cybernetics.esp
[82]     CROSS_Jetpack.esp
[83]     T6MHeavyFlamer.esp
[84]     Take and Equip.esp
[85]     Flashy_CommonwealthFishing.esp
[86]     Campsite.esp
[87]     AA Better Companions - No Conflicts.esp
[88]     Reverb and Ambiance Overhaul.esp
[89]     RadiumInc.esp
[8A]     TDOW_LC.esp
[8B]     BoSStory.esp
[8C]     Mercenary.esp
[8D]     Zetan.esp
[8E]     Floaters.esp
[8F]     powerarmort49.esp
[90]     InsideJobs.esp
[91]     stumbleuponinteriors.esp
[92]     Ketaros_MissingMags.esp
[93]     SimpleBounties.esp
[94]     WattzLaserGun.esp
[95]     Respawnable Legendary Bosses.esp
[96]     AzarHolsteredWeapons.esp
[97]     DWUK_LexingtonInteriors.esp
[98]     VaultTecStory.esp
[99]     Vaker.esp
[9A]     CommonwealthCritters - Both DLC.esp
[9B]     FOLON-StandaloneReleaser.esp
[9C]     M2045MagnumRevolverRifle.esp
[9D]     lasercannon.esp
