[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     DLCUltraHighResolution.esm
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     ArmorKeywords.esm
[0B]     TacticalReload.esm
[0C]     CWSS Redux.esp
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     AAF.esm
[10]     a149 My Little Armor.esm
[11]     DamnApocalypse_CORE.esm
[12]     Z_Architect.esm
[13]     Winters_ISO-Hemlock.esp
[14]     Z_Horizon_Loot_Respawn.esp
[15]     Z_Horizon_Loot_Respawn_DLC.esp
[16]     A Forest.esp
[17]     WorkshopRearranged.esp
[18]     SOTS.esp
[19]     Car replace Project.esp
[1A]     BTInteriors_Project.esp
[1B]     NAC.esp
[1C]     CrimeTown.esp
[1D]     Armorsmith Extended.esp
[1E]     Raider Children.esp
[1F]     Cyberman.esp
[20]     Atomic World.esp
[21]     Eli_Armour_Compendium.esp
[22]     SS2Extended.esp
[23]     Vivid Weathers - FO4.esp
[24]     Vivid Weathers - FO4 - Quest.esp
[25]     SKS.esp
[26]     AmazingFollowerTweaks.esp
[27]     NightstrikerCreatureMod.esp
[28]     CheatTerminal.esp
[29]     Vivid Waters.esp
[2A]     militarizedminutemen.esp
[2B]     X-Mas_Strands.esp
[2C]     Rebel of Apocalypse.esp
[2D]     MWRam7.esp
[2E]     00-ThornJacket.esp
[2F]     ZaZOut4.esp
[30]     Warbird.esp
[31]     RADCON.esp
[32]     PersonalGuard.esp
[33]     MS Ranger Outfit.esp
[34]     CBBE.esp
[35]     Escape from Boston - Springfield M14.esp
[36]     PMC Operators Pack.esp
[37]     Suit Up.esp
[38]     BetterNightVision.esp
[39]     CROSS_GoreCrits.esp
[3A]     CROSS_GoreCrits_FarHarborPatch.esp
[3B]     RussianAssaultPack.esp
[3C]     Vivid Weathers - FO4 - Far Harbor.esp
[3D]     Vivid Weathers - Natural Bright.esp
[3E]     DarkerNights.esp
[3F]     DarkerNightsDetection.esp
[40]     EFF.esp
[41]     9x39Project.esp
[42]     ReconPack.esp
[43]     Child Outfits Vanilla Standalone.esp
[44]     Facials.esp
[45]     Child Posters.esp
[46]     TheMobileMechanic.esp
[47]     halffacemask.esp
[48]     PlayerVoiceFrequencySlider.esp
[49]     MGSAiming.esp
[4A]     M4k4rov - MWMines Replacer.esp
[4B]     AAFMorningSexWithLover.esp
[4C]     Crazy_Animation_Rugs.esp
[4D]     Deathclaw_nude.esp
[4E]     ErectionFix_SilverPerv.esp
[4F]     UAP Moans.esp
[50]     Vioxsis_Strap-Ons.esp
[51]     Farelle_Animations.esp
[52]     AAF_SEU.esp
[53]     Atomic Lust.esp
[54]     PersonalRadio2.esp
[55]     PersonalRadio2Receiver.esp
[56]     SnappingClothesRack.esp
[57]     WDP-PC.esp
[58]     SettlementMenuManager.esp
[59]     ehtyeci_MPX.esp
[5A]     Smoke-able Cigars.esp
[5B]     The Eyes Of Beauty.esp
[5C]     Brown Face Fix Male.esp
[5D]     MWHitFx.esp
[5E]     MW-Krueger.esp
[5F]     MW-Yegor.esp
[60]     MW-Farah.esp
[61]     IWSynaptic.esp
[62]     nukaproject.esp
[63]     Fireflies.esp
[64]     PhotoMode.esp
[65]     Crows&Creatures_V1.esp
[66]     Cyberpunk 2077 G-58 Dian.esp
[67]     BZW_Chris_Redfield.esp
[68]     [ETH]EthnetsMeleeSounds.esp
[69]     TraumaTeam.esp
[6A]     BZW_COD_Ghost_Jawbone.esp
[6B]     [MW2022] Shadow Company.esp
[6C]     OP_Workshop_Category.esp
[6D]     OP_Workshop_BarbedWireFence.esp
[6E]     LooksMenu.esp
[6F]     TacticalTablet.esp
[70]     LooksMenu Customization Compendium.esp
[71]     MiscHairstyle.esp
[72]     MoreBeards.esp
[73]     MoreHairstyles4Female.esp
[74]     MoreHairstyles4Male.esp
[75]     SleekStylesPack.esp
[76]     Lots More Female Hairstyles.esp
[77]     Lots More Facial Hair.esp
[78]     LooksMirror.esp
[79]     TacticalTablet_LMCC.esp
[7A]     HN66Fo4_EarringsV1.esp
[7B]     Playable Synth Eyes.esp
[7C]     DnxTattoos.esp
[7D]     ExtendedHairColors.esp
[7E]     KSHairdos.esp
[7F]     Gunner_Operator.esp
[80]     Casio_W59.esp
[81]     Reload Sounds.esp
[82]     QBZ191.esp
[83]     3dscopes.esp
[84]     3dscopes-framework.esp
[85]     FO4_AnimationsByLeito.esp
[86]     FastHawk_LL.esp
[87]     DownrangeHawk.esp
[88]     NAC-NW.esp
[89]     Vivid Weathers - Nuka World.esp
[8A]     Custom Playable Children.esp
[8B]     DavesPoses.esp
[8C]     Actor Scale Remover.esp
[8D]     Follower Revive System.esp
[8E]     ChildrenofGoodneighbor.esp
[8F]     Children Extended.esp
[90]     DiverseChildren.esp
[91]     Orphans.esp
[92]     SimpleSettlers.esp
[93]     MortalYouths.esp
[94]     NAC-FH.esp
[95]     ABundleofTape.esp
[96]     TEEParty.esp
[97]     WZXM4.esp
[98]     MWAN94.esp
[99]     MWIIM4.esp
[9A]     MWIIChimera.esp
[9B]     Winters_WaltherQ5.esp
[9C]     Wana_SA58.esp
[9D]     Eli_BunkerSafehouse.esp
[9E]     Modern Firearms.esp
[9F]     M2 vertibird.esp
[A0]     CombinedArmsNV.esp
[A1]     CompRedo.esp
[A2]     US_Rangers.esp
[A3]     MWM4.esp
[A4]     HoneyBadger.esp
[A5]     MWStriker.esp
[A6]     AWNF04Overalls.esp
