[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     MutantMenagerie.esm
[0A]     Homemaker.esm
[0B]     Random Robots - True Leveled.esm
[0C]     BbaronxScriptLibrary.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     XDI.esm
[0F]     SouthOfTheSea.esm
[10]     Perk Magazine Material Fix.esp
[11]     The Eyes Of Beauty.esp
[12]     AzarPonytailHairstyles.esp
[13]     TheFourHorsemenMasks.esp
[14]     ConceptCentaur.esp
[15]     DCWestSuperMutants.esp
[16]     Deathwings.esp
[17]     valkyriearmor.esp
[18]     Clothes Pack v2.0 by DonEb14n.esp
[19]     Clothes Pack 2 by DonEb14n.esp
[1A]     EnclaveX02.esp
[1B]     Glowing_X-01_Quantum.esp
[1C]     T51NukaJetPack.esp
[1D]     fo3friedghouls.esp
[1E]     Crows&Creatures_V1.esp
[1F]     rpampas.esp
[20]     dinoshelf.esp
[21]     AmmoCrafting.esp
[22]     Simplified Sorting.esp
[23]     Armorsmith Extended.esp
[24]     HardcoreEnemies.esp
[25]     MojaveImports.esp
[26]     More Power Armour Mods.esp
[27]     Consistent Power Armor Overhaul.esp
[28]     BattleRifle.esp
[29]     BobbleGirl.esp
[2A]     BossChestsHaveLegendaries.esp
[2B]     CBBE.esp
[2C]     Chainsaw.esp
[2D]     More Smarter Companions Mod.esp
[2E]     Nuka-World Fizztop Grille Workshop.esp
[2F]     Reverb and Ambiance Overhaul.esp
[30]     DCRE.esp
[31]     ESPExplorerFO4.esp
[32]     FunctionalDisplays.esp
[33]     FunctionalDisplays-AID-VIS.esp
[34]     FunctionalDisplays-AID-WI.esp
[35]     FunctionalDisplays-AID-Weightless.esp
[36]     FunctionalDisplays-Collectibles.esp
[37]     FunctionalDisplays-MISC-HTNJ-Weightless.esp
[38]     FunctionalDisplays-MISC-VIS.esp
[39]     FunctionalDisplays-MISC-Vanilla.esp
[3A]     brtrn_craftingItemsAreNotJunk.esp
[3B]     brtrn_highValueAreNotJunk.esp
[3C]     brtrn_holoTagsAreNotJunk.esp
[3D]     brtrn_toysAreNotJunk.esp
[3E]     brtrn_undamagedItemsAreNotJunk.esp
[3F]     brtrn_uniqueItemsAreNotJunk.esp
[40]     FunctionalDisplays-Patch-DLC-ALL-VIS.esp
[41]     FunctionalDisplays-Patch-DLC-ALL-Weightless.esp
[42]     FunctionalDisplays-Patch-DLC-ALL.esp
[43]     Homemaker - Streetlights Use Passive Power.esp
[44]     Homemaker - Unlocked Institute Objects.esp
[45]     ImmersiveAnimationFramework.esp
[46]     LegendaryModification.esp
[47]     LegendaryModification2LM.esp
[48]     LegendaryModificationCSA.esp
[49]     LegendaryModificationMisc.esp
[4A]     LooksMenu Customization Compendium.esp
[4B]     LooksMirror.esp
[4C]     No Aggro Impact Landing.esp
[4D]     Overhaul Patch.esp
[4E]     PhotoMode.esp
[4F]     skeletonfemaleplayer.esp
[50]     Project Reality Footsteps FO4.esp
[51]     sarahRageArmor.esp
[52]     SettlementMenuManager.esp
[53]     Smoke-able Cigars.esp
[54]     UniqueFemalePlayer.esp
[55]     EveryonesBestFriend.esp
[56]     Quantum Deathclaws V1.1.esp
[57]     ExoticWorkshopCreatures.esp
[58]     MsAutomatronPartsCollection.esp
[59]     AEWS.esp
[5A]     Reinforcements.esp
[5B]     Brotherhood Power Armor Overhaul.esp
[5C]     PAMAP.esp
[5D]     cheatterminal.esp
[5E]     Skb_RiflesRebirth.esp
[5F]     Floaters.esp
[60]     SynthPA.esp
[61]     powerarmort49.esp
[62]     mjp_PTRS41ATR.esp
[63]     More Power Armour Mods - Automatron.esp
[64]     TFRangerGear.esp
[65]     Pig1887Vanilla.esp
[66]     AEWS_NukaWorldPatch.esp
[67]     AutomatronWheelLegs.esp
[68]     PackBrahminsToEyebots_Settlements.esp
[69]     More Power Armour Mods - X-02.esp
[6A]     X02Factions.esp
[6B]     Fallout4 Weapon Overhaul.esp
[6C]     Fusion Core Charging.esp
[6D]     AWKCR - Mod Power Armor Engine Glitch Fix.esp
[6E]     LooksMenu.esp
[6F]     DeathclawArmory.esp
[70]     DeathclawArmory - X-02.esp
[71]     DavesPoses.esp
[72]     MW Basilisk.esp
[73]     CorvalhoWidowShotgun.esp
[74]     F4NVServiceRifleRedux.esp
[75]     VWR - Service Rifle.esp
[76]     Buildable_PAFrames.esp
[77]     broken_t45.esp
[78]     Midwest Power Armor Evolution.esp
[79]     SubmersiblePowerArmorRedux.esp
[7A]     CWCreateABot.esp
[7B]     couplemoredeathclaws.esp
[7C]     CHAOTIC SUN.esp
[7D]     shoddymemone.esp
[7E]     creativeclutter.esp
[7F]     DX_Black_Widow.esp
[80]     HuntingRevolver.esp
[81]     T-51C Power Armor.esp
[82]     M1A.esp
[83]     BasementLiving.esp
[84]     Buildable_PAFrames_Recipe.esp
[85]     VtawWardrobe1.esp
[86]     GetTheFuckAlong.esp
[87]     EnhancedLightsandFX.esp
[88]     BeastWhisperer.esp
[89]     M1Garand - AWKCR.esp
[8A]     M1Garand.esp
[8B]     SKKFastBOS.esp
[8C]     STEALTH AND DETECTION SYSTEM(base).esp
[8D]     the_invisible_enemy.esp
[8E]     NAC-FH.esp
[8F]     NAC-NW.esp
[90]     NAC.esp
[91]     A Forest.esp
[FE:000] ccgcafo4003-factionws03bos.esl
[FE:001] ccgcafo4009-factionws09mm.esl
[FE:002] ccgcafo4013-factionas02bos.esl
