xinput1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000055500000
steam_api64.dll               0x000055820000
Buffout4.dll                  0x020C2B090000
Fallout4.exe                  0x7FF6FDA70000
DSOUND.DLL                    0x7FF8076E0000
gameoverlayrenderer64.dll     0x7FF808520000
wsfw_identifier.dll           0x7FF8086B0000
XDI.dll                       0x7FF809E20000
PowerGridTools.dll            0x7FF80A140000
mcm.dll                       0x7FF80A1B0000
f4ee.dll                      0x7FF80A250000
crafting_highlight_fix.dll    0x7FF80A450000
ClassicHolsteredWeapons.dll   0x7FF80A4A0000
f4se_1_10_163.dll             0x7FF80A870000
XAudio2_7.dll                 0x7FF80A9A0000
tier0_s64.dll                 0x7FF80AA30000
IPHLPAPI.DLL                  0x7FF80ABD0000
BulletCountedReload.dll       0x7FF80C410000
vstdlib_s64.dll               0x7FF80C5A0000
cudart64_75.dll               0x7FF80C660000
GFSDK_GodraysLib.x64.dll      0x7FF80C6C0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF80E9B0000
flexExtRelease_x64.dll        0x7FF80EA40000
flexRelease_x64.dll           0x7FF810E30000
MSVCR110.dll                  0x7FF811170000
MSVCP110.dll                  0x7FF811250000
bink2w64.dll                  0x7FF811300000
f4se_steam_loader.dll         0x7FF817F40000
ShadowBoost.asi               0x7FF819A80000
XINPUT1_3.dll                 0x7FF819BD0000
MSVCP140_ATOMIC_WAIT.dll      0x7FF81E8A0000
usvfs_x64.dll                 0x7FF82B900000
MSVCP140.dll                  0x7FF82C190000
WINSPOOL.DRV                  0x7FF834680000
OneCoreCommonProxyStub.dll    0x7FF837CB0000
MSIMG32.dll                   0x7FF839540000
COMCTL32.dll                  0x7FF83CAA0000
winmmbase.dll                 0x7FF83FD50000
DbgHelp.dll                   0x7FF843280000
nvToolsExt64_1.dll            0x7FF8463C0000
InputHost.dll                 0x7FF848B50000
textinputframework.dll        0x7FF848CB0000
Windows.UI.dll                0x7FF848E00000
D3DSCache.dll                 0x7FF84B8A0000
amdihk64.dll                  0x7FF84B8F0000
atidxx64.dll                  0x7FF84B9E0000
OneCoreUAPCommonProxyStub.dll 0x7FF84D940000
atiuxp64.dll                  0x7FF84E110000
WINHTTP.dll                   0x7FF84E150000
WINMM.dll                     0x7FF84FB90000
aticfx64.dll                  0x7FF84FBC0000
dxcore.dll                    0x7FF84FF30000
MMDevApi.dll                  0x7FF850430000
AUDIOSES.DLL                  0x7FF8504D0000
WindowManagementAPI.dll       0x7FF850B50000
VERSION.dll                   0x7FF851A00000
twinapi.appcore.dll           0x7FF852630000
avrt.dll                      0x7FF853460000
Secur32.dll                   0x7FF853960000
VCRUNTIME140_1.dll            0x7FF854790000
VCRUNTIME140.dll              0x7FF8547C0000
PROPSYS.dll                   0x7FF8548D0000
wintypes.dll                  0x7FF854DF0000
d3d11.dll                     0x7FF8553B0000
dcomp.dll                     0x7FF855BE0000
CoreUIComponents.dll          0x7FF855DD0000
CoreMessaging.dll             0x7FF8564B0000
apphelp.dll                   0x7FF8566E0000
resourcepolicyclient.dll      0x7FF856790000
UxTheme.dll                   0x7FF8567B0000
kernel.appcore.dll            0x7FF856B50000
dwmapi.dll                    0x7FF856B70000
windows.storage.dll           0x7FF856E60000
HID.DLL                       0x7FF857600000
dxgi.dll                      0x7FF857780000
ntmarta.dll                   0x7FF857EC0000
IpHlpAPI.dll                  0x7FF858170000
MSWSOCK.dll                   0x7FF858480000
CRYPTBASE.DLL                 0x7FF858700000
Wldp.dll                      0x7FF858790000
DEVOBJ.dll                    0x7FF858940000
MSASN1.dll                    0x7FF858970000
UMPDC.dll                     0x7FF858BF0000
powrprof.dll                  0x7FF858C10000
SSPICLI.DLL                   0x7FF858C60000
USERENV.dll                   0x7FF858CA0000
profapi.dll                   0x7FF858CE0000
msvcp_win.dll                 0x7FF858DA0000
win32u.dll                    0x7FF858E40000
CRYPT32.dll                   0x7FF858E70000
WINTRUST.dll                  0x7FF858FD0000
KERNELBASE.dll                0x7FF859040000
bcrypt.dll                    0x7FF859320000
bcryptPrimitives.dll          0x7FF859350000
cfgmgr32.dll                  0x7FF8593E0000
gdi32full.dll                 0x7FF859430000
ucrtbase.dll                  0x7FF8595F0000
combase.dll                   0x7FF8596F0000
KERNEL32.DLL                  0x7FF859CA0000
PSAPI.DLL                     0x7FF859D60000
GDI32.dll                     0x7FF859D70000
USER32.dll                    0x7FF859DA0000
OLEAUT32.dll                  0x7FF859F50000
SHELL32.dll                   0x7FF85A020000
ADVAPI32.dll                  0x7FF85A770000
RPCRT4.dll                    0x7FF85A880000
IMM32.DLL                     0x7FF85A9B0000
COMDLG32.dll                  0x7FF85A9F0000
SETUPAPI.dll                  0x7FF85AAE0000
imagehlp.dll                  0x7FF85AF50000
WS2_32.dll                    0x7FF85AF70000
SHLWAPI.dll                   0x7FF85AFE0000
msvcrt.dll                    0x7FF85B0A0000
ole32.dll                     0x7FF85B1A0000
sechost.dll                   0x7FF85B2D0000
clbcatq.dll                   0x7FF85B370000
shcore.dll                    0x7FF85B420000
MSCTF.dll                     0x7FF85B550000
ntdll.dll                     0x7FF85B6B0000
steamclient64.dll             0x7FFFDFB80000
