[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     XDI.esm
[0A]     WorkshopFramework.esm
[0B]     TrueStormsFO4.esm
[0C]     MutantMenagerie.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     MutantMenagerie_NukaWorld.esm
[0F]     SS2.esm
[10]     SettlementKeywords.esm
[11]     SS2_XPAC_Chapter2.esm
[12]     Arbitration - Resources.esm
[13]     CWPointLookoutFO4.esm
[14]     LooksMenu.esp
[15]     MutilatedDeadBodies.esp
[16]     SilentProtagonist.esp
[17]     Stm_DiamondCityExpansion.esp
[18]     SuperMutantRedux.esp
[19]     Reverb and Ambiance Overhaul.esp
[1A]     TrueStormsFO4-FarHarbor.esp
[1B]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[1C]     DarkerNights.esp
[1D]     BetterModDescriptions.esp
[1E]     MojaveImports.esp
[1F]     Gas Masks of the Wasteland.esp
[20]     Gas Mask NPC.esp
[21]     brotherhood of steel overhaul.esp
[22]     Raider Children.esp
[23]     SS2Extended.esp
[24]     Some Assembly Required.esp
[25]     CombatZoneRestored.esp
[26]     Eli_Armour_Compendium.esp
[27]     W.A.T.Minutemen.esp
[28]     DT_GunnerOutfitPack.esp
[29]     DTG_LeveledListIntegration.esp
[2A]     More Smarter Companions Mod.esp
[2B]     3DNPC_FO4Settler.esp
[2C]     American180nv.esp
[2D]     TrueStormsFO4-EarlierSunsets.esp
[2E]     TrueStormsFO4-EarlierSunsetsFH.esp
[2F]     TrueStormsFO4-FarHarborExtraRads.esp
[30]     TrueStormsFO4-GlowingSeaExtraRads.esp
[31]     dD-Enhanced Blood Basic.esp
[32]     dD - Screen Blood Duration Long.esp
[33]     AzarPonytailHairstyles.esp
[34]     3dscopes.esp
[35]     BetterNightVision.esp
[36]     DarkerNightsDetection.esp
[37]     AnS Wearable Backpacks and Pouches.esp
[38]     Floaters.esp
[39]     DOOMMerged.esp
[3A]     MREs.esp
[3B]     T-51C Power Armor.esp
[3C]     T65PA.esp
[3D]     WattzLaserGun.esp
[3E]     FO4TribalPowerArmor.esp
[3F]     LString_Bow.esp
[40]     SkyrimInspiredPowerArmor.esp
[41]     AnS Wearable Backpacks and Pouches - Power Armor Carry Capacity.esp
[42]     BetterSettlers.esp
[43]     BetterSettlersNoLollygagging.esp
[44]     BetterSettlersCCAPack2.0.esp
[45]     RaiderOverhaul.esp
[46]     Killable Children.esp
[47]     Orphans.esp
[48]     BetterSettlersMortalPack.esp
[49]     Consistent Power Armor Overhaul.esp
[4A]     Brotherhood Power Armor Overhaul.esp
[4B]     PAMAP.esp
[4C]     Nuka World Bottle Fix.esp
[4D]     FO4 NPCs Travel.esp
[4E]     RU556.esp
[4F]     InstitutePowerArmor.esp
[50]     AtomicRadio.esp
[51]     LongerPowerLines3x.esp
[52]     EveryonesBestFriend.esp
[53]     CraftableAmmo.esp
[54]     CraftableAmmo_plus.esp
[55]     Crossbow.esp
[56]     ExcavatorPA.esp
[57]     SelectPowerArmor.esp
[58]     MP7.esp
[59]     ChildrenofBunkerHill.esp
[5A]     OWR.esp
[5B]     RAO - OWR patch.esp
[5C]     Lush Landscapes.esp
[5D]     Insignificant Object Remover.esp
[5E]     EnclaveX02.esp
[5F]     NanoSuit.esp
[60]     Vivid Fallout - All in One - Best Choice.esp
[61]     K9TacticalHarness.esp
[62]     WestTekTacticalOptics.esp
[63]     Faster Terminal Displays (20x).esp
[64]     ImmersiveVendors.esp
[65]     ImmersiveAnimationFramework.esp
[66]     Cannabis Commonwealth.esp
[67]     OWR_CraftableDecor.esp
[68]     OWR_CraftableDecor_SKEPatch.esp
[69]     OWR_SKEPatch.esp
[6A]     Campsite.esp
[6B]     Archimedes-II.esp
[6C]     BLD - AI Tweaks.esp
[6D]     Live Dismemberment - Regular.esp
[6E]     D.E.C.A.Y.esp
[6F]     Hellfirenew.esp
[70]     PA-Quick Animations.esp
[71]     CROSS_Jetpack.esp
[72]     Nexus_PMC.esp
[73]     X02Factions.esp
[74]     X03Factions.esp
[75]     CorpusPraesidium.esp
[76]     Institute Heavy Weaponry.esp
[77]     BPAO - PAMAP 2.0 Automatron Patch.esp
[78]     el_precursorsuit.esp
[79]     PerpetualBeta_OppressorDogArmor.esp
[7A]     ChineseStealthSuit.esp
[7B]     NPCGreetingTweak90.esp
[7C]     HK_MP5.esp
[7D]     G36Complex.esp
[7E]     HK_UMP.esp
[7F]     9x39Project.esp
[80]     MG69.esp
[81]     Assault Rifle Reanimated.esp
[82]     BetterModDescriptionsCOTC.esp
[83]     LegendaryModification.esp
[84]     BetterModDescriptionsLMSurvival.esp
[85]     LegendaryModification Enhanced.esp
[86]     BetterModDescriptionsLME.esp
[87]     BetterModDescriptionsROWIP.esp
[88]     BetterModDescriptionsSTCSAdd.esp
[89]     Arbitration - Button Lowered Weapons.esp
[8A]     Gas Mask Climate.esp
[8B]     Gas Mask True Storms.esp
[8C]     GlovesOfTheCommonwealth.esp
[8D]     Lacy Underwear.esp
[8E]     LegendaryModificationMisc.esp
[8F]     MilkThatBrahmin.esp
[90]     ChildrenofGoodneighbor.esp
[91]     Binoculars.esp
[92]     Female Tactical Armor.esp
[93]     Synth Overhaul.esp
[94]     Synth Overhaul - White Patch.esp
[95]     Sporty Underwear.esp
[96]     RemoteExplosives.esp
[97]     Realistic Roads - Black Asphalt.esp
[98]     QuickTrade.esp
[99]     PMC_extended.esp
