XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x000073B10000
steam_api64.dll            0x000073B20000
d3d11.dll                  0x000180000000
clbcatq.dll                0x02401DCC0000
RTSSHooks64.dll            0x0240523A0000
MSCTF.dll                  0x024079F80000
Fallout4.exe               0x7FF6D2490000
d3dcompiler_42.dll         0x7FFEC8C80000
XAudio2_7.dll              0x7FFED5FF0000
nvcuda64.dll               0x7FFED61B0000
d3dcompiler_47_64.dll      0x7FFED7BC0000
DINPUT8.dll                0x7FFED7FD0000
NvCamera64.dll             0x7FFED8020000
d3dcompiler_46e.dll        0x7FFED8BC0000
gameoverlayrenderer64.dll  0x7FFED8F80000
wsfw_identifier.dll        0x7FFED9110000
PRKF.dll                   0x7FFED9210000
PowerGridTools.dll         0x7FFED92A0000
mcm.dll                    0x7FFED9310000
HighFPSPhysicsFix.dll      0x7FFED93B0000
f4ee.dll                   0x7FFED9440000
Buffout4.dll               0x7FFED9550000
steamclient64.dll          0x7FFED9760000
IPHLPAPI.DLL               0x7FFEDAF20000
UnlimitedSurvivalMode.dll  0x7FFEEE580000
tier0_s64.dll              0x7FFEEE5D0000
FVSE.dll                   0x7FFEF1C70000
faster_workshop.dll        0x7FFEF1CE0000
f4se_1_10_163.dll          0x7FFEF3660000
BulletCountedReload.dll    0x7FFEF3880000
D3DCOMPILER_43.dll         0x7FFEF3910000
crafting_highlight_fix.dll 0x7FFEF4270000
vstdlib_s64.dll            0x7FFEF42C0000
flexRelease_x64.dll        0x7FFEF4380000
cbp.dll                    0x7FFEF45F0000
MSVCR110.dll               0x7FFEF4660000
tbbmalloc.dll              0x7FFEF4A30000
cudart64_75.dll            0x7FFEF5E60000
GFSDK_GodraysLib.x64.dll   0x7FFEF5F20000
GFSDK_SSAO_D3D11.win64.dll 0x7FFEF6280000
MSVCP110.dll               0x7FFEF7900000
DSOUND.DLL                 0x7FFEF79B0000
nvspcap64.dll              0x7FFEF7B10000
bink2w64.dll               0x7FFF01FE0000
flexExtRelease_x64.dll     0x7FFF0DBE0000
d3dx11_43.dll              0x7FFF19A90000
f4se_steam_loader.dll      0x7FFF1B660000
WeaponDebrisCrashFix.dll   0x7FFF21460000
SprintStutteringFix.dll    0x7FFF21D90000
MSVCP140_ATOMIC_WAIT.dll   0x7FFF22A90000
XINPUT9_1_0.dll            0x7FFF2A7B0000
AUDIOSES.DLL               0x7FFF2DF40000
nvToolsExt64_1.dll         0x7FFF2E240000
mskeyprotect.dll           0x7FFF2E610000
ncryptsslp.dll             0x7FFF2EC70000
MSVCP140.dll               0x7FFF2FB50000
winmmbase.dll              0x7FFF2FBE0000
VCRUNTIME140.dll           0x7FFF2FC10000
usvfs_x64.dll              0x7FFF316F0000
Secur32.dll                0x7FFF32850000
MessageBus.dll             0x7FFF339A0000
d3dx11_42.dll              0x7FFF34270000
VCRUNTIME140_1.dll         0x7FFF342C0000
WINSPOOL.DRV               0x7FFF345C0000
COMCTL32.dll               0x7FFF34660000
webio.dll                  0x7FFF35050000
DbgHelp.dll                0x7FFF35C20000
MSIMG32.dll                0x7FFF37290000
nvwgf2umx.dll              0x7FFF39610000
MpOav.dll                  0x7FFF3CE40000
amsi.dll                   0x7FFF3CEC0000
inputhost.dll              0x7FFF3CEE0000
textinputframework.dll     0x7FFF3D040000
Windows.UI.dll             0x7FFF3D140000
nvldumdx.dll               0x7FFF3D290000
nvapi64.dll                0x7FFF3D4B0000
wbemsvc.dll                0x7FFF3E650000
fastprox.dll               0x7FFF3EE00000
fwpuclnt.dll               0x7FFF40430000
wbemcomn.dll               0x7FFF406C0000
wbemprox.dll               0x7FFF40770000
MMDevApi.dll               0x7FFF40790000
WINMM.dll                  0x7FFF40860000
rasadhlp.dll               0x7FFF40A80000
twinapi.appcore.dll        0x7FFF40F80000
drvstore.dll               0x7FFF41270000
cryptnet.dll               0x7FFF414A0000
WindowsCodecs.dll          0x7FFF41550000
WINHTTP.dll                0x7FFF41710000
WindowManagementAPI.dll    0x7FFF41920000
VERSION.dll                0x7FFF41DD0000
avrt.dll                   0x7FFF42390000
dhcpcsvc.DLL               0x7FFF42550000
