XINPUT1_3.dll                 0x000000400000
Resource.dll                  0x000010000000
X3DAudio1_7.dll               0x00006A340000
d3d11.dll                     0x000180000000
LL_fourPlay_1_10_163.dll      0x02280F130000
imagehlp.dll                  0x022937420000
NSI.dll                       0x022937510000
WindowsCodecs.dll             0x0229375A0000
Fallout4.exe                  0x7FF7C3B80000
PicFace64.dll                 0x7FFCF0FF0000
SogouPy.ime                   0x7FFCF3CD0000
SogouTSF.ime                  0x7FFCF45F0000
nvcuda64.dll                  0x7FFCFE4A0000
d3dcompiler_47_64.dll         0x7FFCFF250000
NvCamera64.dll                0x7FFCFF660000
d3dcompiler_46e.dll           0x7FFD00CD0000
XAudio2_7.dll                 0x7FFD01260000
transfer_settlements.dll      0x7FFD01520000
enbhelperf4.dll               0x7FFD017F0000
DINPUT8.dll                   0x7FFD01CB0000
XDI.dll                       0x7FFD02700000
wsfw_identifier.dll           0x7FFD02770000
UnlimitedFastTravel.dll       0x7FFD02870000
terminal+.dll                 0x7FFD028C0000
usvfs_x64.dll                 0x7FFD10E50000
UneducatedShooter.dll         0x7FFD11150000
PowerGridTools.dll            0x7FFD111B0000
mcm.dll                       0x7FFD11220000
HighFPSPhysicsFix.dll         0x7FFD112C0000
SeamlessInspect.dll           0x7FFD11790000
HHS.dll                       0x7FFD117E0000
FakeThroughScope.dll          0x7FFD11880000
Buffout4.dll                  0x7FFD11910000
KnockoutFramework.dll         0x7FFD15910000
f4pm.dll                      0x7FFD15970000
f4ee.dll                      0x7FFD159E0000
D3DCOMPILER_43.dll            0x7FFD15AF0000
IPHLPAPI.DLL                  0x7FFD15D60000
FineZoom.dll                  0x7FFD174F0000
ESPExplorer.dll               0x7FFD17540000
cbp.dll                       0x7FFD1AA70000
crafting_highlight_fix.dll    0x7FFD20140000
BakaScrapHeap.dll             0x7FFD20190000
dxgi.dll                      0x7FFD20260000
flexRelease_x64.dll           0x7FFD20660000
f4se_1_10_163.dll             0x7FFD215A0000
MSVCR110.dll                  0x7FFD21C10000
BulletCountedReload.dll       0x7FFD23760000
BodyPartsUI.dll               0x7FFD25F10000
d3dx11_43.dll                 0x7FFD38E20000
cudart64_75.dll               0x7FFD38E70000
steam_api64.dll               0x7FFD38ED0000
nvspcap64.dll                 0x7FFD3AAF0000
MSVCP110.dll                  0x7FFD3AE20000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD52760000
XInput1_4.dll                 0x7FFD552E0000
GFSDK_GodraysLib.x64.dll      0x7FFD58CC0000
winmmbase.dll                 0x7FFD5D140000
bink2w64.dll                  0x7FFD5D560000
ondemandconnroutehelper.dll   0x7FFD5E730000
OneCoreCommonProxyStub.dll    0x7FFD65CF0000
WININET.dll                   0x7FFD67350000
TextShaping.dll               0x7FFD678C0000
mskeyprotect.dll              0x7FFD68AB0000
ncryptsslp.dll                0x7FFD68C40000
PriorityMod.dll               0x7FFD691D0000
Windows.UI.dll                0x7FFD6AA50000
flexExtRelease_x64.dll        0x7FFD6AF30000
MessageBus.dll                0x7FFD6EA20000
textinputframework.dll        0x7FFD6FF80000
inputhost.dll                 0x7FFD70770000
MSVCP140.dll                  0x7FFD70ED0000
VCRUNTIME140.dll              0x7FFD70F60000
VCRUNTIME140_1.dll            0x7FFD70F80000
iertutil.dll                  0x7FFD71060000
srvcli.dll                    0x7FFD71320000
urlmon.dll                    0x7FFD71370000
MessageBus.dll                0x7FFD73F70000
WINSPOOL.DRV                  0x7FFD74A00000
COMCTL32.dll                  0x7FFD74AA0000
DSOUND.DLL                    0x7FFD74E50000
wbemsvc.dll                   0x7FFD75B30000
amsi.dll                      0x7FFD75CB0000
DbgHelp.dll                   0x7FFD75CD0000
WeaponDebrisCrashFix.dll      0x7FFD76460000
SprintStutteringFix.dll       0x7FFD764A0000
XINPUT9_1_0.dll               0x7FFD76530000
fastprox.dll                  0x7FFD76950000
OLEACC.dll                    0x7FFD76E50000
f4se_steam_loader.dll         0x7FFD770A0000
nvapi64.dll                   0x7FFD77120000
wbemcomn.dll                  0x7FFD77DA0000
webio.dll                     0x7FFD77E30000
wbemprox.dll                  0x7FFD787B0000
rasadhlp.dll                  0x7FFD787D0000
fwpuclnt.dll                  0x7FFD78810000
WINMM.dll                     0x7FFD78A80000
nvwgf2umx.dll                 0x7FFD78AB0000
cryptnet.dll                  0x7FFD7DF30000
nvldumdx.dll                  0x7FFD7DF70000
OneCoreUAPCommonProxyStub.dll 0x7FFD7E090000
dxcore.dll                    0x7FFD7E860000
drvstore.dll                  0x7FFD7E8A0000
VERSION.dll                   0x7FFD7EAF0000
MMDevApi.dll                  0x7FFD7F3B0000
AUDIOSES.DLL                  0x7FFD7F790000
WINHTTP.dll                   0x7FFD7FA00000
twinapi.appcore.dll           0x7FFD80230000
dhcpcsvc.DLL                  0x7FFD80430000
WindowManagementAPI.dll       0x7FFD80450000
