[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     Homemaker.esm
[0A]     XDI.esm
[0B]     PlayerComments.esp
[0C]     CustomCamera.esp
[0D]     GrenadeExpansionPack.esp
[0E]     CBBE.esp
[0F]     PlayerComments_UFO4P_Patch.esp
[10]     PlayerComments - Auntie Dot Version.esp
[11]     ImmersiveAnimationFramework.esp
[12]     PhotoMode.esp
[13]     UnbogusHealthScaling.esp
[14]     AmazingFollowerTweaks.esp
[15]     VisibleWeapons.esp
[16]     OSF.esp
[17]     OSF - LLProps.esp
[18]     Scopes.esp
[19]     FineZoom.esp
[1A]     Specialize.esp
[1B]     HotDiggity.esp
[1C]     HumbleHotDiggityPerksPack.esp
[1D]     TacticalTablet.esp
[1E]     TacticalTablet_LMCC.esp
[1F]     ToggleableHightechVisionModes.esp
[20]     WastelandEnergyShields.esp
[21]     MA37.esp
[22]     MisriahArmory.esp
[23]     MisriahArmory - Gunfighter.esp
[24]     RemoteExplosives.esp
[25]     snipertrail.esp
[26]     FCOM.esp
[27]     Rebel Insurgency.esp
[28]     Rebel Insurgency - Armament.esp
[29]     Flood Infection.esp
[2A]     Mark V[B] Redux.esp
[2B]     Infinite Armory.esp
[2C]     Infinite Armory - Hammer Edition.esp
[2D]     Mark VII Armory.esp
[2E]     Rakshasa Armory.esp
[2F]     OSF - Tali Armor Crafting.esp
[30]     Noble Team Companions.esp
[31]     Mark V[B] Armory - WES Patch.esp
[32]     UNSCArmory.esp
[33]     [XHX] IFT - Clothing.esp
[34]     [XHX] IFT - Gear.esp
[35]     [XHX] IFT - Clothing Civilians.esp
[36]     SKKSurvivalUtilities.esp
[37]     SurvivalSaving_Holotapes.esp
[38]     SKKUnlockCompanions.esp
[39]     AnimalPack.esp
[3A]     Sarcastic Sneak.esp
[3B]     WheelMenu.esp
[3C]     AnimChemRedux.esp
[3D]     MK_ComponentsRedone.esp
[3E]     Homemaker - Streetlights Use Passive Power.esp
[3F]     Homemaker - Unlocked Institute Objects.esp
[40]     Movement Tweaks.esp
[41]     TestWorldspace.esp
[42]     PhotoRoom.esp
[43]     datramen_poses.esp
[44]     DavesPoses.esp
[45]     Shino Poses.esp
[46]     StopDropPose.esp
[47]     PosesForThePeople.esp
[48]     ThraxActionPoses.esp
[49]     LooksMenu.esp
[4A]     LooksMenu Customization Compendium.esp
[4B]     The Eyes Of Beauty.esp
[4C]     The Eyes of Beauty Looking Stranger.esp
[4D]     AzarPonytailHairstyles.esp
[4E]     ZellaHairDye.esp
[4F]     Lots More Facial Hair.esp
[50]     Lots More Male Hairstyles.esp
[51]     Lots More Female Hairstyles.esp
[52]     SleekStylesPack.esp
[53]     BDO Hair.esp
[54]     FF7R.esp
[55]     ParagonHairs.esp
[56]     MeanMachineEyes.esp
[57]     512StandaloneHairColors.esp
[58]     KSHairsFemsheppingRadbeetle.esp
[59]     KSHairdos.esp
[5A]     MiscHairstyle.esp
[5B]     LMBTOverlays.esp
[5C]     Companion Overhauls.esp
[5D]     GTMOverlays_V2.esp
[5E]     HiPolyFaces.esp
[5F]     BZW_Tactical_Assassin.esp
[60]     Arbitration - Better Combat AI.esp
[61]     Arbitration - Reduced Grenade Spam.esp
[62]     Arbitration - Stealth Overhaul.esp
[63]     SM More Weapon Anims - All Dlc.esp
[64]     Reverb and Ambiance Overhaul.esp
[65]     Elzee Human Grab Attacks.esp
[66]     dD-Realistic Ragdoll Force.esp
[67]     ManualReload.esp
[68]     PD_LowerWeapon.esp
[69]     FirstPersonDeathMod.esp
[6A]     LootableCars.esp
[6B]     subwayrunnnernodynamic.esp
[6C]     jsrs.esp
[6D]     CheatTerminal.esp
[6E]     Follower Revive System.esp
[6F]     No_Health_Crippled_PopUps.esp
[70]     2029 Radio- Pipboy Custom.esp
[71]     Halo Music Replacer.esp
[72]     MK_DeadMoon.esp
[73]     ALR - All DLC.esp
[74]     NAC.esp
[75]     NAC-FH.esp
[76]     NAC-NW.esp
[77]     EnhancedLightsandFX.esp
[78]     ENBLightsHDRPatch.esp
[79]     ATaAH - Dave's Poses v2.1 compatibility patch.esp
[7A]     SPTFIRE-ALLDLC.esp
[7B]     Grab Animation.esp
[7C]     Locky Bastard.esp
[7D]     Radiant Clouds and Fogs.esp
[7E]     LootableCarsMaimPatch.esp
[7F]     Ketaros_World.esp
[80]     Ketaros_NewMags.esp
[81]     WarzoneProject.esp
[82]     SKK476OpenWorld.esp
[83]     Warlike With Turf Wars.esp
[84]     FCOM UNSC Edition - FO476.esp
[85]     SKK476UserActorList.esp
[86]     StartMeUp.esp
[87]     StartMeUpNukaWorldPatch.esp
[88]     Car replace Project.esp
[89]     Boston Natural Surroundings.esp
[8A]     NiceBush.esp
[8B]     Wasteland Illumination.esp
[8C]     Minuteman Watchtowers.esp
[8D]     CRP1.esp
[8E]     SanctuaryHillsOverhual.esp
[8F]     Abernathy Pond.esp
[90]     Clean Water - Clean.esp
[91]     Dilapidated Roads - Charcoal.esp
[FE:000] Neto_Poses.esl
[FE:001] _LandAnimMod.esl
[FE:002] KillTips_by_tooun.esl
[FE:003] ammoUI_by_tooun.esl
[FE:004] Quick_Change_Armor_by_tooun.esl
[FE:005] Quick_Modification_Weapon_by_tooun.esl
[FE:006] Quintessential Quarries.esl
[FE:007] tooun_Animationpack.esl
[FE:008] M84FlashBang.esl
[FE:009] Any_Terminal_at_Any_Height.esl
