XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000051B00000
steam_api64.dll               0x000051B10000
MSCTF.dll                     0x01A91EDC0000
NSI.dll                       0x01A937700000
WINTRUST.dll                  0x01A937740000
Fallout4.exe                  0x7FF61AF90000
steamclient64.dll             0x7FFAB46F0000
Buffout4.dll                  0x7FFAD7090000
gameoverlayrenderer64.dll     0x7FFAE06C0000
wsfw_identifier.dll           0x7FFAE0AF0000
XDI.dll                       0x7FFAE1EA0000
dxgi.dll                      0x7FFAE1F10000
UnlimitedSurvivalMode.dll     0x7FFAE2500000
f4ee.dll                      0x7FFAE2550000
tier0_s64.dll                 0x7FFAE2660000
PowerGridTools.dll            0x7FFAE2820000
place.dll                     0x7FFAE2890000
mcm.dll                       0x7FFAE2910000
HUDPlusPlus.dll               0x7FFAE29B0000
D3DCOMPILER_47.dll            0x7FFAE4FE0000
d3dx9_43.dll                  0x7FFAE5410000
UneducatedShooter.dll         0x7FFAE5680000
HighFPSPhysicsFix.dll         0x7FFAE5960000
flexRelease_x64.dll           0x7FFAF0E70000
ClassicHolsteredWeapons.dll   0x7FFAF2F80000
BakaScrapHeap.dll             0x7FFAF3280000
XAudio2_7.dll                 0x7FFAF49F0000
FloatingDamage.dll            0x7FFB050C0000
f4se_1_10_163.dll             0x7FFB05880000
hudextension.dll              0x7FFB23850000
BulletCountedReload.dll       0x7FFB3DFC0000
FallSouls.dll                 0x7FFB5BBB0000
crafting_highlight_fix.dll    0x7FFB65400000
vstdlib_s64.dll               0x7FFB65C90000
cudart64_75.dll               0x7FFB66EA0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFB66F70000
MSVCR110.dll                  0x7FFB67CE0000
GLU32.dll                     0x7FFB6A5B0000
OPENGL32.dll                  0x7FFB6E720000
d3dx10_43.dll                 0x7FFB6F860000
k_fps64.dll                   0x7FFB6F8E0000
GFSDK_GodraysLib.x64.dll      0x7FFB72210000
MSVCP110.dll                  0x7FFB76220000
ondemandconnroutehelper.dll   0x7FFB79250000
achievements.dll              0x7FFB79CD0000
f4se_steam_loader.dll         0x7FFB7ABF0000
DWrite.dll                    0x7FFB7E800000
XInput1_4.dll                 0x7FFB80A20000
Windows.UI.dll                0x7FFB811A0000
AUDIOSES.DLL                  0x7FFB81310000
OneCoreCommonProxyStub.dll    0x7FFB81BD0000
WININET.dll                   0x7FFB84B40000
Secur32.dll                   0x7FFB852A0000
COMCTL32.dll                  0x7FFB8B5D0000
cryptnet.dll                  0x7FFB8D6B0000
MpOav.dll                     0x7FFB8D8E0000
amsi.dll                      0x7FFB8D960000
ncryptsslp.dll                0x7FFB8DE10000
wbemsvc.dll                   0x7FFB8F740000
fastprox.dll                  0x7FFB8FAB0000
mskeyprotect.dll              0x7FFB905F0000
MSVCP140_ATOMIC_WAIT.dll      0x7FFB90730000
wbemprox.dll                  0x7FFB907D0000
textinputframework.dll        0x7FFB91970000
iertutil.dll                  0x7FFB92500000
flexExtRelease_x64.dll        0x7FFB927D0000
bink2w64.dll                  0x7FFB92830000
inputhost.dll                 0x7FFB92910000
urlmon.dll                    0x7FFB93140000
wbemcomn.dll                  0x7FFB93660000
webio.dll                     0x7FFB93740000
srvcli.dll                    0x7FFB937E0000
winmmbase.dll                 0x7FFB93830000
DSOUND.DLL                    0x7FFB93F20000
MSVCP140.dll                  0x7FFB940C0000
VCRUNTIME140_1.dll            0x7FFB94B30000
VCRUNTIME140.dll              0x7FFB94B40000
amdihk64.dll                  0x7FFB963F0000
atidxx64.dll                  0x7FFB96660000
amdxx64.dll                   0x7FFB98720000
WINMM.dll                     0x7FFB9BE80000
aticfx64.dll                  0x7FFB9BEB0000
dxcore.dll                    0x7FFB9C0F0000
fwpuclnt.dll                  0x7FFB9C310000
OneCoreUAPCommonProxyStub.dll 0x7FFB9C390000
MMDevApi.dll                  0x7FFB9D6F0000
rasadhlp.dll                  0x7FFB9DC70000
VERSION.dll                   0x7FFB9DEF0000
WINHTTP.dll                   0x7FFB9DF90000
twinapi.appcore.dll           0x7FFB9E510000
dhcpcsvc.DLL                  0x7FFB9E710000
dhcpcsvc6.DLL                 0x7FFB9E730000
WINNSI.DLL                    0x7FFB9E750000
WindowManagementAPI.dll       0x7FFB9E760000
dbghelp.dll                   0x7FFB9E870000
avrt.dll                      0x7FFB9F5D0000
xinput9_1_0.dll               0x7FFBA0AA0000
nvToolsExt64_1.dll            0x7FFBA0B00000
PROPSYS.dll                   0x7FFBA0B40000
d3d11.dll                     0x7FFBA0CC0000
d2d1.dll                      0x7FFBA1390000
wintypes.dll                  0x7FFBA1950000
dcomp.dll                     0x7FFBA1C10000
CoreUIComponents.dll          0x7FFBA21B0000
CoreMessaging.dll             0x7FFBA2510000
apphelp.dll                   0x7FFBA2890000
uxtheme.dll                   0x7FFBA29C0000
resourcepolicyclient.dll      0x7FFBA2A80000
dwmapi.dll                    0x7FFBA2D80000
kernel.appcore.dll            0x7FFBA2DB0000
windows.storage.dll           0x7FFBA3090000
HID.DLL                       0x7FFBA3830000
dxgi.dll                      0x7FFBA3870000
schannel.DLL                  0x7FFBA3ED0000
rsaenh.dll                    0x7FFBA3FB0000
ntmarta.dll                   0x7FFBA40D0000
IPHLPAPI.DLL                  0x7FFBA4380000
DNSAPI.dll                    0x7FFBA43C0000
netutils.dll                  0x7FFBA4490000
MSWSOCK.dll                   0x7FFBA4690000
CRYPTBASE.DLL                 0x7FFBA4880000
CRYPTSP.dll                   0x7FFBA4890000
Wldp.dll                      0x7FFBA4930000
NTASN1.dll                    0x7FFBA4960000
ncrypt.dll                    0x7FFBA49A0000
MSASN1.dll                    0x7FFBA4AC0000
DEVOBJ.dll                    0x7FFBA4CF0000
DPAPI.DLL                     0x7FFBA4D40000
UMPDC.dll                     0x7FFBA4D50000
powrprof.dll                  0x7FFBA4D70000
SSPICLI.DLL                   0x7FFBA4E70000
USERENV.dll                   0x7FFBA4EB0000
profapi.dll                   0x7FFBA4EF0000
