[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     ArmorKeywords.esm
[0A]     HUDFramework.esm
[0B]     XDI.esm
[0C]     MutantMenagerie.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     CWPointLookoutFO4.esm
[0F]     MutantMenagerie_NukaWorld.esm
[10]     TacticalReload.esm
[11]     TrueStormsFO4.esm
[12]     ConcealedArmor.esm
[13]     ALR - All DLC.esp
[14]     Winter Redone.esp
[15]     Hunkered Down.esp
[16]     Boston_Police_Department.esp
[17]     fo3friedghouls.esp
[18]     CriticalHitsOutsideofVATS.esp
[19]     BetterNightVision.esp
[1A]     DCRE.esp
[1B]     Dynamic Music Overhaul.esp
[1C]     Scopes.esp
[1D]     SettlementLimitSlashedFarHarbor.esp
[1E]     FG_ReloadSounds.esp
[1F]     WelcometoGoodneighbor.esp
[20]     3DNPC_FO4.esp
[21]     RED.esp
[22]     subwayrunnnerdynamiclighting.esp
[23]     OutcastsAndRemnants.esp
[24]     CombatZoneRestored.esp
[25]     FrozenLakesandIce.esp
[26]     Vault4.esp
[27]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[28]     CombinedArmsNV.esp
[29]     CombinedArmsEXPack.esp
[2A]     W.A.T.Minutemen.esp
[2B]     Simple Artillery Strikes.esp
[2C]     Configurable Artillery.esp
[2D]     FHLeveledListIntegration.esp
[2E]     1FOM_FireAxe.esp
[2F]     GCM.esp
[30]     PushAwayCompanions.esp
[31]     ImiUzi.esp
[32]     Insignificant Object Remover.esp
[33]     InstitWeapPosit.esp
[34]     Pig1887Munitions.esp
[35]     ManufacturingExtendedFH.esp
[36]     DLC items to manufacturing.esp
[37]     ManufacturingExtended.esp
[38]     keke-bu All-in-one Pack_1.1.7.esp
[39]     LegendaryModification.esp
[3A]     LegendaryModification2LM.esp
[3B]     LegendaryModification2LMConcealed.esp
[3C]     Mossberg500.esp
[3D]     ECPValueAdjust.esp
[3E]     MutantMenagerie_Scripts.esp
[3F]     NPC Accuracy Revised.esp
[40]     More Where That Came From Diamond City.esp
[41]     AKSounds.esp
[42]     Pip-Boy Flashlight.esp
[43]     PA-Quick Animations.esp
[44]     RealNameSettlers.esp
[45]     Fixed Trading Prices.esp
[46]     RightHandedHuntingRifle.esp
[47]     RussianAssaultPack.esp
[48]     3dscopes-replacer.esp
[49]     GenericRadium.esp
[4A]     1CAS_ServiceRifle.esp
[4B]     MGRemesh.esp
[4C]     WestTek.esp
[4D]     Weapon Rack Extended.esp
[4E]     WestTekTacticalOptics.esp
[4F]     MG42.esp
[50]     ReconPack.esp
[51]     155mm Howitzer M1.esp
[52]     CBBE.esp
[53]     ConcealedArmor.esp
[54]     Crossbow.esp
[55]     M60.esp
[56]     GrenadeLauncherStandalone.esp
[57]     9mmPistol.esp
[58]     MaxwellsWorl.esp
[59]     Vivid Weathers - FO4.esp
[5A]     Vivid Waters.esp
[5B]     Hunkered Down-Settlements.esp
[5C]     SKS.esp
[5D]     MilitarizedMinutemen.esp
[5E]     M2_Flamethrower_2.2.esp
[5F]     CSEPBountyMod.esp
[60]     Vivid Weathers - No snow under the roof-Patch.esp
[61]     Radiant Clouds and Fogs.esp
[62]     TrueStormsFO4-FarHarbor.esp
[63]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[64]     DarkerNights.esp
[65]     WeatherSynergy-VividPriority-N-ES.esp
[66]     DarkerNights-Radiant.esp
[67]     DarkerNightsDetection.esp
[68]     Vivid Weathers - FO4 - Summer.esp
[69]     Vivid Weathers - FO4 - Winter.esp
[6A]     TrueStormsFO4-EarlierSunsets.esp
[6B]     Vivid Weathers - FO4 - Far Harbor.esp
[6C]     WeatherSynergy-FarHarbor-ES.esp
[6D]     TrueStormsFO4-EarlierSunsetsFH.esp
[6E]     Vivid Weathers - Natural Bright.esp
[6F]     Vivid Weathers - Nuka World.esp
[70]     WeatherSynergy-NukaWorld-FH-Compact.esp
[71]     ChinaLakeandHolorifle.esp
[72]     F4NVLaserPistol.esp
[73]     FO4 NPCs Travel.esp
[74]     LeeEnfieldNo4MkI.esp
[75]     DT_MercOutfitPack.esp
[76]     ThatsMercLife.esp
[77]     FN-FAL.esp
[78]     HuntingShotgun.esp
[79]     Welrod.esp
[7A]     HaxRPG7.esp
[7B]     9x39Project.esp
[7C]     GenericDeliverer.esp
[7D]     Sporty Underwear.esp
[7E]     American180nv.esp
[7F]     GreaseGunSMG.esp
[80]     Revolver - Pipe revolver replacer.esp
[81]     Project Reality Footsteps FO4.esp
[82]     MoreRust-softcolors.esp
[83]     DT_WinterGunnerOutfits.esp
[84]     GIAT_FAMAS.esp
[85]     Famas_Addon.esp
[86]     ODT - GIAT FAMAS Skin Pack Vol. 1.esp
[87]     HK_MP5.esp
[88]     HRP_Mk23.esp
[89]     M1A.esp
[8A]     Nexus_PMC.esp
[8B]     45autoPistol.esp
[8C]     HMARFullStock.esp
[8D]     10mm.esp
[8E]     CombatRifleOverhaul.esp
[8F]     Colt6520.esp
[90]     AX50.esp
[91]     SniperDamage v1.5x.esp
[92]     Glock17.esp
[93]     T6MM72Law.esp
[94]     CazadorML.esp
[95]     F4CW10mmSMG.esp
[96]     Remington700.esp
[97]     QBZ191.esp
[98]     HK_UMP.esp
[99]     Chiappa Rhino.esp
[9A]     saya_mateba.esp
[9B]     FG-42.esp
[9C]     StartMeUp.esp
[9D]     RED-StartMeUp.esp
