[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     WorkshopFramework.esm
[0C]     Homemaker.esm
[0D]     CleanMySettlement.esm
[0E]     ProjectMojave.esm
[0F]     ConcealedArmor.esm
[10]     Fallout 4 Fixes.esm
[11]     AnubisRace.esp
[12]     VotWMaster.esm
[13]     SettlementMenuManager.esp
[14]     WorkshopPlus.esp
[15]     ImmersiveVendors.esp
[16]     FatherCompanion.esp
[17]     MTM-No Build Limit-AllDLC.esp
[18]     MTM-Vault88-RLRST.esp
[19]     AkaSinger.esp
[1A]     AkaSingersWardrobe.esp
[1B]     Crimsomrider's Unique Furniture.esp
[1C]     Thematic and Practical.esp
[1D]     Siles - ModernMagazineShelf - All in One.esp
[1E]     EvilViking13_MinutemenMorale.esp
[1F]     aes_rendeco.esp
[20]     xA_Vault88Extras.esp
[21]     Cozy Beds.esp
[22]     BalconySupports.esp
[23]     Conduits and Pylons Various Wireless Power.esp
[24]     Phase4DLC.esp
[25]     nuka_world_settlements.esp
[26]     Build High - Expanded Settlements.esp
[27]     MoreVaultSigns.esp
[28]     Vault-Tec Workshop Overhaul.esp
[29]     VltElevatorDLC.esp
[2A]     woodysWastelandStuff.esp
[2B]     AkaInvisibleFurniture.esp
[2C]     AS_CraftableInstituteStations.esp
[2D]     SettleObjExpandPack.esp
[2E]     Eli_Crafting Shiz 9000.esp
[2F]     WM_RecChair.esp
[30]     Homemaker - Unlocked Institute Objects.esp
[31]     MIA.esp
[32]     BoS Medic Battle Suit.esp
[33]     CyberPunk Suit by NewerMind43.esp
[34]     rpampas.esp
[35]     TERARogue.esp
[36]     rfortaleza2.esp
[37]     CompanionStatus.esp
[38]     KSHairdos_oel.esp
[39]     HiPolyFaces.esp
[3A]     CBBE.esp
[3B]     ESPExplorerFO4.esp
[3C]     DX Courser X-92 Power Suit.esp
[3D]     Ada2Human.esp
[3E]     Armorsmith Extended.esp
[3F]     OutcastsAndRemnants.esp
[40]     Dalek.esp
[41]     Cyberman.esp
[42]     AE Animated Jetpacks.esp
[43]     CombatZoneRestored.esp
[44]     TrainBar.esp
[45]     Eli_Armour_Compendium.esp
[46]     BetterSettlers.esp
[47]     BetterSettlersCleanFacePack.esp
[48]     Lots More Male Hairstyles.esp
[49]     Lots More Female Hairstyles.esp
[4A]     AWKCR - Mod Power Armor Engine Glitch Fix.esp
[4B]     BetterSettlersMostlyFemale.esp
[4C]     BetterSettlersNoLollygagging.esp
[4D]     Black Widow Suit.esp
[4E]     BrighterSettlementLights_ExtraBrightv1.1.esp
[4F]     CleanSettlement.esp
[50]     ConcealedArmor.esp
[51]     TurretStands.esp
[52]     1nivDX Courser X-92 Power Suit Male.esp
[53]     Crimsomrider's Immersive Market.esp
[54]     Cyberpunk 2077 G-58 Dian.esp
[55]     DnxTattoos.esp
[56]     KSHairdos.esp
[57]     ExtendedHairColors.esp
[58]     FunctionalDisplays.esp
[59]     FunctionalDisplays-Collectibles.esp
[5A]     FunctionalDisplays-MISC-VIS-Weightless.esp
[5B]     FunctionalDisplays-Patch-DLC-ALL-VIS-Weightless.esp
[5C]     AA FusionCityRising.esp
[5D]     VendorItemSteal.esp
[5E]     AmazingFollowerTweaks.esp
[5F]     WastelandEnergyShields.esp
[60]     CheatTerminal.esp
[61]     VotWStarlightDriveIn.esp
[62]     VotWCells.esp
[63]     FWR.esp
[64]     MisriahArmory.esp
[65]     ProjectValkyrie.esp
[66]     EFF.esp
[67]     Elizabeth_Companion.esp
[68]     DualSurvivors.esp
[69]     Workshop Terminals.esp
[6A]     Courser Ghost-Spectre X-92 Armor Mashup.esp
[6B]     AR_DLC01.esp
[6C]     MakeYourOwnSynths.esp
[6D]     Wolverine Project X.esp
[6E]     llamaCompanionHeatherv2.esp
[6F]     CGSX92AM AWKCR Patch (ESP).esp
[70]     Playable Synth Eyes.esp
[71]     HN66Fo4_EarringsV1.esp
[72]     SCAR-L.esp
[73]     Housekeeping.esp
[74]     Invisible_Guard_Marker.esp
[75]     K9TacticalHarness.esp
[76]     LongerPowerLines3x.esp
[77]     LooksMenu.esp
[78]     LooksMirror.esp
[79]     LooksMenu Customization Compendium.esp
[7A]     The Eyes Of Beauty.esp
[7B]     Wasteland Heroines Replacer All in One_2.0.esp
[7C]     LovingCurie_1.0.3b.esp
[7D]     NanoSuit.esp
[7E]     NanoSuit_AWKCR_AE.esp
[7F]     Nuka World Bot Fixes.esp
[80]     OCDecorator.esp
[81]     OCDecoratorDLC.esp
[82]     OCDispenser.esp
[83]     Perraine_outfits.esp
[84]     AzarPonytailHairstyles.esp
[85]     LovingCait.esp
[86]     PlatinumCurieV2.1.esp
[87]     PortableCloningDevice.esp
[88]     Quieter Settlements - Contraptions.esp
[89]     Quieter Settlements - Vanilla.esp
[8A]     Quieter Settlements - Wasteland Workshop.esp
[8B]     mso_sms.esp
[8C]     SkipHSH1_6.esp
[8D]     SleekStylesPack.esp
[8E]     SnapBeds.esp
[8F]     Stackable Brick Wall Foundations.esp
[90]     M2216.esp
[91]     TransferSettlements.esp
[92]     TFRangerGear.esp
[93]     VtawMiranda.esp
[94]     BetterCompanions.esp
[95]     WES-AE.esp
[96]     WES-VIS.esp
[97]     VtawWardrobe1.esp
[98]     VtawWardrobe2.esp
[99]     WindowBoards.esp
[9A]     You Talk Too Much.esp
[9B]     dinomore.esp
