XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x0000675D0000
steam_api64.dll             0x0000675E0000
Fallout4.exe                0x7FF7835B0000
ClassicHolsteredWeapons.dll 0x7FF8000E0000
XDI.dll                     0x7FF800940000
HighFPSPhysicsFix.dll       0x7FF8009E0000
vstdlib_s64.dll             0x7FF800BF0000
DSOUND.DLL                  0x7FF800CB0000
usvfs_x64.dll               0x7FF806D90000
BulletCountedReload.dll     0x7FF806F40000
flexRelease_x64.dll         0x7FF806FD0000
BetterConsole.dll           0x7FF807A10000
MSVCR110.dll                0x7FF808580000
MSVCP110.dll                0x7FF808660000
PipboyTabs.dll              0x7FF808950000
GFSDK_SSAO_D3D11.win64.dll  0x7FF808A10000
bink2w64.dll                0x7FF809160000
crafting_highlight_fix.dll  0x7FF80C240000
uiautomationcore.dll        0x7FF80E080000
MSVCP140_ATOMIC_WAIT.dll    0x7FF818EC0000
cudart64_75.dll             0x7FF8191C0000
mskeyprotect.dll            0x7FF81BC10000
ncryptsslp.dll              0x7FF81BDD0000
f4se_steam_loader.dll       0x7FF81BF40000
WeaponDebrisCrashFix.dll    0x7FF81C060000
GFSDK_GodraysLib.x64.dll    0x7FF81CEB0000
SprintStutteringFix.dll     0x7FF81CF70000
flexExtRelease_x64.dll      0x7FF81CFD0000
SilentProtagonistF4SE.dll   0x7FF81D050000
nvToolsExt64_1.dll          0x7FF81DF50000
VCRUNTIME140_1.dll          0x7FF81DFC0000
MessageBus.dll              0x7FF826200000
winmmbase.dll               0x7FF8273C0000
Secur32.dll                 0x7FF827CB0000
fwpuclnt.dll                0x7FF829CE0000
rasadhlp.dll                0x7FF82A260000
webio.dll                   0x7FF82A8E0000
MSVCP140.dll                0x7FF82E4B0000
AUDIOSES.DLL                0x7FF82F8A0000
nvwgf2umx.dll               0x7FF8300A0000
wbemsvc.dll                 0x7FF835FF0000
fastprox.dll                0x7FF836010000
Windows.UI.dll              0x7FF8371F0000
WINSPOOL.DRV                0x7FF83A000000
COMCTL32.dll                0x7FF83A0A0000
textinputframework.dll      0x7FF83A9E0000
InputHost.dll               0x7FF83ABF0000
WINMM.dll                   0x7FF83AD50000
OLEACC.dll                  0x7FF83B5E0000
VCRUNTIME140.dll            0x7FF83B790000
MpOav.dll                   0x7FF83B9F0000
amsi.dll                    0x7FF83BA70000
wbemcomn.dll                0x7FF83BA90000
wbemprox.dll                0x7FF83BB20000
nvapi64.dll                 0x7FF83BDC0000
nvldumdx.dll                0x7FF83CA00000
dxcore.dll                  0x7FF83CD70000
MMDevApi.dll                0x7FF83E2F0000
WINHTTP.dll                 0x7FF83E4F0000
dhcpcsvc6.DLL               0x7FF83E940000
drvstore.dll                0x7FF83EB80000
dhcpcsvc.DLL                0x7FF83EF70000
cryptnet.dll                0x7FF83EF90000
VERSION.dll                 0x7FF83EFD0000
twinapi.appcore.dll         0x7FF83EFE0000
WindowManagementAPI.dll     0x7FF83F1E0000
WINNSI.DLL                  0x7FF83F290000
avrt.dll                    0x7FF83F670000
d3d11.dll                   0x7FF8408B0000
MSIMG32.dll                 0x7FF8410B0000
dcomp.dll                   0x7FF841170000
CoreUIComponents.dll        0x7FF8416E0000
CoreMessaging.dll           0x7FF841A40000
wintypes.dll                0x7FF841D00000
PROPSYS.dll                 0x7FF842430000
UxTheme.dll                 0x7FF8427A0000
resourcepolicyclient.dll    0x7FF842920000
dwmapi.dll                  0x7FF842A20000
windows.storage.dll         0x7FF842EF0000
DbgHelp.dll                 0x7FF843750000
HID.DLL                     0x7FF843A90000
kernel.appcore.dll          0x7FF843B10000
dxgi.dll                    0x7FF843B30000
