XINPUT1_3.dll                    0x000000400000
steam_api64.dll                  0x000074300000
X3DAudio1_7.dll                  0x000074340000
BakaScrapHeap.dll                0x01FF3D4B0000
Fallout4.exe                     0x7FF7C0CF0000
nvcuda64.dll                     0x7FFB0BB50000
gameoverlayrenderer64.dll        0x7FFB21AB0000
wsfw_identifier.dll              0x7FFB21C40000
PowerGridTools.dll               0x7FFB21D40000
place.dll                        0x7FFB21DB0000
NVIDIA_Reflex.dll                0x7FFB21E30000
mcm.dll                          0x7FFB21F00000
steamclient64.dll                0x7FFB21FA0000
GFSDK_GodraysLib.x64.dll         0x7FFB23560000
IPHLPAPI.DLL                     0x7FFB235C0000
GFSDK_SSAO_D3D11.win64.dll       0x7FFB258E0000
flexRelease_x64.dll              0x7FFB25970000
MSVCR110.dll                     0x7FFB25AC0000
MSVCP110.dll                     0x7FFB25BA0000
HighFPSPhysicsFix.dll            0x7FFB26570000
Buffout4.dll                     0x7FFB26600000
f4se_1_10_163.dll                0x7FFB269F0000
vstdlib_s64.dll                  0x7FFB26AD0000
f4se_steam_loader.dll            0x7FFB2CA70000
cudart64_75.dll                  0x7FFB2CAF0000
flexExtRelease_x64.dll           0x7FFB2D040000
bink2w64.dll                     0x7FFB2E510000
SSW.dll                          0x7FFB2EA00000
FloatingDamage.dll               0x7FFB2FDF0000
F4z Ro D'oh.dll                  0x7FFB333C0000
ResampleDmo.DLL                  0x7FFB34540000
DSOUND.DLL                       0x7FFB34600000
hudextension.dll                 0x7FFB34750000
PhysXDevice64.dll                0x7FFB35100000
nvcuda.dll                       0x7FFB35540000
PriorityMod.dll                  0x7FFB35A30000
XAudio2_7.dll                    0x7FFB37240000
nvwgf2umx.dll                    0x7FFB592E0000
nvspcap64.dll                    0x7FFB63E70000
nvToolsExt64_1.dll               0x7FFB64DF0000
aswhook.dll                      0x7FFB7AE00000
nvldumdx.dll                     0x7FFB7B480000
WeaponDebrisCrashFix.dll         0x7FFB7DF60000
faster_workshop.dll              0x7FFB89670000
tier0_s64.dll                    0x7FFB896D0000
textinputframework.dll           0x7FFB8ABE0000
Windows.UI.dll                   0x7FFB8AEF0000
encounter_zone_recalculation.dll 0x7FFB92B50000
MSVCP140_ATOMIC_WAIT.dll         0x7FFB98CD0000
MSVCP140.dll                     0x7FFBA32D0000
usvfs_x64.dll                    0x7FFBA3DF0000
webio.dll                        0x7FFBA7660000
msdmo.dll                        0x7FFBA8960000
OneCoreCommonProxyStub.dll       0x7FFBA9860000
AUDIOSES.DLL                     0x7FFBAA8B0000
winmmbase.dll                    0x7FFBAB470000
ncryptsslp.dll                   0x7FFBABC60000
Secur32.dll                      0x7FFBABC90000
MessageBus.dll                   0x7FFBAC7E0000
Oleacc.dll                       0x7FFBACFF0000
WINSPOOL.DRV                     0x7FFBAD060000
COMCTL32.dll                     0x7FFBAD100000
aswAMSI.dll                      0x7FFBAF990000
amsi.dll                         0x7FFBAFC00000
wbemsvc.dll                      0x7FFBAFF40000
MMDevApi.dll                     0x7FFBAFF60000
fastprox.dll                     0x7FFBB01F0000
wbemcomn.dll                     0x7FFBB0860000
nvapi64.dll                      0x7FFBB08E0000
VCRUNTIME140.dll                 0x7FFBB1DC0000
igc64.dll                        0x7FFBB28C0000
igdgmm64.dll                     0x7FFBB5ED0000
VCRUNTIME140_1.dll               0x7FFBB62B0000
IntelControlLib.dll              0x7FFBB6320000
ControlLib.dll                   0x7FFBB6430000
wbemprox.dll                     0x7FFBB6870000
igd10um64xe.DLL                  0x7FFBB6980000
igd10iumd64.dll                  0x7FFBB7AB0000
drvstore.dll                     0x7FFBB7FA0000
cryptnet.dll                     0x7FFBB8150000
VERSION.dll                      0x7FFBB8190000
OneCoreUAPCommonProxyStub.dll    0x7FFBB87C0000
rasadhlp.dll                     0x7FFBB9440000
WINMM.dll                        0x7FFBB9450000
fwpuclnt.dll                     0x7FFBB94A0000
CoreUIComponents.dll             0x7FFBBA910000
avrt.dll                         0x7FFBBB110000
directxdatabasehelper.dll        0x7FFBBB530000
dhcpcsvc.DLL                     0x7FFBBB660000
dhcpcsvc6.DLL                    0x7FFBBB680000
WINHTTP.dll                      0x7FFBBBB40000
d3d11.dll                        0x7FFBBD270000
dcomp.dll                        0x7FFBBD5F0000
CoreMessaging.dll                0x7FFBBDD00000
MSIMG32.dll                      0x7FFBBE3B0000
apphelp.dll                      0x7FFBBE3D0000
UxTheme.dll                      0x7FFBBE4F0000
dxgi.dll                         0x7FFBBE670000
dwmapi.dll                       0x7FFBBE780000
WINNSI.DLL                       0x7FFBC2140000
dxcore.dll                       0x7FFBC2180000
resourcepolicyclient.dll         0x7FFBC23E0000
DbgHelp.dll                      0x7FFBC29B0000
wintypes.dll                     0x7FFBC2EB0000
windows.storage.dll              0x7FFBC2FF0000
HID.DLL                          0x7FFBC38C0000
IpHlpAPI.dll                     0x7FFBC3B80000
DNSAPI.dll                       0x7FFBC3BF0000
UMPDC.dll                        0x7FFBC3EC0000
powrprof.dll                     0x7FFBC3EE0000
schannel.DLL                     0x7FFBC3F80000
rsaenh.dll                       0x7FFBC4080000
kernel.appcore.dll               0x7FFBC4110000
ntmarta.dll                      0x7FFBC4130000
SSPICLI.DLL                      0x7FFBC4360000
MSWSOCK.dll                      0x7FFBC4580000
USERENV.dll                      0x7FFBC4680000
CRYPTSP.dll                      0x7FFBC47E0000
CRYPTBASE.DLL                    0x7FFBC4800000
wldp.dll                         0x7FFBC4890000
NTASN1.dll                       0x7FFBC4910000
ncrypt.dll                       0x7FFBC4950000
bcrypt.dll                       0x7FFBC4980000
devobj.dll                       0x7FFBC4C90000
cfgmgr32.dll                     0x7FFBC4CC0000
DPAPI.DLL                        0x7FFBC4D10000
msasn1.dll                       0x7FFBC4D20000
profapi.dll                      0x7FFBC4F00000
win32u.dll                       0x7FFBC4FD0000
KERNELBASE.dll                   0x7FFBC5000000
WINTRUST.DLL                     0x7FFBC53A0000
msvcp_win.dll                    0x7FFBC5410000
bcryptPrimitives.dll             0x7FFBC54B0000
ucrtbase.dll                     0x7FFBC55F0000
CRYPT32.dll                      0x7FFBC5710000
gdi32full.dll                    0x7FFBC5880000
msvcrt.dll                       0x7FFBC5A20000
PSAPI.DLL                        0x7FFBC5AD0000
