XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000071720000
steam_api64.dll                  0x000071730000
NSI.dll                          0x022495FF0000
Fallout4.exe                     0x7FF7AC0C0000
DSOUND.DLL                       0x7FFE55BD0000
nvwgf2umx.dll                    0x7FFE60E60000
nvldumdx.dll                     0x7FFE644F0000
nvcuda64.dll                     0x7FFE9AE20000
nvcuda.dll                       0x7FFEA1BC0000
PhysXDevice64.dll                0x7FFEA2DC0000
XAudio2_7.dll                    0x7FFEA3000000
gameoverlayrenderer64.dll        0x7FFEA3F80000
XDI.dll                          0x7FFEA4110000
wsfw_identifier.dll              0x7FFEA4180000
WhoseQuestIsItAnywayF4.dll       0x7FFEA4280000
UnlimitedSurvivalMode.dll        0x7FFEA42E0000
ShadowBoostFO4.dll               0x7FFEA4330000
place.dll                        0x7FFEA4400000
mcm.dll                          0x7FFEA4480000
steamclient64.dll                0x7FFEA4520000
SprintSpeedController.dll        0x7FFEA5B30000
PowerGridTools.dll               0x7FFEA6E30000
HighFPSPhysicsFix.dll            0x7FFEA6EA0000
FavoritesMenuEx.dll              0x7FFEA6F30000
f4ee.dll                         0x7FFEA75C0000
Buffout4.dll                     0x7FFEA76D0000
tier0_s64.dll                    0x7FFEA79F0000
flexRelease_x64.dll              0x7FFEA7B90000
BulletCountedReload.dll          0x7FFEA9830000
cbp.dll                          0x7FFEAA410000
ReloadFix.dll                    0x7FFEAAAE0000
f4se_1_10_163.dll                0x7FFEAB390000
vstdlib_s64.dll                  0x7FFEABDA0000
MSVCP140.dll                     0x7FFEB31C0000
CCExtenderF4.dll                 0x7FFEB4E60000
GCBugFix.dll                     0x7FFEB5210000
MSVCR110.dll                     0x7FFEB56F0000
GFSDK_SSAO_D3D11.win64.dll       0x7FFEB5940000
crafting_highlight_fix.dll       0x7FFEB5B30000
MSVCP110.dll                     0x7FFEB5B80000
bink2w64.dll                     0x7FFEB5CE0000
BetterPowerArmorRedux.dll        0x7FFEB5DF0000
BetterConsole.dll                0x7FFEB6020000
encounter_zone_recalculation.dll 0x7FFEB6DD0000
f4se_steam_loader.dll            0x7FFEB6E00000
