XINPUT1_3.dll                0x000000400000
X3DAudio1_7.dll              0x000052B60000
steam_api64.dll              0x000052B70000
Fallout4.exe                 0x7FF6F48F0000
XAudio2_7.dll                0x7FF8298D0000
gameoverlayrenderer64.dll    0x7FF829960000
XDI.dll                      0x7FF829AF0000
transfer_settlements.dll     0x7FF829B60000
terminal+.dll                0x7FF829E30000
SUP_F4SE.dll                 0x7FF829F80000
Buffout4.dll                 0x7FF82A200000
steamclient64.dll            0x7FF82A520000
IPHLPAPI.DLL                 0x7FF82BAE0000
WhoseQuestIsItAnywayF4.dll   0x7FF82D540000
UneducatedShooter.dll        0x7FF82D5A0000
SprintSpeedController.dll    0x7FF82D600000
ShieldFramework.dll          0x7FF82D650000
ShadowBoostFO4.dll           0x7FF82D6D0000
place.dll                    0x7FF82D7A0000
RustyFaceFix.dll             0x7FF8415E0000
PrivateProfileRedirector.dll 0x7FF841990000
NVIDIA_Reflex.dll            0x7FF8419F0000
MGEFConditionFix.dll         0x7FF841AC0000
mcm.dll                      0x7FF841B10000
MeleeAndThrow.dll            0x7FF8441B0000
HighFPSPhysicsFix.dll        0x7FF844200000
FavoritesMenuEx.dll          0x7FF8445D0000
f4ee.dll                     0x7FF844650000
Discord_Presence_F4SE.dll    0x7FF844760000
GCBugFix.dll                 0x7FF844BD0000
CCExtenderF4.dll             0x7FF844C30000
BakaFramework.dll            0x7FF844CA0000
f4se_1_10_163.dll            0x7FF846DE0000
crafting_highlight_fix.dll   0x7FF84E390000
BetterConsole.dll            0x7FF84E3E0000
vstdlib_s64.dll              0x7FF84E450000
tier0_s64.dll                0x7FF84E510000
cudart64_75.dll              0x7FF84E6B0000
flexRelease_x64.dll          0x7FF84F0B0000
ConsoleUtilF4.dll            0x7FF87E070000
GFSDK_GodraysLib.x64.dll     0x7FF87E0C0000
GFSDK_SSAO_D3D11.win64.dll   0x7FF87E670000
MSVCR110.dll                 0x7FF87ED00000
MSVCP110.dll                 0x7FF87EEE0000
DSOUND.DLL                   0x7FF8B2280000
nvspcap64.dll                0x7FF8B4230000
bink2w64.dll                 0x7FF8C2B20000
f4se_steam_loader.dll        0x7FF915AF0000
WeaponDebrisCrashFix.dll     0x7FF918690000
SprintStutteringFix.dll      0x7FF918AA0000
winmmbase.dll                0x7FF924B50000
xinput1_4.dll                0x7FF92B610000
AUDIOSES.DLL                 0x7FF92CB90000
mskeyprotect.dll             0x7FF933C90000
ncryptsslp.dll               0x7FF933CE0000
WININET.dll                  0x7FF938E80000
usvfs_x64.dll                0x7FF93BF60000
Secur32.dll                  0x7FF945AC0000
inputhost.dll                0x7FF948320000
textinputframework.dll       0x7FF948480000
Windows.UI.dll               0x7FF948820000
MSVCP140.dll                 0x7FF9491C0000
nvwgf2umx.dll                0x7FF949610000
wbemsvc.dll                  0x7FF94EEE0000
fwpuclnt.dll                 0x7FF94EF00000
fastprox.dll                 0x7FF94F1B0000
wbemcomn.dll                 0x7FF94F9D0000
VCRUNTIME140_1.dll           0x7FF94FD20000
VCRUNTIME140.dll             0x7FF94FD30000
webio.dll                    0x7FF9506E0000
MpOav.dll                    0x7FF9522E0000
amsi.dll                     0x7FF952360000
MessageBus.dll               0x7FF952C10000
OLEACC.dll                   0x7FF953420000
WINSPOOL.DRV                 0x7FF953490000
COMCTL32.dll                 0x7FF953530000
gdiplus.dll                  0x7FF9537D0000
DbgHelp.dll                  0x7FF953A10000
WINMM.dll                    0x7FF954350000
nvapi64.dll                  0x7FF954EF0000
nvldumdx.dll                 0x7FF9559C0000
dxcore.dll                   0x7FF955D30000
deviceaccess.dll             0x7FF955D70000
MMDevApi.dll                 0x7FF9571E0000
rasadhlp.dll                 0x7FF9575B0000
wbemprox.dll                 0x7FF9575F0000
MSIMG32.dll                  0x7FF957610000
WINHTTP.dll                  0x7FF958080000
drvstore.dll                 0x7FF958190000
cryptnet.dll                 0x7FF9583E0000
VERSION.dll                  0x7FF958440000
WindowManagementAPI.dll      0x7FF9586B0000
dhcpcsvc.DLL                 0x7FF959420000
dhcpcsvc6.DLL                0x7FF959440000
WINNSI.DLL                   0x7FF959460000
MSVCP140_ATOMIC_WAIT.dll     0x7FF9595D0000
flexExtRelease_x64.dll       0x7FF959730000
avrt.dll                     0x7FF959880000
twinapi.appcore.dll          0x7FF959DB0000
D3DCOMPILER_47.dll           0x7FF95B380000
d3d11.dll                    0x7FF95B7E0000
PROPSYS.dll                  0x7FF95BBD0000
wintypes.dll                 0x7FF95C6A0000
DComp.dll                    0x7FF95C810000
CoreUIComponents.dll         0x7FF95CDA0000
nvToolsExt64_1.dll           0x7FF95D220000
CoreMessaging.dll            0x7FF95D250000
UxTheme.dll                  0x7FF95D6A0000
resourcepolicyclient.dll     0x7FF95D810000
DWMAPI.dll                   0x7FF95DA30000
kernel.appcore.dll           0x7FF95DC10000
windows.storage.dll          0x7FF95DE10000
HID.DLL                      0x7FF95E5B0000
dxgi.dll                     0x7FF95E5F0000
schannel.DLL                 0x7FF95ECC0000
rsaenh.dll                   0x7FF95EDA0000
ntmarta.dll                  0x7FF95EEC0000
UMPDC.dll                    0x7FF95F170000
IpHlpAPI.dll                 0x7FF95F190000
DNSAPI.dll                   0x7FF95F1E0000
powrprof.dll                 0x7FF95F2B0000
MSWSOCK.dll                  0x7FF95F4F0000
CRYPTBASE.DLL                0x7FF95F6E0000
CRYPTSP.dll                  0x7FF95F6F0000
Wldp.dll                     0x7FF95F790000
NTASN1.dll                   0x7FF95F7C0000
ncrypt.dll                   0x7FF95F800000
msasn1.dll                   0x7FF95F920000
devobj.dll                   0x7FF95FAE0000
DPAPI.DLL                    0x7FF95FB30000
SSPICLI.DLL                  0x7FF95FBF0000
USERENV.dll                  0x7FF95FC30000
profapi.dll                  0x7FF95FC70000
CRYPT32.dll                  0x7FF95FD30000
msvcp_win.dll                0x7FF95FE90000
win32u.dll                   0x7FF95FF30000
KERNELBASE.dll               0x7FF95FF60000
WINTRUST.DLL                 0x7FF960240000
bcrypt.dll                   0x7FF9602B0000
gdi32full.dll                0x7FF9602E0000
cfgmgr32.dll                 0x7FF9603F0000
ucrtbase.dll                 0x7FF960440000
bcryptPrimitives.dll         0x7FF960540000
IMM32.DLL                    0x7FF960680000
OLEAUT32.dll                 0x7FF9606B0000
USER32.dll                   0x7FF960780000
sechost.dll                  0x7FF960930000
msvcrt.dll                   0x7FF9609D0000
SHLWAPI.dll                  0x7FF960A70000
SETUPAPI.dll                 0x7FF960B30000
KERNEL32.DLL                 0x7FF961030000
imagehlp.dll                 0x7FF9610F0000
MSCTF.dll                    0x7FF961190000
WS2_32.dll                   0x7FF9612B0000
ADVAPI32.dll                 0x7FF961320000
PSAPI.DLL                    0x7FF9615E0000
COMDLG32.dll                 0x7FF9615F0000
ole32.dll                    0x7FF9616D0000
