XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005E170000
steam_api64.dll                    0x00005E180000
d3d11.dll                          0x000180000000
gpapi.dll                          0x01C9C6770000
Fallout4.exe                       0x7FF7761F0000
nvcuda64.dll                       0x7FFDE99B0000
_nvngx.dll                         0x7FFDEA350000
d3dcompiler_46e.dll                0x7FFDEA4F0000
gameoverlayrenderer64.dll          0x7FFDEA8B0000
libxess.dll                        0x7FFDEAA40000
dxcompiler.dll                     0x7FFDEB320000
nvngx_dlss.dll                     0x7FFDEC650000
steamclient64.dll                  0x7FFDEE970000
DSOUND.DLL                         0x7FFDF20A0000
XAudio2_7.dll                      0x7FFDF2E30000
XDI.dll                            0x7FFDF3490000
wsfw_identifier.dll                0x7FFDF3500000
WhoseQuestIsItAnywayF4.dll         0x7FFDF3600000
vertibird_jump.dll                 0x7FFDF3660000
ShadowBoostFO4.dll                 0x7FFDF36B0000
po3_SpellPerkItemDistributorF4.dll 0x7FFDF3780000
po3_BaseObjectSwapperF4.dll        0x7FFDF39D0000
RememberPickAngleUpdated.dll       0x7FFDF4090000
place.dll                          0x7FFDF4150000
mcm.dll                            0x7FFDF41D0000
HighFPSPhysicsFix.dll              0x7FFDF4270000
dxil.dll                           0x7FFDF4300000
ffx_fsr2_api_dx12_x64.dll          0x7FFDF4480000
Buffout4.dll                       0x7FFDF4760000
PowerGridTools.dll                 0x7FFDF4B50000
UnlimitedSurvivalMode.dll          0x7FFDF4EF0000
MGEFConditionFix.dll               0x7FFDF5300000
GCBugFix.dll                       0x7FFDF6A40000
PDPerfPlugin.dll                   0x7FFDF6B80000
Fallout4Upscaler.dll               0x7FFDF6BE0000
spdlog.dll                         0x7FFDF7DC0000
f4ee.dll                           0x7FFDF7E20000
D3DCOMPILER_43.dll                 0x7FFDF7F30000
IPHLPAPI.DLL                       0x7FFDF81A0000
usvfs_x64.dll                      0x7FFDF9490000
BakaFramework.dll                  0x7FFDF9640000
ClassicHolsteredWeapons.dll        0x7FFDF97A0000
BulletCountedReload.dll            0x7FFDF9A20000
BakaScrapHeap.dll                  0x7FFDF9B60000
f4se_1_10_163.dll                  0x7FFDFA0B0000
xinput1_4.dll                      0x7FFDFEF50000
DamageThreshold-PA.dll             0x7FFDFEF70000
nvspcap64.dll                      0x7FFDFF2E0000
tier0_s64.dll                      0x7FFDFF890000
flexRelease_x64.dll                0x7FFDFFA30000
MSVCR110.dll                       0x7FFDFFB80000
WeaponDebrisCrashFix.dll           0x7FFE05700000
crafting_highlight_fix.dll         0x7FFE05720000
CHW_ASS.dll                        0x7FFE06270000
cbp.dll                            0x7FFE117A0000
PriorityMod.dll                    0x7FFE118D0000
BetterConsole.dll                  0x7FFE11900000
enbhelperf4.dll                    0x7FFE13510000
vstdlib_s64.dll                    0x7FFE186F0000
fmt.dll                            0x7FFE19B80000
encounter_zone_recalculation.dll   0x7FFE1BB60000
cudart64_75.dll                    0x7FFE1D280000
GFSDK_GodraysLib.x64.dll           0x7FFE1D2E0000
SprintStutteringFix.dll            0x7FFE235E0000
AmmoRemover.dll                    0x7FFE23600000
MessageBus.dll                     0x7FFE279E0000
winmmbase.dll                      0x7FFE2AF50000
mskeyprotect.dll                   0x7FFE2B760000
ncryptsslp.dll                     0x7FFE2DB00000
NvTelemetryBridge64.dll            0x7FFE2E4B0000
NoLockpickActivate.dll             0x7FFE36D20000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE36D40000
MSVCP110.dll                       0x7FFE36DD0000
XeFX.dll                           0x7FFE36F90000
flexExtRelease_x64.dll             0x7FFE36FB0000
Secur32.dll                        0x7FFE3B840000
d3dx11_43.dll                      0x7FFE3C470000
bink2w64.dll                       0x7FFE3F2E0000
Windows.UI.dll                     0x7FFE3F610000
ffx_fsr2_api_x64.dll               0x7FFE400C0000
webio.dll                          0x7FFE417A0000
nvwgf2umx.dll                      0x7FFE427F0000
MSVCP140.dll                       0x7FFE47F40000
VCRUNTIME140.dll                   0x7FFE48070000
fastprox.dll                       0x7FFE48440000
VCRUNTIME140_1.dll                 0x7FFE485D0000
wbemsvc.dll                        0x7FFE48660000
wbemcomn.dll                       0x7FFE48CB0000
wbemprox.dll                       0x7FFE48D40000
rasadhlp.dll                       0x7FFE4AD80000
fwpuclnt.dll                       0x7FFE4ADA0000
NvTelemetryAPI64.dll               0x7FFE4BB40000
WINSPOOL.DRV                       0x7FFE4C6E0000
COMCTL32.dll                       0x7FFE4C780000
DEVRTL.dll                         0x7FFE4CC20000
MpOav.dll                          0x7FFE4CDD0000
amsi.dll                           0x7FFE4CE50000
DbgHelp.dll                        0x7FFE4CF30000
f4se_steam_loader.dll              0x7FFE4D2F0000
WINMM.dll                          0x7FFE4D7B0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFE4D7F0000
textinputframework.dll             0x7FFE4DE30000
inputhost.dll                      0x7FFE4E040000
d3d12.dll                          0x7FFE4E330000
nvapi64.dll                        0x7FFE4E3A0000
nvldumdx.dll                       0x7FFE4F170000
SPINF.dll                          0x7FFE4F490000
WINHTTP.dll                        0x7FFE50B50000
drvstore.dll                       0x7FFE50ED0000
cryptnet.dll                       0x7FFE51370000
VERSION.dll                        0x7FFE513B0000
twinapi.appcore.dll                0x7FFE51520000
dhcpcsvc6.DLL                      0x7FFE518D0000
WindowManagementAPI.dll            0x7FFE51AD0000
dhcpcsvc.DLL                       0x7FFE51F30000
WINNSI.DLL                         0x7FFE51FE0000
MMDevApi.dll                       0x7FFE52300000
AUDIOSES.DLL                       0x7FFE52400000
avrt.dll                           0x7FFE528B0000
dxcore.dll                         0x7FFE52CF0000
XeFX_Loader.dll                    0x7FFE53560000
MSIMG32.dll                        0x7FFE53A00000
wintypes.dll                       0x7FFE53C20000
D3DCOMPILER_47.dll                 0x7FFE53F30000
PROPSYS.dll                        0x7FFE54A30000
d3d11.dll                          0x7FFE54B30000
dcomp.dll                          0x7FFE54F60000
CoreUIComponents.dll               0x7FFE554D0000
CoreMessaging.dll                  0x7FFE55830000
nvToolsExt64_1.dll                 0x7FFE55E70000
UxTheme.dll                        0x7FFE55FE0000
resourcepolicyclient.dll           0x7FFE56140000
dwmapi.dll                         0x7FFE56350000
kernel.appcore.dll                 0x7FFE56530000
windows.storage.dll                0x7FFE567C0000
HID.DLL                            0x7FFE56F60000
dxgi.dll                           0x7FFE570C0000
schannel.DLL                       0x7FFE57670000
rsaenh.dll                         0x7FFE57750000
