XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x000050B20000
X3DAudio1_7.dll               0x000051470000
tbb.dll                       0x000180000000
tbbmalloc.dll                 0x01561CDD0000
bcryptPrimitives.dll          0x01561DD60000
LL_fourPlay_1_10_163.dll      0x0156271F0000
Fallout4.exe                  0x7FF70CBD0000
nvcuda64.dll                  0x7FFECCD60000
steamclient64.dll             0x7FFECD700000
d3dcompiler_47_64.dll         0x7FFED8D70000
NvCamera64.dll                0x7FFED9180000
nvspcap64.dll                 0x7FFEE13F0000
Buffout4.dll                  0x7FFEE3CB0000
IPHLPAPI.DLL                  0x7FFEE3FD0000
WsFw_Identifier.dll           0x7FFEE5CA0000
WINHTTP.dll                   0x7FFEE5DA0000
NVIDIA_Reflex.dll             0x7FFF00EA0000
flexRelease_x64.dll           0x7FFF01E50000
XAudio2_7.dll                 0x7FFF04C90000
HHS.dll                       0x7FFF060A0000
RobCo_Patcher.dll             0x7FFF0C170000
nvwgf2umx.dll                 0x7FFF0DA40000
nvldumdx.dll                  0x7FFF13820000
ResampleDmo.DLL               0x7FFF14770000
DSOUND.DLL                    0x7FFF14830000
MCM.dll                       0x7FFF18850000
msdmo.dll                     0x7FFF1A940000
DINPUT8.dll                   0x7FFF1FA70000
textinputframework.dll        0x7FFF1FDB0000
XDI.dll                       0x7FFF21090000
HighFPSPhysicsFix.dll         0x7FFF211E0000
WhoseQuestIsItAnywayF4.dll    0x7FFF21A20000
gameoverlayrenderer64.dll     0x7FFF21E30000
GCBugFix.dll                  0x7FFF21FD0000
FavoritesMenuEx.dll           0x7FFF22030000
F4EE.dll                      0x7FFF220B0000
F4z Ro D'oh.dll               0x7FFF22360000
Discord_Presence_F4SE.dll     0x7FFF223D0000
ClassicHolsteredWeapons.dll   0x7FFF22470000
F4PM.dll                      0x7FFF22E30000
CBP.dll                       0x7FFF22EA0000
cudart64_75.dll               0x7FFF22F10000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF23310000
GFSDK_GodraysLib.x64.dll      0x7FFF24300000
flexExtRelease_x64.dll        0x7FFF24360000
MessageBus.dll                0x7FFF27500000
inputhost.dll                 0x7FFF29750000
SprintSpeedController.dll     0x7FFF2B9D0000
MSVCR110.dll                  0x7FFF2BA20000
MSVCP140.dll                  0x7FFF2D2C0000
winmmbase.dll                 0x7FFF2D420000
MGEFConditionFix.dll          0x7FFF38570000
DEF_UI.dll                    0x7FFF38EE0000
BetterPowerArmorRedux.dll     0x7FFF38F20000
BetterConsole.dll             0x7FFF38F80000
