XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000065560000
steam_api64.dll                  0x000065570000
LL_fourPlay_1_10_163.dll         0x000180000000
BulletCountedReload.dll          0x02A7A3540000
Fallout4.exe                     0x7FF7E6150000
nvwgf2umx.dll                    0x7FF8BEC30000
nvngx_dlss.dll                   0x7FF8D5910000
steamclient64.dll                0x7FF8D7AF0000
nvcuda64.dll                     0x7FF8E1260000
MessageBus.dll                   0x7FF8E2850000
_nvngx.dll                       0x7FF8E31B0000
SUP_F4SE.dll                     0x7FF8E60C0000
XAudio2_7.dll                    0x7FF8E6580000
Buffout4.dll                     0x7FF8E6860000
dinput8.dll                      0x7FF8E8470000
gameoverlayrenderer64.dll        0x7FF8E9D10000
nvspcap64.dll                    0x7FF8EA5A0000
XDI.dll                          0x7FF8F0170000
WhoseQuestIsItAnywayF4.dll       0x7FF8F01E0000
UnlimitedSurvivalMode.dll        0x7FF8F0240000
ShadowBoostFO4.dll               0x7FF8F0290000
flexRelease_x64.dll              0x7FF8F0360000
RobCo_Patcher.dll                0x7FF8F0EE0000
PRKF.dll                         0x7FF8F1770000
GFSDK_SSAO_D3D11.win64.dll       0x7FF8F1800000
MSVCR110.dll                     0x7FF8F1890000
PowerGridTools.dll               0x7FF8F19A0000
place.dll                        0x7FF8F1A10000
mcm.dll                          0x7FF8F1A90000
TIM.dll                          0x7FF8F1D10000
usvfs_x64.dll                    0x7FF8F2310000
HighFPSPhysicsFix.dll            0x7FF8F24B0000
Fallout4Upscaler.dll             0x7FF8F2540000
MSVCP110.dll                     0x7FF8F2DB0000
GCBugFix.dll                     0x7FF8F3050000
FavoritesMenuEx.dll              0x7FF8F30B0000
F4z Ro D'oh.dll                  0x7FF8F3130000
tier0_s64.dll                    0x7FF8F31A0000
SprintSpeedController.dll        0x7FF955540000
rename_anything.dll              0x7FF955740000
bink2w64.dll                     0x7FF956960000
PDPerfPlugin.dll                 0x7FF957250000
cudart64_75.dll                  0x7FF957B80000
ReloadFix.dll                    0x7FF957E60000
