XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000062F70000
steam_api64.dll                    0x000063000000
d3d11.dll                          0x000180000000
NSI.dll                            0x0203FE5E0000
gpapi.dll                          0x0203FE5F0000
Fallout4.exe                       0x7FF607340000
nvngx_dlss.dll                     0x7FFE0F370000
nvcuda64.dll                       0x7FFE27010000
_nvngx.dll                         0x7FFE279B0000
d3dcompiler_46e.dll                0x7FFE27B50000
XAudio2_7.dll                      0x7FFE290E0000
gameoverlayrenderer64.dll          0x7FFE29170000
XDI.dll                            0x7FFE29300000
wsfw_identifier.dll                0x7FFE29370000
ShadowBoostFO4.dll                 0x7FFE29E60000
po3_SpellPerkItemDistributorF4.dll 0x7FFE35890000
RememberPickAngleUpdated.dll       0x7FFE35B60000
WhoseQuestIsItAnywayF4.dll         0x7FFE36E30000
po3_BaseObjectSwapperF4.dll        0x7FFE36E90000
libxess.dll                        0x7FFE36FA0000
dxcompiler.dll                     0x7FFE37880000
dxil.dll                           0x7FFE38BB0000
ffx_fsr2_api_dx12_x64.dll          0x7FFE38D30000
Fallout4Upscaler.dll               0x7FFE39010000
steamclient64.dll                  0x7FFE39120000
IPHLPAPI.DLL                       0x7FFE3A6E0000
f4ee.dll                           0x7FFE45200000
vertibird_jump.dll                 0x7FFE46540000
Buffout4.dll                       0x7FFE46590000
PowerGridTools.dll                 0x7FFE47190000
nvspcap64.dll                      0x7FFE48330000
DSOUND.DLL                         0x7FFE5F370000
place.dll                          0x7FFE5F5A0000
BakaScrapHeap.dll                  0x7FFE5F620000
mcm.dll                            0x7FFE5FC50000
BakaFramework.dll                  0x7FFE5FCF0000
HighFPSPhysicsFix.dll              0x7FFE61850000
tier0_s64.dll                      0x7FFE618E0000
UnlimitedSurvivalMode.dll          0x7FFE61DD0000
GCBugFix.dll                       0x7FFE61E20000
D3DCOMPILER_43.dll                 0x7FFE61E80000
RustyFaceFix.dll                   0x7FFE621D0000
f4se_1_10_163.dll                  0x7FFE623A0000
MGEFConditionFix.dll               0x7FFE62A90000
PriorityMod.dll                    0x7FFE65180000
ClassicHolsteredWeapons.dll        0x7FFE65310000
PDPerfPlugin.dll                   0x7FFE65770000
winmmbase.dll                      0x7FFE66DF0000
spdlog.dll                         0x7FFE681A0000
fmt.dll                            0x7FFE68940000
encounter_zone_recalculation.dll   0x7FFE68970000
enbhelperf4.dll                    0x7FFE6A130000
cbp.dll                            0x7FFE6A170000
vstdlib_s64.dll                    0x7FFE6A1F0000
BulletCountedReload.dll            0x7FFE6AF70000
flexRelease_x64.dll                0x7FFE6B000000
BetterConsole.dll                  0x7FFE6BE40000
MSVCR110.dll                       0x7FFE6BEB0000
DamageThreshold-PA.dll             0x7FFE6DF30000
MSVCP110.dll                       0x7FFE6DF80000
cudart64_75.dll                    0x7FFE6E210000
crafting_highlight_fix.dll         0x7FFE6E4C0000
GFSDK_GodraysLib.x64.dll           0x7FFE6FD30000
AmmoRemover.dll                    0x7FFE70630000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE71660000
bink2w64.dll                       0x7FFE716F0000
flexExtRelease_x64.dll             0x7FFE717B0000
Windows.UI.dll                     0x7FFE75AF0000
xinput1_4.dll                      0x7FFE776A0000
WeaponDebrisCrashFix.dll           0x7FFE79700000
SprintStutteringFix.dll            0x7FFE797E0000
NoLockpickActivate.dll             0x7FFE79EB0000
XeFX.dll                           0x7FFE7D4A0000
d3dx11_43.dll                      0x7FFE7DF60000
ffx_fsr2_api_x64.dll               0x7FFE7EC40000
f4se_steam_loader.dll              0x7FFE7EF30000
mskeyprotect.dll                   0x7FFE80E50000
ncryptsslp.dll                     0x7FFE80EA0000
NvTelemetryBridge64.dll            0x7FFE82BF0000
usvfs_x64.dll                      0x7FFE85540000
XeFX_Loader.dll                    0x7FFE8AF00000
MSVCP140_ATOMIC_WAIT.dll           0x7FFE8AF10000
Secur32.dll                        0x7FFE8CDF0000
textinputframework.dll             0x7FFE904B0000
inputhost.dll                      0x7FFE91C60000
d3d12.dll                          0x7FFE92180000
webio.dll                          0x7FFE92760000
MSVCP140.dll                       0x7FFE92BB0000
VCRUNTIME140.dll                   0x7FFE93050000
VCRUNTIME140_1.dll                 0x7FFE93070000
nvToolsExt64_1.dll                 0x7FFE93530000
fwpuclnt.dll                       0x7FFE958A0000
rasadhlp.dll                       0x7FFE96F10000
NvTelemetryAPI64.dll               0x7FFE971D0000
MessageBus.dll                     0x7FFE972A0000
WINSPOOL.DRV                       0x7FFE97C00000
COMCTL32.dll                       0x7FFE97CA0000
DbgHelp.dll                        0x7FFE98040000
DEVRTL.dll                         0x7FFE98B70000
MpOav.dll                          0x7FFE99A70000
amsi.dll                           0x7FFE99AF0000
wbemsvc.dll                        0x7FFE99C10000
