XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000050170000
steam_api64.dll                  0x000050180000
BulletCountedReload.dll          0x01C2AF4F0000
Fallout4.exe                     0x7FF752020000
XAudio2_7.dll                    0x7FFF05150000
nvcuda64.dll                     0x7FFF05820000
d3dcompiler_47_64.dll            0x7FFF061C0000
steamclient64.dll                0x7FFF06BC0000
NvCamera64.dll                   0x7FFF08B20000
IPHLPAPI.DLL                     0x7FFF09B50000
nvspcap64.dll                    0x7FFF12DE0000
Buffout4.dll                     0x7FFF1E000000
ResampleDmo.DLL                  0x7FFF210F0000
DSOUND.DLL                       0x7FFF211B0000
DINPUT8.dll                      0x7FFF214B0000
gameoverlayrenderer64.dll        0x7FFF216D0000
XDI.dll                          0x7FFF23310000
ShadowBoostFO4.dll               0x7FFF23380000
WhoseQuestIsItAnywayF4.dll       0x7FFF23650000
mcm.dll                          0x7FFF23890000
HighFPSPhysicsFix.dll            0x7FFF23930000
GCBugFix.dll                     0x7FFF239C0000
f4se_1_10_163.dll                0x7FFF23AB0000
vstdlib_s64.dll                  0x7FFF23B90000
tier0_s64.dll                    0x7FFF23C50000
MGEFConditionFix.dll             0x7FFF31180000
ncryptsslp.dll                   0x7FFF34500000
cudart64_75.dll                  0x7FFF38020000
MSVCR110.dll                     0x7FFF38080000
usvfs_x64.dll                    0x7FFF40A40000
inputhost.dll                    0x7FFF44000000
crafting_highlight_fix.dll       0x7FFF456F0000
GFSDK_GodraysLib.x64.dll         0x7FFF45740000
flexRelease_x64.dll              0x7FFF457A0000
xinput1_4.dll                    0x7FFF46AC0000
webio.dll                        0x7FFF47B50000
Secur32.dll                      0x7FFF4B150000
VCRUNTIME140_1.dll               0x7FFF4B170000
VCRUNTIME140.dll                 0x7FFF4B180000
MSVCP140.dll                     0x7FFF4B1A0000
MessageBus.dll                   0x7FFF4B250000
winmmbase.dll                    0x7FFF4D920000
Windows.UI.dll                   0x7FFF4E680000
GFSDK_SSAO_D3D11.win64.dll       0x7FFF4EFE0000
MSVCP110.dll                     0x7FFF4F070000
OneCoreCommonProxyStub.dll       0x7FFF4FA30000
flexExtRelease_x64.dll           0x7FFF50EE0000
bink2w64.dll                     0x7FFF50F40000
MessageBus.dll                   0x7FFF514B0000
nvwgf2umx.dll                    0x7FFF52FD0000
nvapi64.dll                      0x7FFF58460000
rasadhlp.dll                     0x7FFF5AA40000
AUDIOSES.DLL                     0x7FFF5AA90000
WINSPOOL.DRV                     0x7FFF5B650000
COMCTL32.dll                     0x7FFF5B6F0000
DbgHelp.dll                      0x7FFF5C520000
f4se_steam_loader.dll            0x7FFF5C800000
MpOav.dll                        0x7FFF5C840000
textinputframework.dll           0x7FFF5D1F0000
encounter_zone_recalculation.dll 0x7FFF5D5C0000
msdmo.dll                        0x7FFF5D620000
amsi.dll                         0x7FFF5E0E0000
WINMM.dll                        0x7FFF5E170000
wbemsvc.dll                      0x7FFF5E1B0000
fastprox.dll                     0x7FFF5E3A0000
nvldumdx.dll                     0x7FFF5EFA0000
MMDevApi.dll                     0x7FFF5F1A0000
wbemcomn.dll                     0x7FFF5F8C0000
wbemprox.dll                     0x7FFF5F940000
OneCoreUAPCommonProxyStub.dll    0x7FFF5F950000
fwpuclnt.dll                     0x7FFF60600000
drvstore.dll                     0x7FFF60690000
cryptnet.dll                     0x7FFF608F0000
VERSION.dll                      0x7FFF609E0000
WINHTTP.dll                      0x7FFF614A0000
dhcpcsvc.DLL                     0x7FFF61620000
dhcpcsvc6.DLL                    0x7FFF61640000
CoreUIComponents.dll             0x7FFF61660000
avrt.dll                         0x7FFF61D10000
directxdatabasehelper.dll        0x7FFF61F00000
WeaponDebrisCrashFix.dll         0x7FFF62560000
WindowsCodecs.dll                0x7FFF62BA0000
D3DCOMPILER_47.dll               0x7FFF62E00000
SprintStutteringFix.dll          0x7FFF63460000
MSIMG32.dll                      0x7FFF634F0000
MSVCP140_ATOMIC_WAIT.dll         0x7FFF63580000
d3d11.dll                        0x7FFF635C0000
dcomp.dll                        0x7FFF63DF0000
CoreMessaging.dll                0x7FFF64470000
XINPUT9_1_0.dll                  0x7FFF647D0000
nvToolsExt64_1.dll               0x7FFF64820000
apphelp.dll                      0x7FFF64840000
UxTheme.dll                      0x7FFF64950000
dxgi.dll                         0x7FFF64AC0000
dwmapi.dll                       0x7FFF64BF0000
WINNSI.DLL                       0x7FFF64C30000
dxcore.dll                       0x7FFF64C50000
resourcepolicyclient.dll         0x7FFF64FB0000
wintypes.dll                     0x7FFF652F0000
windows.storage.dll              0x7FFF65430000
HID.DLL                          0x7FFF65D00000
IpHlpAPI.dll                     0x7FFF65FC0000
DNSAPI.dll                       0x7FFF66030000
UMPDC.dll                        0x7FFF66300000
powrprof.dll                     0x7FFF66320000
schannel.DLL                     0x7FFF663C0000
rsaenh.dll                       0x7FFF664C0000
kernel.appcore.dll               0x7FFF66550000
ntmarta.dll                      0x7FFF66570000
SSPICLI.DLL                      0x7FFF667A0000
MSWSOCK.dll                      0x7FFF669C0000
USERENV.dll                      0x7FFF66AC0000
CRYPTBASE.DLL                    0x7FFF66C20000
CRYPTSP.dll                      0x7FFF66C30000
wldp.dll                         0x7FFF66CD0000
NTASN1.dll                       0x7FFF66D50000
ncrypt.dll                       0x7FFF66D90000
bcrypt.dll                       0x7FFF66DC0000
devobj.dll                       0x7FFF670B0000
cfgmgr32.dll                     0x7FFF670E0000
DPAPI.DLL                        0x7FFF67150000
msasn1.dll                       0x7FFF67160000
profapi.dll                      0x7FFF67340000
gdi32full.dll                    0x7FFF67410000
ucrtbase.dll                     0x7FFF67530000
CRYPT32.dll                      0x7FFF67650000
bcryptPrimitives.dll             0x7FFF677C0000
WINTRUST.DLL                     0x7FFF67840000
win32u.dll                       0x7FFF678B0000
msvcp_win.dll                    0x7FFF679A0000
KERNELBASE.dll                   0x7FFF67A40000
ADVAPI32.dll                     0x7FFF67DE0000
COMDLG32.dll                     0x7FFF67E90000
SHLWAPI.dll                      0x7FFF67F90000
msvcrt.dll                       0x7FFF67FF0000
MSCTF.dll                        0x7FFF680A0000
combase.dll                      0x7FFF681C0000
GDI32.dll                        0x7FFF68550000
NSI.dll                          0x7FFF68580000
SHELL32.dll                      0x7FFF68590000
RPCRT4.dll                       0x7FFF68D80000
KERNEL32.DLL                     0x7FFF68F90000
WS2_32.dll                       0x7FFF69060000
shcore.dll                       0x7FFF690E0000
USER32.dll                       0x7FFF691E0000
IMM32.DLL                        0x7FFF693F0000
sechost.dll                      0x7FFF69430000
SETUPAPI.dll                     0x7FFF694E0000
imagehlp.dll                     0x7FFF69960000
PSAPI.DLL                        0x7FFF69990000
ole32.dll                        0x7FFF699A0000
clbcatq.dll                      0x7FFF69B40000
OLEAUT32.dll                     0x7FFF69BF0000
ntdll.dll                        0x7FFF69FD0000
