[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     XDI.esm
[09]     WorkshopFramework.esm
[0A]     HUDFramework.esm
[0B]     ArmorKeywords.esm
[0C]     Retro_Style.esm
[0D]     Gunners Overhaul 1.1.esm
[0E]     MutantMenagerie.esm
[0F]     MutantMenagerie_FarHarbor.esm
[10]     Loads.esm
[11]     NewCalibers.esp
[12]     MutantMenagerie_NukaWorld.esm
[13]     DEF_WIDGETS_CORE.esm
[14]     TrueStormsFO4.esm
[15]     SettlementKeywords.esm
[16]     TacticalReload.esm
[17]     Factor.esp
[18]     PiperCaitCurieDialogueOverhaul.esp
[19]     ValdacilsItemSorting-00-ValsPicks-DLCVersion.esp
[1A]     Unique NPCs.esp
[1B]     Unique NPCs - Creatures and Monsters.esp
[1C]     Armorsmith Extended.esp
[1D]     Classic Combat Armor.esp
[1E]     GunnersOverhaul.esp
[1F]     MutilatedDeadBodies.esp
[20]     SettlementContainers_NoRespawn.esp
[21]     Raider Children.esp
[22]     F4NVServiceRifleRedux.esp
[23]     3dscopes.esp
[24]     Weaponsmith Extended 2.esp
[25]     Better Locational Damage.esp
[26]     clothingoverhaul.esp
[27]     SuperMutantRedux.esp
[28]     ClothingOverhaulSP_XB1_PC.esp
[29]     MojaveImports.esp
[2A]     Campsite.esp
[2B]     DeadlierDeathclaws.esp
[2C]     Eli_Armour_Compendium.esp
[2D]     CorpusPraesidium.esp
[2E]     RaiderOverhaul.esp
[2F]     CHEF.esp
[30]     BetterSettlers.esp
[31]     RecruitableSettlers.esp
[32]     W.A.T.Minutemen.esp
[33]     GhoulBlood.esp
[34]     Reinforcements.esp
[35]     MikeMooresMCAM.esp
[36]     AmazingFollowerTweaks.esp
[37]     WastelandEnergyShields.esp
[38]     CombinedArmsNV.esp
[39]     CombinedArmsEXPack.esp
[3A]     NightstrikerCreatureMod.esp
[3B]     CheatTerminal.esp
[3C]     PrivateContract.esp
[3D]     MilitarizedMinutemen.esp
[3E]     SovietPowerArmor.esp
[3F]     DOOMMerged.esp
[40]     SkibsWeapons-REDUX.esp
[41]     Retro_Style_World_Distribution.esp
[42]     UniqueUniques.esp
[43]     Freeze.esp
[44]     MODGirlyAnimation.esp
[45]     MisriahArmory.esp
[46]     powerarmort49.esp
[47]     UltracitePA.esp
[48]     MREs.esp
[49]     Respawnable Legendary Bosses.esp
[4A]     MK18.esp
[4B]     Midwest Power Armor Evolution.esp
[4C]     SubmersiblePowerArmorRedux.esp
[4D]     FO4TribalPowerArmor.esp
[4E]     CWCreateABot.esp
[4F]     llamaCompanionHeatherv2.esp
[50]     SKKSurvivalUtilities.esp
[51]     SkyrimInspiredPowerArmor.esp
[52]     FO4 NPCs Travel.esp
[53]     RU556.esp
[54]     AK74M.esp
[55]     AtomicAnnieLagrieGun.esp
[56]     DX_Black_Widow.esp
[57]     T-51C Power Armor.esp
[58]     AtomicRadio.esp
[59]     MP7.esp
[5A]     ChildrenofBunkerHill.esp
[5B]     ExcavatorPA.esp
[5C]     HK_MP5.esp
[5D]     GIAT_FAMAS.esp
[5E]     9x39Project.esp
[5F]     M1A.esp
[60]     Krebs.esp
[61]     OTs33Pernach.esp
[62]     SKKCombatStalkers.esp
[63]     Mosin.esp
[64]     TinaDeLucaSettlerVoiced.esp
[65]     Vault-Tec Power Armor by NewerMind43 & Captain-Ultima.esp
[66]     Liberty_PA.esp
[67]     InstitutePowerArmor.esp
[68]     SKKRESystemManager.esp
[69]     ReconPack.esp
[6A]     Smoke-able Cigars.esp
[6B]     VisibleCompanionAffinity.esp
[6C]     mjp_PTRS41ATR.esp
[6D]     Synth Overhaul.esp
[6E]     SKKWorkshopAccessMonitor.esp
[6F]     SKKCombatSettlers.esp
[70]     OWR.esp
[71]     OWR_CraftableDecor_CW_SKEPatch.esp
[72]     OWR_CraftableDecor_SKEPatch.esp
[73]     InstituteReformation.esp
[74]     SKKObjectCounter.esp
[75]     Easy Lockpick and Harck.esp
[76]     Ev_CPA10.esp
[77]     John Wicks Revenge Suit.esp
[78]     CyberPunk Suit by NewerMind43.esp
[79]     Reverb and Ambiance Overhaul.esp
[7A]     Binoculars.esp
[7B]     PigTwinEagles.esp
[7C]     Realistic_conversations.esp
[7D]     CROSS_Cybernetics.esp
[7E]     EnclaveX02.esp
[7F]     tank_PA.esp
[80]     XnjguyFilledMods_AIO.esp
[81]     Well_Pump.esp
[82]     PWR.esp
[83]     IFC Complete.esp
[84]     MK_Agony.esp
[85]     LooksMenu Customization Compendium.esp
[86]     DiverseChildren.esp
[87]     Orphans.esp
[88]     DT_GunnerOutfitPack.esp
[89]     NukaVimRack.esp
[8A]     Extended weapon mods.esp
[8B]     10mmRevolver.esp
[8C]     SKKFeralNights.esp
[8D]     HoloTime.esp
[8E]     Better Cooking.esp
[8F]     Northland Diggers New.esp
[90]     [ARRETH] FGEP.esp
[91]     Give Me That Bottle.esp
[92]     D.E.C.A.Y.esp
[93]     Guards.esp
[94]     CF_AtomicWarlord.esp
[95]     PD_VisualReload.esp
[96]     Crimsomrider's 1950s Feminine Outfits.esp
[97]     Better_Settlement_Defence.esp
[98]     KSHairdos_oel.esp
[99]     UGO_NPCModule.esp
[9A]     UGO_PlayerModule.esp
[9B]     CriticalHitsOutsideofVATS.esp
[9C]     ChildrenofGoodneighbor.esp
[9D]     SKKPlayerUndead.esp
[9E]     Yona_Weapon_DefenseGun.esp
[9F]     Scopes.esp
