XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000063F50000
steam_api64.dll                    0x000063F60000
LL_fourPlay_1_10_163.dll           0x000180000000
MSCTF.dll                          0x01689FC50000
Fallout4.exe                       0x7FF7A6D60000
steamclient64.dll                  0x7FFDC7700000
Buffout4.dll                       0x7FFDD6E30000
gameoverlayrenderer64.dll          0x7FFDD72D0000
po3_SpellPerkItemDistributorF4.dll 0x7FFDE5950000
modify_frequency.dll               0x7FFDE5A60000
mcm.dll                            0x7FFDE5EC0000
HighFPSPhysicsFix.dll              0x7FFDE5F60000
HHS.dll                            0x7FFDE5FF0000
IPHLPAPI.DLL                       0x7FFDE60E0000
f4ee.dll                           0x7FFDE87F0000
BakaScrapHeap.dll                  0x7FFDE8900000
tier0_s64.dll                      0x7FFDE89D0000
f4se_1_10_163.dll                  0x7FFDE9830000
flexRelease_x64.dll                0x7FFDEC6D0000
nvspcap64.dll                      0x7FFDEDE80000
DSOUND.DLL                         0x7FFDEF0C0000
vstdlib_s64.dll                    0x7FFE02B90000
winmmbase.dll                      0x7FFE03950000
place.dll                          0x7FFE04D00000
BulletCountedReload.dll            0x7FFE07100000
AUDIOSES.DLL                       0x7FFE09780000
BetterConsole.dll                  0x7FFE0C7D0000
cudart64_75.dll                    0x7FFE0C990000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE0C9F0000
GFSDK_GodraysLib.x64.dll           0x7FFE0D6F0000
MSVCR110.dll                       0x7FFE0D940000
MSVCP110.dll                       0x7FFE0E2D0000
bink2w64.dll                       0x7FFE0E380000
rename_anything.dll                0x7FFE0EFF0000
f4se_steam_loader.dll              0x7FFE10C70000
mskeyprotect.dll                   0x7FFE14320000
ncryptsslp.dll                     0x7FFE14370000
MSVCP140_ATOMIC_WAIT.dll           0x7FFE14EA0000
XAudio2_7.dll                      0x7FFE16140000
Secur32.dll                        0x7FFE16DF0000
OneCoreCommonProxyStub.dll         0x7FFE177A0000
VCRUNTIME140_1.dll                 0x7FFE18380000
MSVCP140.dll                       0x7FFE18410000
VCRUNTIME140.dll                   0x7FFE184A0000
nvToolsExt64_1.dll                 0x7FFE19C80000
flexExtRelease_x64.dll             0x7FFE19C90000
MessageBus.dll                     0x7FFE1C270000
webio.dll                          0x7FFE1E0F0000
WINSPOOL.DRV                       0x7FFE1E8E0000
COMCTL32.dll                       0x7FFE1E9D0000
MSIMG32.dll                        0x7FFE1EE20000
DbgHelp.dll                        0x7FFE1F560000
WINMM.dll                          0x7FFE21260000
nvwgf2umx.dll                      0x7FFE214C0000
nvldumdx.dll                       0x7FFE27E10000
MpOav.dll                          0x7FFE27F20000
amsi.dll                           0x7FFE27FA0000
dxcore.dll                         0x7FFE27FC0000
InputHost.dll                      0x7FFE28000000
textinputframework.dll             0x7FFE28160000
Windows.UI.dll                     0x7FFE28260000
nvapi64.dll                        0x7FFE283D0000
OneCoreUAPCommonProxyStub.dll      0x7FFE29740000
wbemsvc.dll                        0x7FFE2AAE0000
fastprox.dll                       0x7FFE2AB00000
fwpuclnt.dll                       0x7FFE2B310000
MMDevApi.dll                       0x7FFE2B590000
rasadhlp.dll                       0x7FFE2B840000
wbemcomn.dll                       0x7FFE2B9C0000
drvstore.dll                       0x7FFE2BA50000
wbemprox.dll                       0x7FFE2BC50000
cryptnet.dll                       0x7FFE2BCC0000
VERSION.dll                        0x7FFE2BEE0000
twinapi.appcore.dll                0x7FFE2C130000
WindowManagementAPI.dll            0x7FFE2C350000
avrt.dll                           0x7FFE2C800000
dhcpcsvc.DLL                       0x7FFE2CD00000
dhcpcsvc6.DLL                      0x7FFE2CDC0000
WINNSI.DLL                         0x7FFE2CDE0000
WINHTTP.dll                        0x7FFE2D620000
PROPSYS.dll                        0x7FFE2E600000
d3d11.dll                          0x7FFE2EB70000
wintypes.dll                       0x7FFE2F800000
dcomp.dll                          0x7FFE2FAB0000
CoreUIComponents.dll               0x7FFE30020000
CoreMessaging.dll                  0x7FFE30380000
UxTheme.dll                        0x7FFE30870000
resourcepolicyclient.dll           0x7FFE30930000
dwmapi.dll                         0x7FFE30B60000
kernel.appcore.dll                 0x7FFE30D40000
windows.storage.dll                0x7FFE30F40000
HID.DLL                            0x7FFE316E0000
dxgi.dll                           0x7FFE31720000
schannel.DLL                       0x7FFE31D80000
rsaenh.dll                         0x7FFE31E60000
ntmarta.dll                        0x7FFE31F80000
IpHlpAPI.dll                       0x7FFE32230000
DNSAPI.dll                         0x7FFE32270000
MSWSOCK.dll                        0x7FFE325B0000
CRYPTSP.dll                        0x7FFE327A0000
CRYPTBASE.DLL                      0x7FFE327C0000
UMPDC.dll                          0x7FFE327D0000
powrprof.dll                       0x7FFE32820000
Wldp.dll                           0x7FFE328C0000
NTASN1.dll                         0x7FFE328F0000
ncrypt.dll                         0x7FFE32930000
msasn1.dll                         0x7FFE32A50000
devobj.dll                         0x7FFE32C10000
DPAPI.DLL                          0x7FFE32C60000
SSPICLI.DLL                        0x7FFE32D20000
USERENV.dll                        0x7FFE32D60000
profapi.dll                        0x7FFE32DA0000
KERNELBASE.dll                     0x7FFE32E60000
CRYPT32.dll                        0x7FFE33140000
ucrtbase.dll                       0x7FFE332A0000
msvcp_win.dll                      0x7FFE33450000
bcryptPrimitives.dll               0x7FFE334F0000
WINTRUST.DLL                       0x7FFE33580000
gdi32full.dll                      0x7FFE335F0000
win32u.dll                         0x7FFE33700000
cfgmgr32.dll                       0x7FFE33730000
bcrypt.dll                         0x7FFE33780000
USER32.dll                         0x7FFE33970000
IMM32.DLL                          0x7FFE33BA0000
NSI.dll                            0x7FFE33BD0000
SHLWAPI.dll                        0x7FFE33BE0000
clbcatq.dll                        0x7FFE33C40000
ADVAPI32.dll                       0x7FFE33CF0000
shcore.dll                         0x7FFE33DA0000
SHELL32.dll                        0x7FFE33E50000
KERNEL32.DLL                       0x7FFE345A0000
GDI32.dll                          0x7FFE34660000
SETUPAPI.dll                       0x7FFE34690000
sechost.dll                        0x7FFE34B00000
imagehlp.dll                       0x7FFE34BA0000
OLEAUT32.dll                       0x7FFE34BC0000
WS2_32.dll                         0x7FFE34C90000
PSAPI.DLL                          0x7FFE34D00000
COMDLG32.dll                       0x7FFE34D10000
ole32.dll                          0x7FFE35050000
combase.dll                        0x7FFE35180000
RPCRT4.dll                         0x7FFE354E0000
msvcrt.dll                         0x7FFE35670000
ntdll.dll                          0x7FFE35750000
