[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     TacticalReload.esm
[08]     HUDFramework.esm
[09]     Unofficial Fallout 4 Patch.esp
[0A]     WorkshopFramework.esm
[0B]     SettlementKeywords.esm
[0C]     Robot Home Defence.esm
[0D]     CWPointLookoutFO4.esm
[0E]     SS2.esm
[0F]     SS2_XPAC_Chapter2.esm
[10]     TrueStormsFO4.esm
[11]     Homemaker.esm
[12]     EthreonMasterPlan.esm
[13]     NPCScaling.esm
[14]     Darlene.esm
[15]     ShurikenAL.esm
[16]     SBRsFramework.esm
[17]     Overlays.esm
[18]     XDI.esm
[19]     3dscopes-replacer.esp
[1A]     DarleneDLC.esp
[1B]     SS2Extended.esp
[1C]     SS2WastelandVenturers.esp
[1D]     [SS20Addon] SimSettlements SuperStructures.esp
[1E]     SS2_FDK_TinyLiving.esp
[1F]     SS2-PraRandomAddon.esp
[20]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[21]     JunkTownTwo.esp
[22]     SS2-Jampads2.esp
[23]     SS2_ruined_simsettlement_addonpack.esp
[24]     SS2_SIMPDDDD.esp
[25]     InstituteSettlements2.esp
[26]     SS2_Addon_Favelabulous.esp
[27]     GtN_SettlersatPlay.esp
[28]     ss2radiantpower.esp
[29]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[2A]     SS2_Addon_R2R.esp
[2B]     SettlementMenuManager.esp
[2C]     Snappy_HouseK.esp
[2D]     Snappy_DLC03.esp
[2E]     Thematic and Practical.esp
[2F]     Thematic and Practical - DLC.esp
[30]     Vault-Tec Workshop Overhaul Redux.esp
[31]     Vendor.esp
[32]     WareHouseExt.esp
[33]     BarnAdd.esp
[34]     WarehouseKit.esp
[35]     woodysWastelandStuff.esp
[36]     WmkActiveEffects.esp
[37]     CastleInTheSky.esp
[38]     DLC Timing.esp
[39]     Better_Settlement_Defence.esp
[3A]     QuickTrade.esp
[3B]     PD_LowerWeapon.esp
[3C]     FO4 NPCs Travel.esp
[3D]     Creative Perks (everything).esp
[3E]     UniqueUniques.esp
[3F]     Hunkered Down - No AtomCatsGarage.esp
[40]     InstituteReformation.esp
[41]     BoSStory.esp
[42]     1ECHO.esp
[43]     VaultTecStory.esp
[44]     InstituteStory.esp
[45]     Firelance2.5.esp
[46]     FarHarborStory.esp
[47]     KellyManor.esp
[48]     Vault4.esp
[49]     DCGuard_Overhaul.esp
[4A]     OldTimeReligion.esp
[4B]     ImmersiveCovenantCompound.esp
[4C]     Underground RailroadALLDLC.esp
[4D]     PersistentVolumeSliders.esp
[4E]     TrueGrass.esp
[4F]     Another Pine Forest Trees Only.esp
[50]     AnimatedCandles.esp
[51]     NukaWorldPlus.esp
[52]     Vivid Weathers - FO4.esp
[53]     TCD.esp
[54]     Sporty Underwear.esp
[55]     The Eyes Of Beauty.esp
[56]     KSHairdos_oel.esp
[57]     ellen.esp
[58]     llamaCompanionHeatherv2.esp
[59]     BetterSettlers.esp
[5A]     Eli_Armour_Compendium.esp
[5B]     QuantumCreatures.esp
[5C]     Yona_Weapon_DefenseGun.esp
[5D]     M2Agency.esp
[5E]     HuntingShotgun.esp
[5F]     CorvalhoWidowShotgun.esp
[60]     MP7.esp
[61]     AK400.esp
[62]     AK74M.esp
[63]     CROSS_PlasRail.esp
[64]     WattzLaserGun.esp
[65]     officersRevolver.esp
[66]     CazadorML.esp
[67]     CombinedArmsNV.esp
[68]     CombinedArmsEXPack.esp
[69]     ReconPack.esp
[6A]     EnclaveX02.esp
[6B]     Hellfirenew.esp
[6C]     10mmModificationPack.esp
[6D]     RevolverModificationPack.esp
[6E]     InstituteRifleModificationOverhaul.esp
[6F]     DelivererModPack.esp
[70]     TeleportGrenade.esp
[71]     Some Assembly Required.esp
[72]     ExcavatorPA.esp
[73]     Vault88 - Essentials.esp
[74]     DX_Black_Widow.esp
[75]     QuickSwap.esp
[76]     Publick Occurrences Expanded.esp
[77]     Marmo1233 - PowerArmorAirdrop.esp
[78]     Improved Disarm.esp
[79]     ESPExplorerFO4.esp
[7A]     InstitWeapPosit.esp
[7B]     TFRangerGear.esp
[7C]     ChineseStealthSuit.esp
[7D]     WestTekTacticalOptics.esp
[7E]     CROSS_Jetpack.esp
[7F]     CROSS_Recall.esp
[80]     StandaloneConstruct.esp
[81]     PowerArmorNightVision.esp
[82]     RaiderOverhaul.esp
[83]     W.A.T.Minutemen.esp
[84]     SuperMutantRedux.esp
[85]     Synth Overhaul.esp
[86]     BetterCompanions.esp
[87]     GunnerFaceVariety.esp
[88]     DT_GunnerOutfitPack.esp
[89]     ImmersiveBeantown.esp
[8A]     HARDCore.esp
[8B]     3DNPC_FO4.esp
[8C]     3DNPC_FO4_DLC.esp
[8D]     Root Cellar shelter.esp
[8E]     InsideJobs.esp
[8F]     Inside_Jobs_V4.01-Small_Fixes.esp
[90]     UndergroundReduxWhisperBenches.esp
[91]     Lively's Tweaks.esp
[92]     WorkshopPlus.esp
[93]     AAC_HoneyBadger.esp
[94]     155mm Howitzer M1.esp
[95]     EnhancedLightsandFX.esp
[96]     Vault-Tec Mask.esp
[97]     MS Ranger Outfit.esp
[98]     PIP-Pad.esp
[99]     CarryWeight99999.esp
[9A]     AnimeRace_Nanako.esp
[9B]     SR2.esp
[9C]     QBZ191.esp
[9D]     Infinite Armory.esp
[9E]     GIAT_FAMAS.esp
[9F]     MW Basilisk.esp
[A0]     SideAim.esp
[A1]     FanClub_M200.esp
[A2]     MWvalpha.esp
