[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     unofficial fallout 4 patch.esp
[08]     hudframework.esm
[09]     workshopframework.esm
[0A]     Snap'n Build.esm
[0B]     dlcprojectx_mainplugin.esm
[0C]     ss2.esm
[0D]     ss2_xpac_chapter2.esm
[0E]     Z_Architect.esm
[0F]     MassFusionWonderPower.esm
[10]     Robot Home Defence.esm
[11]     SettlementKeywords.esm
[12]     SettlementMenuManager.esp
[13]     WorkshopPlus.esp
[14]     Eli_Display Shelves.esp
[15]     NukaVimRack.esp
[16]     cVc Dead Wasteland 6.esp
[17]     cVc Dead Wasteland 6 DLC2.esp
[18]     cVc Dead Wasteland 6 DLC.esp
[19]     g2m_Workshop_Nexus.esp
[1A]     Z_Horizon_Loot_Respawn.esp
[1B]     Z_Horizon_Loot_Respawn_DLC.esp
[1C]     Invulnerable Turrets 1.05 - SET 1000 DEF.esp
[1D]     CompanionAccuracy.esp
[1E]     More Armor Slots - All Dlc.esp
[1F]     TransferSettlements.esp
[20]     OLH_The Ace of Spades.esp
[21]     Faster Terminal Displays (20x).esp
[22]     Z_Horizon_Patch_SMM.esp
[23]     TRUBY9.esp
[24]     AdvSettleTurretSet-Real.esp
[25]     AEWS.esp
[26]     AA Better Companions - No Conflicts.esp
[27]     CleanSettlement Snap'n Build.esp
[28]     TurretStands.esp
[29]     EvenMoreManufacturing.esp
[2A]     GCM.esp
[2B]     Hunter of the Commonwealth.esp
[2C]     Loot Detector.esp
[2D]     move that workbench!.esp
[2E]     More Power Armour Mods.esp
[2F]     OCDecorator.esp
[30]     OCDecoratorDLC.esp
[31]     OCDispenser.esp
[32]     QuickTrade.esp
[33]     Quieter Settlements - Contraptions.esp
[34]     Quieter Settlements - Vanilla.esp
[35]     Quieter Settlements - Wasteland Workshop.esp
[36]     AdvBubbleTurretSet-RealNP.esp
[37]     AlternateFurniture.esp
[38]     AlternateSettlements.esp
[39]     Better Vendor Stalls.esp
[3A]     mso_sms.esp
[3B]     SettleObjExpandPack.esp
[3C]     Settler Sandbox Overhaul.esp
[3D]     SlocumsManufacturing.esp
[3E]     starlighttheatresettlement.esp
[3F]     3DNPC_FO4.esp
[40]     Stm_DiamondCityExpansion.esp
[41]     CastleWallsRepaired 3.esp
[42]     crimetown.esp
[43]     america rising - a tale of the enclave.esp
[44]     Eli_Armour_Compendium.esp
[45]     Keep Radiants In Commonwealth.esp
[46]     PiperCaitCurieDialogueOverhaul.esp
[47]     VisibleCompanionAffinity.esp
[48]     EveryonesBestFriend.esp
[49]     SurvivalOptions.esp
[4A]     Sanctuary rebuild.1.2.esp
[4B]     settlemods_11_nukaisland.esp
[4C]     RRTV_HomesAndBunkers_Coastal.esp
[4D]     Buildable_PAFrames.esp
[4E]     Buildable_PAFrames_Recipe.esp
[4F]     v75vendor.esp
[50]     InstituteSettlements2.esp
[51]     Snappy_HouseK.esp
[52]     officersRevolver.esp
[53]     SS2_FDK_TinyLiving.esp
[54]     GtN_SettlersatPlay.esp
[55]     3DNPC_FO4Settler.esp
[56]     mre.esp
[57]     conquest.esp
[58]     enableddlcmapmarkers.esp
[59]     No More Sanctuary Dead Dog and Raider - After 48h 1.5.esp
[5A]     sanc_hills_playerhouse_roofandwalls_fix.esp
[5B]     ZebrinasWorkshopDevices.esp
[5C]     SS2WastelandVenturers.esp
[5D]     FO4 NPCs Travel.esp
[5E]     EvilViking13_PatchworkSanctuaryBridge.esp
[5F]     PerkReset.esp
[60]     AtomicRadio.esp
[61]     SS2-Jampads2.esp
[62]     SS2_ruined_simsettlement_addonpack.esp
[63]     GarageHomesAndSensibleSecurity.esp
[64]     LD50_Leaders.esp
[65]     RRTV_CommonwealthRoadMap-RedRocket.esp
[66]     creativeclutter.esp
[67]     SS2-JampadsExtras-CreativeQuarters.esp
[68]     Snappy_DLC03.esp
[69]     gr001-automatronrebooted.esp
[6A]     Settle-SRR.esp
[6B]     Passthrough.esp
[6C]     MoreAmmo.esp
[6D]     AdvBubbleTurretSet-Real.esp
[6E]     AdvBubbleTurretSet.esp
[6F]     AnS Wearable Backpacks and Pouches.esp
[70]     AnS Wearable Backpacks and Pouches - Ballistic Weave.esp
[71]     AnS Wearable Backpacks and Pouches - No Crafting Perks.esp
[72]     AnS Wearable Backpacks and Pouches - Power Armor Carry Capacity.esp
[73]     AzarPonytailHairstyles.esp
[74]     BetterSettlers.esp
[75]     BetterSettlersCleanFacePack.esp
[76]     BetterSettlersCCAPack2.0.esp
[77]     BetterSettlersFacesOnly.esp
[78]     BetterSettlersHeavyArmorOnly.esp
[79]     BetterSettlersMortalPack.esp
[7A]     BetterSettlersMortalSoldiersPack.esp
[7B]     BetterSettlersMostlyMale.esp
[7C]     BetterSettlersNoLollygagging.esp
[7D]     Conduits and Pylons Various Wireless Power  small size options.esp
[7E]     CraftableAmmo.esp
[7F]     CraftableAmmo_plus.esp
[80]     LongerPowerLines3x.esp
[81]     manufacturingextended.esp
[82]     ammunition_plant_improvements.esp
[83]     junktowntwo.esp
[84]     SS2-PraRandomAddon.esp
[85]     SS2_SIMPDDDD.esp
[86]     SimHomestead2.esp
[87]     TD_DLC01Workshop_Addons.esp
[88]     [ss20addon] simsettlements superstructures.esp
[89]     equilibriumweapons.esp
[8A]     balancedweapons.esp
[8B]     companion infinite ammo.esp
[8C]     fasttravelfrominteriors.esp
[8D]     improved map with visible roads.esp
[8E]     junktown-fences2.esp
[8F]     kci.esp
