XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000671B0000
steam_api64.dll                    0x0000671C0000
d3d11.dll                          0x000180000000
tbb.dll                            0x01F01D410000
tbbmalloc.dll                      0x01F01D480000
cbp.dll                            0x01F032730000
XDI.dll                            0x01F044F20000
fwpuclnt.dll                       0x01F07C930000
OneCoreUAPCommonProxyStub.dll      0x01F0CBFF0000
Fallout4.exe                       0x7FF63C9A0000
steamclient64.dll                  0x7FF887EF0000
d3dcompiler_46e.dll                0x7FF88C580000
IPHLPAPI.DLL                       0x7FF88C940000
ResampleDmo.DLL                    0x7FF898B70000
gameoverlayrenderer64.dll          0x7FF898E00000
ScreenArcherMenu.dll               0x7FF898F90000
DSOUND.DLL                         0x7FF8B1700000
wsfw_identifier.dll                0x7FF8B17B0000
VCRUNTIME140.dll                   0x7FF8B37F0000
MSVCP140.dll                       0x7FF8B3810000
XAudio2_7.dll                      0x7FF8B58E0000
WmkActiveEffects.dll               0x7FF8B5A80000
TullFramework.dll                  0x7FF8B5B00000
SimpleImpact.dll                   0x7FF8B9DB0000
SideAimAni.dll                     0x7FF8B9E20000
SAF.dll                            0x7FF8B9EC0000
RobCo_Patcher.dll                  0x7FF8BA040000
po3_SpellPerkItemDistributorF4.dll 0x7FF8BA110000
ShieldFramework.dll                0x7FF8C0AA0000
place.dll                          0x7FF8C0B20000
MODExplorer.dll                    0x7FF8C0BA0000
mcm.dll                            0x7FF8C0C20000
HHS.dll                            0x7FF8C0DA0000
SprintSpeedController.dll          0x7FF8C1F10000
SeamlessInspect.dll                0x7FF8C2210000
PowerGridTools.dll                 0x7FF8C7D70000
FakeThroughScope.dll               0x7FF8C7DE0000
Buffout4.dll                       0x7FF8C7EB0000
FavoritesMenuEx.dll                0x7FF8C8A30000
dxgi.dll                           0x7FF8C8AB0000
RustyFaceFix.dll                   0x7FF8C9240000
f4ee.dll                           0x7FF8C9290000
ClassicHolsteredWeapons.dll        0x7FF8C93A0000
tier0_s64.dll                      0x7FF8C9450000
rename_anything.dll                0x7FF8CA5A0000
LooksmenuPlayerRotation.dll        0x7FF8CD7E0000
D3DCOMPILER_43.dll                 0x7FF8CD830000
WINHTTP.dll                        0x7FF8CDAA0000
f4se_1_10_163.dll                  0x7FF8D28E0000
vstdlib_s64.dll                    0x7FF8D3060000
flexRelease_x64.dll                0x7FF8D41E0000
BulletCountedReload.dll            0x7FF8D6B30000
GCBugFix.dll                       0x7FF8D6F80000
f4pm.dll                           0x7FF8D8A90000
enbhelperf4.dll                    0x7FF8D8C40000
BetterConsole.dll                  0x7FF8D91D0000
CustomScaleFix.dll                 0x7FF8DA1A0000
usvfs_x64.dll                      0x7FF8DA1E0000
