XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x00005F460000
steam_api64.dll                  0x00005F470000
BetterConsole.dll                0x019E52520000
WINTRUST.DLL                     0x019E68E90000
clbcatq.dll                      0x019E6EF30000
Fallout4.exe                     0x7FF658150000
steamclient64.dll                0x7FFEFB450000
nvwgf2umx.dll                    0x7FFEFD670000
DSOUND.DLL                       0x7FFF01DD0000
XAudio2_7.dll                    0x7FFF01E70000
gameoverlayrenderer64.dll        0x7FFF025E0000
XDI.dll                          0x7FFF02770000
WhoseQuestIsItAnywayF4.dll       0x7FFF027E0000
UnlimitedSurvivalMode.dll        0x7FFF02840000
SprintSpeedController.dll        0x7FFF02890000
ShadowBoostFO4.dll               0x7FFF028E0000
ScreenArcherMenu.dll             0x7FFF029B0000
SAF.dll                          0x7FFF02BB0000
ReloadFix.dll                    0x7FFF02D30000
MGEFConditionFix.dll             0x7FFF02D80000
mcm.dll                          0x7FFF02DD0000
HighFPSPhysicsFix.dll            0x7FFF02E70000
HHS.dll                          0x7FFF02F00000
GCBugFix.dll                     0x7FFF02FF0000
FavoritesMenuEx.dll              0x7FFF03050000
f4ee.dll                         0x7FFF030D0000
CCExtenderF4.dll                 0x7FFF031E0000
BulletCountedReload.dll          0x7FFF03250000
Buffout4.dll                     0x7FFF032E0000
BetterPowerArmorRedux.dll        0x7FFF03600000
f4se_1_10_163.dll                0x7FFF036D0000
vstdlib_s64.dll                  0x7FFF037B0000
tier0_s64.dll                    0x7FFF03870000
cudart64_75.dll                  0x7FFF03A10000
GFSDK_GodraysLib.x64.dll         0x7FFF03A70000
GFSDK_SSAO_D3D11.win64.dll       0x7FFF03AD0000
flexRelease_x64.dll              0x7FFF11D90000
MSVCR110.dll                     0x7FFF11EE0000
MSVCP110.dll                     0x7FFF12080000
crafting_highlight_fix.dll       0x7FFF24080000
bink2w64.dll                     0x7FFF25300000
flexExtRelease_x64.dll           0x7FFF259C0000
f4se_steam_loader.dll            0x7FFF29A90000
xinput1_4.dll                    0x7FFF29F70000
encounter_zone_recalculation.dll 0x7FFF2ADC0000
usvfs_x64.dll                    0x7FFF2ADF0000
WeaponDebrisCrashFix.dll         0x7FFF2B990000
SprintStutteringFix.dll          0x7FFF2CD30000
