XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000066540000
steam_api64.dll                  0x000066550000
LL_fourPlay_1_10_163.dll         0x000180000000
Fallout4.exe                     0x7FF635CB0000
amdxc64.dll                      0x7FFEE71E0000
steamclient64.dll                0x7FFEFB010000
ResampleDmo.DLL                  0x7FFEFFB10000
D3D12Core.dll                    0x7FFF00360000
gameoverlayrenderer64.dll        0x7FFF00C40000
IPHLPAPI.DLL                     0x7FFF00DD0000
Buffout4.dll                     0x7FFF08E00000
DSOUND.DLL                       0x7FFF09360000
BLD_Helper.dll                   0x7FFF09410000
ffx_fsr2_api_dx12_x64.dll        0x7FFF27710000
wsfw_identifier.dll              0x7FFF28470000
tier0_s64.dll                    0x7FFF30580000
XAudio2_7.dll                    0x7FFF317A0000
Fallout4Upscaler.dll             0x7FFF31C20000
f4ee.dll                         0x7FFF32F60000
WmkActiveEffects.dll             0x7FFF3C8D0000
flexRelease_x64.dll              0x7FFF47E20000
mcm.dll                          0x7FFF482E0000
XDI.dll                          0x7FFF4F640000
HighFPSPhysicsFix.dll            0x7FFF4F6B0000
MSIMG32.dll                      0x7FFF50070000
BakaScrapHeap.dll                0x7FFF50E80000
ClassicHolsteredWeapons.dll      0x7FFF51B30000
place.dll                        0x7FFF51C30000
PowerGridTools.dll               0x7FFF52460000
BulletCountedReload.dll          0x7FFF52990000
f4se_1_10_163.dll                0x7FFF5B2C0000
vstdlib_s64.dll                  0x7FFF5FFB0000
MSVCR110.dll                     0x7FFF60070000
PDPerfPlugin.dll                 0x7FFF601E0000
MSVCP110.dll                     0x7FFF60240000
spdlog.dll                       0x7FFF60F60000
cudart64_75.dll                  0x7FFF62DA0000
GFSDK_GodraysLib.x64.dll         0x7FFF66600000
GFSDK_SSAO_D3D11.win64.dll       0x7FFF689D0000
D3DSCache.dll                    0x7FFF6D910000
PriorityMod.dll                  0x7FFF737B0000
flexExtRelease_x64.dll           0x7FFF737E0000
BodyPartsUI.dll                  0x7FFF73D60000
d3d12.dll                        0x7FFF75D00000
bink2w64.dll                     0x7FFF75D30000
WINSPOOL.DRV                     0x7FFF75EF0000
achievements.dll                 0x7FFF76280000
fmt.dll                          0x7FFF76360000
f4se_steam_loader.dll            0x7FFF76A20000
webio.dll                        0x7FFF77770000
encounter_zone_recalculation.dll 0x7FFF77A20000
ncryptsslp.dll                   0x7FFF7A6C0000
winmmbase.dll                    0x7FFF7C4D0000
Secur32.dll                      0x7FFF7C5C0000
xinput1_4.dll                    0x7FFF7C6D0000
COMCTL32.dll                     0x7FFF7E060000
VCRUNTIME140_1.dll               0x7FFF87880000
MSVCP140.dll                     0x7FFF87B90000
VCRUNTIME140.dll                 0x7FFF87FD0000
rasadhlp.dll                     0x7FFF89350000
textinputframework.dll           0x7FFF8B4E0000
inputhost.dll                    0x7FFF8B610000
wbemprox.dll                     0x7FFF8E170000
Windows.UI.dll                   0x7FFF8E2D0000
