[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     XDI.esm
[09]     HUDFramework.esm
[0A]     ArmorKeywords.esm
[0B]     WorkshopFramework.esm
[0C]     RedWave3.esp
[0D]     DCGuard_Overhaul.esp
[0E]     DiamondCityFactory.esp
[0F]     [A0] KT_Framework.esm
[10]     SS2.esm
[11]     SS2_XPAC_Chapter2.esm
[12]     Vault4.esp
[13]     AtlasSummit.esp
[14]     CWPointLookoutFO4.esm
[15]     ChuckYufarleyCollection.esm
[16]     Games.esm
[17]     BarstoolGames.esm
[18]     CWSS Redux.esp
[19]     HighHeelSounds.esm
[1A]     Homemaker.esm
[1B]     SettlementKeywords.esm
[1C]     TacticalReload.esm
[1D]     TrueStormsFO4.esm
[1E]     VtawWardrobe8.esp
[1F]     The Eyes Of Beauty.esp
[20]     KSHairdos_oel.esp
[21]     Armorsmith Extended.esp
[22]     Universal Working Bathroom Fixtures (CWSS and DLCs).esp
[23]     RED.esp
[24]     SS2Extended.esp
[25]     AGNISNikaCola01.esp
[26]     SS2CaravanSnatex.esp
[27]     DiamondCityPlus.esp
[28]     RecruitableSettlers.esp
[29]     RRTV_PrydwenQuarters_Home.esp
[2A]     RedWaveReloaded.esp
[2B]     Vivid Weathers - FO4.esp
[2C]     Eli_Chestnut Lodge DLC.esp
[2D]     AmazingFollowerTweaks.esp
[2E]     InstituteSettlements2.esp
[2F]     AirshipHome.esp
[30]     TU3SD4Y'S Commonwealth Responders.esp
[31]     CheatTerminal.esp
[32]     DCGuard_Overhaul-SettlementWorkshop.esp
[33]     UniqueUniques.esp
[34]     Snappy_HouseK.esp
[35]     Blazkowicz.esp
[36]     SS2_FDK_TinyLiving.esp
[37]     Radiant_Questing_in_the_Commonwealth.esp
[38]     RecruitableSettlersFH.esp
[39]     SovietPowerArmor.esp
[3A]     UndergroundHideout.esp
[3B]     UndergroundHideout-Basement.esp
[3C]     cat_wildlands.esp
[3D]     Liberator.esp
[3E]     UltracitePA.esp
[3F]     Eli_Armour_Compendium.esp
[40]     shipment_biggest.esp
[41]     LimaOutpost.esp
[42]     expchineserifle.esp
[43]     OldTimeReligion.esp
[44]     MK18.esp
[45]     MakeYourOwnSynths.esp
[46]     SubmersiblePowerArmorRedux.esp
[47]     Shadow Wastelands SS2 World Repopulation Cells.esp
[48]     FO4R.esp
[49]     WattzLaserGun.esp
[4A]     FOLON-StandaloneReleaser.esp
[4B]     SS2WastelandVenturers.esp
[4C]     Marmo1233 - PowerArmorAirdrop.esp
[4D]     SteyrAUGnv.esp
[4E]     RPD.esp
[4F]     FN502.esp
[50]     ChuckYufarley_LogSet.esp
[51]     [SS20Addon] SimSettlements SuperStructures.esp
[52]     MartiniHenryICI.esp
[53]     MSTP_InstitutePowerArmor.esp
[54]     StealthSuitDrk.esp
[55]     shoddymemone.esp
[56]     SS2-Jampads2.esp
[57]     SettleObjExpandPack.esp
[58]     SelectRapidMG.esp
[59]     Cho1_ss2_Barmod_Conversion.esp
[5A]     SS2_STRA_Buildings_and_Skins.esp
[5B]     SS2_STRA_Support_Buildings.esp
[5C]     SS2_ruined_simsettlement_addonpack.esp
[5D]     SelectShotgun.esp
[5E]     ChuckYufarley_BarracksSet.esp
[5F]     Enclave-X02.esp
[60]     ChuckYufarley_GreenhouseSet.esp
[61]     JunkTownTwo.esp
[62]     GarageHomesAndSensibleSecurity.esp
[63]     SS2_Addon_FHE.esp
[64]     SS2-PraRandomAddon.esp
[65]     PowerArmorHoarder.esp
[66]     RecruitableSettlersLeaders2.esp
[67]     evan_modular kitchen.esp
[68]     g2m_Workshop_Nexus.esp
[69]     MP7.esp
[6A]     WastelandCodex.esp
[6B]     AutomatronSecuritron.esp
[6C]     AutoDoors.esp
[6D]     Better Manufacturing.esp
[6E]     ManufacturingExtended.esp
[6F]     DLC items to manufacturing.esp
[70]     ClassicBehemoth.esp
[71]     ChuckYufarley_SecurityWallSet.esp
[72]     DLC Timing.esp
[73]     CROSS_GoreCrits.esp
[74]     EnclaveX02.esp
[75]     FO4Hotkeys.esp
[76]     FactoryAddOn.esp
[77]     CROP_SKE.esp
[78]     Scopes.esp
[79]     M2Agency.esp
[7A]     LooksMirror.esp
[7B]     MEAddonComboButcher.esp
[7C]     MS Contraptions - SS2 ASAM Builder.esp
[7D]     ManufacturingExtendedFH.esp
[7E]     ConveyorBarriers.esp
[7F]     MoreVaultSigns.esp
[80]     Nuka World Bot Fixes.esp
[81]     Tripwires.esp
[82]     SPECIALWeddingRings.esp
[83]     GreaseRatGarbs.esp
[84]     EpilogueRestored.esp
[85]     ExcavatorPA.esp
[86]     HuntingRevolver.esp
[87]     GIAT_FAMAS.esp
[88]     G36Complex.esp
[89]     M1A.esp
[8A]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[8B]     SS2_MsB_PlainPlans.esp
[8C]     Sandbag Fortifications - Version 2C.esp
[8D]     SettlementPrivacy.esp
[8E]     SettlementMenuManager.esp
[8F]     Snappy_DLC03.esp
[90]     SleekStylesPack.esp
[91]     SnapBeds.esp
[92]     SS2_SIMPDDDD.esp
[93]     Swinging Meat Bags.esp
[94]     TCS sportswear.esp
[95]     TheEyesOfBeauty.esp
[96]     Snappable Covenant Walls.esp
[97]     Vault-Tec Workshop Overhaul Redux.esp
[98]     Vault88 - Essentials.esp
[99]     VisibleCompanionAffinity.esp
[9A]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
