[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     AdditionalAmmoTypes.esm
[09]     HUDFramework.esm
[0A]     SettlementKeywords.esm
[0B]     WorkshopFramework.esm
[0C]     XDI.esm
[0D]     TacticalReload.esm
[0E]     InstituteTechnologyOverhaul.esm
[0F]     LegendaryAllDifficulties20x.esp
[10]     oDo_GunTraits.esp
[11]     MoreSpawns_High.esp
[12]     MoreEnemies.esp
[13]     DailyEnemyRespawn.esp
[14]     multiplecraft.esp
[15]     WD_44.esp
[16]     ESPExplorerFO4.esp
[17]     Scopes.esp
[18]     W.A.T.Minutemen.esp
[19]     WeaponModFixes-GOTY.esp
[1A]     SlowTime.esp
[1B]     Reload Sounds.esp
[1C]     Reinforcements.esp
[1D]     Lasers Have No Recoil.esp
[1E]     InstituteTechnologyOverhaul - FULL.esp
[1F]     CheatTerminal.esp
[20]     BDR - BoSDoneRight.esp
[21]     M1918nv.esp
[22]     02_M520.esp
[23]     10mmRevolver.esp
[24]     10mmSMG.esp
[25]     3dscopes.esp
[26]     65SeriesPistols.esp
[27]     ACR-W17.esp
[28]     AER15.esp
[29]     AK74M.esp
[2A]     AKeVolk.esp
[2B]     AlienAssaultRifle.esp
[2C]     AR70 Assault Rifle.esp
[2D]     AranLaserCarbine.esp
[2E]     Archimedes-II.esp
[2F]     ArcWelder.esp
[30]     ArdentBlade.esp
[31]     ASH127.esp
[32]     AssaultPhaser.esp
[33]     Automag.esp
[34]     AutoMines.esp
[35]     BH_MCX_Spear.esp
[36]     Bruen Bullpup Family.esp
[37]     BullpupR91.esp
[38]     C_4570Raptor.esp
[39]     CAWS.esp
[3A]     CazadorML.esp
[3B]     ChiappaTripleThreat.esp
[3C]     ChineseLaserRevolver.esp
[3D]     CollectAllMiniGat.esp
[3E]     Colt Python.esp
[3F]     ConceptPlasma.esp
[40]     CriticalHitsOutsideofVATS.esp
[41]     CROSS_PlasRail.esp
[42]     CROSS_RugerMkV.esp
[43]     CustomMossberg590A1.esp
[44]     DaewooRifle.esp
[45]     DOOMMerged.esp
[46]     EG7.esp
[47]     Elysium.esp
[48]     EPRP.esp
[49]     FaceMaxson.esp
[4A]     Fallschirmjagergewehr.esp
[4B]     fn five-seven v3.0.esp
[4C]     FNX45.esp
[4D]     FOrigin12.esp
[4E]     Fusion Gun.esp
[4F]     G3Family.esp
[50]     GatlingRifle.esp
[51]     Glock86.esp
[52]     GS Benelli M3S90.esp
[53]     GS Beretta PX4.esp
[54]     HK XM8.esp
[55]     HuntingRevolver.esp
[56]     HuntingShotgun.esp
[57]     Jackhammer.esp
[58]     Jericho 941.esp
[59]     Karma-45.esp
[5A]     Kbar-32.esp
[5B]     L96A1.esp
[5C]     LAER.esp
[5D]     M1014.esp
[5E]     M1928A1.esp
[5F]     M2045MagnumRevolverRifle.esp
[60]     M2Agency.esp
[61]     Mac10.esp
[62]     ManualReload.esp
[63]     MG42.esp
[64]     Mosin.esp
[65]     Mossberg500.esp
[66]     MP40.esp
[67]     MP7.esp
[68]     MTs255.esp
[69]     MW Basilisk.esp
[6A]     MW22X12.esp
[6B]     MWAN94.esp
[6C]     MWAUG.esp
[6D]     MWIIChimera.esp
[6E]     MWIIGolf17.esp
[6F]     MWIILimax.esp
[70]     MWIIstango25.esp
[71]     MWM19.esp
[72]     MWM4.esp
[73]     MWPP19.esp
[74]     MWRam7.esp
[75]     MWStriker.esp
[76]     NV4.esp
[77]     NVUMP.esp
[78]     PersistentVolumeSliders.esp
[79]     Phasers.esp
[7A]     PigFNC.esp
[7B]     PlasmaDefenderStandalone.esp
[7C]     PPCWeaponMod.esp
[7D]     PulseRifle.esp
[7E]     Python.esp
[7F]     Quad_Accelerator.esp
[80]     Quad_Element.esp
[81]     Quad_Fusillade.esp
[82]     Quad_RAWLauncher.esp
[83]     Quad_Technetronic.esp
[84]     QuickTrade.esp
[85]     RailwayPistol.esp
[86]     Recharger.esp
[87]     remington 700.esp
[88]     RemingtonM11.esp
[89]     Roosevelt Machine Gun.esp
[8A]     RPD.esp
[8B]     RU556.esp
[8C]     RussianAssaultPack.esp
[8D]     Schotel22.esp
[8E]     SelectMarksman.esp
[8F]     SelectRapidMG.esp
[90]     SelectShotgun.esp
[91]     SettlementMenuManager.esp
[92]     ShanxiType97.esp
[93]     ShingenMarkV.esp
[94]     SigMCX.esp
[95]     SkibsWeapons-REDUX.esp
[96]     smmg.esp
[97]     SPR300.esp
[98]     SprintStutterRemoverWithExtras.esp
[99]     SR2.esp
[9A]     StartMeUp.esp
[9B]     StartMeUpNukaWorldPatch.esp
[9C]     StG44.esp
[9D]     STG60.esp
[9E]     STREETSWEEPER.esp
[9F]     Type89 MWM.esp
[A0]     UnionBlaster.esp
[A1]     Vault-Tec_MPL.esp
[A2]     VGType11.esp
[A3]     VltSec10mmSmg.esp
[A4]     Wastelanders XM2076 by giggity12345.esp
[A5]     WattzLaserGun.esp
[A6]     WinchesterP94Balanced2.esp
[A7]     Winters_FJX-Imperium.esp
[A8]     Winters_ISO-Hemlock.esp
[A9]     WmkActiveEffects.esp
[AA]     X12Plasmacaster.esp
[AB]     Yinglong.esp
[AC]     Zapgun.esp
[AD]     Colt6520.esp
[AE]     CombinedArmsNV.esp
[AF]     CombinedArmsEXPack.esp
[B0]     9mmPistol.esp
[B1]     9x39Project.esp
[B2]     AA12.esp
[B3]     AAlpha12.esp
[B4]     Ak5C.esp
[B5]     AKMnv.esp
