[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     MutantMenagerie.esm
[0C]     TheWilderness.esm
[0D]     SouthOfTheSea.esm
[0E]     ArmorKeywords.esm
[0F]     Gunners Overhaul 1.1 RUS.esm
[10]     OP_Workshop.esp
[11]     SS2.esm
[12]     TacticalReload.esm
[13]     TheForest.esm
[14]     TheMarshland.esm
[15]     UneducatedReload.esm
[16]     ProjectZeta.esm
[17]     T6M_WeapCondFramework.esm
[18]     Robot Home Defence.esm
[19]     LooksMenu Customization Compendium.esp
[1A]     BRB Console Enabler.esp
[1B]     ECO.esp
[1C]     SKKFastStartNewGame.esp
[1D]     Immersive HUD.esp
[1E]     QuickTrade.esp
[1F]     Backpacks of the Commonwealth.esp
[20]     K9TacticalHarness.esp
[21]     OTs33Pernach.esp
[22]     ReconPack.esp
[23]     RussianAssaultPack.esp
[24]     9x39Project.esp
[25]     AKMnv.esp
[26]     Stg44 Animations.esp
[27]     Some Assembly Required.esp
[28]     Ev_CPA10.esp
[29]     EV_CPA10_LL.esp
[2A]     Boston Bandits.esp
[2B]     MilitarizedMinutemen.esp
[2C]     MilitarisedMinutemen_PatchesAddon.esp
[2D]     Immersive Fallout - Movement (DLC).esp
[2E]     Immersive Fallout - Real Recoil (DLC).esp
[2F]     Immersive Fallout - Realistic ADS (DLC).esp
[30]     RAW INPUT.esp
[31]     Campsite.esp
[32]     mr Loot Logic and Reduction.esp
[33]     Hunter of the Commonwealth.esp
[34]     NightOfTheCreeps.esp
[35]     FO4 NPCs Travel.esp
[36]     RadiationOverhaulSP.esp
[37]     RADS.esp
[38]     ConceptCentaur.esp
[39]     No VATS Overhaul.esp
[3A]     Commonwealth Overhaul.esp
[3B]     NightstrikerCreatureMod.esp
[3C]     SKKRESystemManager.esp
[3D]     SKKActorReplaceRespawnManager.esp
[3E]     ImmersiveAnimationFramework.esp
[3F]     SCM.esp
[40]     GCM.esp
[41]     Gas Masks of the Wasteland.esp
[42]     NPC Accuracy Revised.esp
[43]     ConsumeWithoutPickup.esp
[44]     KSHairdos.esp
[45]     The Eyes Of Beauty.esp
[46]     Guards.esp
[47]     Live Action Handy.esp
[48]     Lots More Facial Hair.esp
[49]     Lots More Male Hairstyles.esp
[4A]     SSNPC - DCResidentsAIO.esp
[4B]     Misty Pines Overhaul.esp
[4C]     AnimatedCandles.esp
[4D]     Gritty Subway Stations.esp
[4E]     Wasteland Illumination.esp
[4F]     Clean Water - Clean - ExtraRads.esp
[50]     waterLODfix.esp
[51]     Dark Sci Fi Vault Retexture 4k.esp
[52]     TrueBlood.esp
[53]     Pip-Boy Flashlight.esp
[54]     AmbientTunnels.esp
[55]     AA Subways of the Commonwealth.esp
[56]     subwayrunnnerdynamiclighting.esp
[57]     Hunkered Down - No AtomCatsGarage.esp
[58]     moreXplore.esp
[59]     InsideJobs.esp
[5A]     InsideJobs_UFO4P.esp
[5B]     stumbleuponinteriors.esp
[5C]     The Metro.esp
[5D]     SSTFungalForest.esp
[5E]     ARTICHOKE.esp
[5F]     Reverb and Ambiance Overhaul.esp
[60]     _SoundZero_.esp
[61]     Ambient Wasteland.esp
[62]     BarefootFootstepExtended.esp
[63]     Project Reality Footsteps FO4.esp
[64]     Existence 2.0.esp
[65]     PollutedClimate.esp
[66]     Radiant Clouds and Fogs.esp
[67]     Karma_Pickups.esp
[68]     STALKER Music_Complete.esp
[69]     MusicMergedDLC.esp
[6A]     Dynamic Music Overhaul.esp
[6B]     brotherhood_of_steel_overhaul.esp
[6C]     Fatigue.esp
[6D]     A Forest.esp
[6E]     PaladinBaileyRedRocket.esp
[6F]     UltraInteriorLighting.esp
[70]     UltraInteriorLighting_DarkerAmbience.esp
[71]     InteriorColorCorrection.esp
[72]     Minuteman Watchtowers.esp
[73]     Gas Mask Biped Fix.esp
[74]     Ceft_Main.esp
[75]     OpenHagen.esp
[76]     4estGimp - SotS AS MMWatchtower.esp
[77]     ImmersiveAnimationFramework Patch.esp
[78]     RemoveLowHealthBlur.esp
[79]     Odewise_UnofficialLostWorldPatch_v2.01.esp
[7A]     TRUBY9.esp
[7B]     ElMudoStore.esp
[7C]     M1Garand.esp
[7D]     MWvalpha.esp
[7E]     RiotShotgun.esp
[7F]     SVT40.esp
[80]     WinCowbowRepeater.esp
[81]     3DNPC_FO4.esp
[82]     [ARRETH] FGEP.esp
[83]     advancedAITweaks.esp
[84]     AzarPonytailHairstyles.esp
[85]     BetterCompanions.esp
[86]     BetterSettlers.esp
[87]     BetterSettlersCleanFacePack.esp
[88]     BetterSettlersMortalPack.esp
[89]     BetterSettlersNoLollygagging.esp
[8A]     ClassicBehemoth.esp
[8B]     Companion Overhaul by DeadCh1cken.esp
[8C]     DCWestSuperMutants.esp
[8D]     DT_GunnerOutfitPack.esp
[8E]     Eli_Armour_Compendium.esp
[8F]     Eli_Faction Housing Overhaul - AiO.esp
[90]     EveryonesBestFriend.esp
[91]     Flashy_PersonalEssentials.esp
[92]     Improved Boston Airport.esp
[93]     institute_overhaul.esp
[94]     JSSynths.esp
[95]     Liberty Reborn Redone.esp
[96]     Miami Misadventures EP1.esp
[97]     MMSquads.esp
[98]     Pchela.esp
[99]     Phase4DLC.esp
[9A]     PiperCaitCurieDialogueOverhaul.esp
[9B]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[9C]     RaiderOverhaul.esp
