[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     cczsefo4002-smanor.esm
[0A]     cctosfo4002_neonflats.esm
[0B]     Unofficial Fallout 4 Patch.esp
[0C]     XDI.esm
[0D]     WorkshopFramework.esm
[0E]     HUDFramework.esm
[0F]     AAF.esm
[10]     JonsMod.esm
[11]     InstituteTechnologyOverhaul.esm
[12]     Homemaker.esm
[13]     BbaronxScriptLibrary.esm
[14]     PlasmaArsenal.esp
[15]     TacticalReload.esm
[16]     TrueStormsFO4.esm
[17]     AnubisRace.esp
[18]     Phase4DLC.esp
[19]     Starlight Drive in Revamped.esp
[1A]     LootableCrates.esp
[1B]     LootableCrates MergedDLCs.esp
[1C]     GoodneighborExpanded.esp
[1D]     OutcastsAndRemnants.esp
[1E]     InstituteTechnologyOverhaul - LITE.esp
[1F]     Mansion.esp
[20]     MosesSubmarine.esp
[21]     Fusion Cells are Batteries - Main - Automatron.esp
[22]     AA FusionCityRising.esp
[23]     RaceCustomizer.esp
[24]     AnimeRace_Nanako.esp
[25]     SameSexFemale.esp
[26]     MaxwellsWorl.esp
[27]     DCGuard_Overhaul.esp
[28]     Eli_Chestnut Lodge DLC.esp
[29]     AmazingFollowerTweaks.esp
[2A]     AirshipHome.esp
[2B]     UniqueUniques.esp
[2C]     AA 50 Ways To Die.esp
[2D]     SovietPowerArmor.esp
[2E]     SarcasticDragon's Snarky Loading Screens Fallout 4 Edition.esp
[2F]     DOOMMerged.esp
[30]     Escape from Boston - MSBS Grot B.esp
[31]     officersRevolver.esp
[32]     ProjectValkyrie.esp
[33]     Destiny2Scout+PulseRifle.esp
[34]     Wattz2000 - Jake Necroix.esp
[35]     Glock86.esp
[36]     UltracitePA.esp
[37]     MisriahArmory.esp
[38]     WastelandGuardian.esp
[39]     Mica-T6M_EMD.esp
[3A]     InsideJobs.esp
[3B]     LimaOutpost.esp
[3C]     stumbleuponinteriors.esp
[3D]     powerarmort49.esp
[3E]     ChinaLakeandHolorifle.esp
[3F]     CROSS_PlasRail.esp
[40]     T-51C Power Armor.esp
[41]     WorkingFridges.esp
[42]     Zapgun.esp
[43]     FO4TribalPowerArmor.esp
[44]     Midwest Power Armor Evolution.esp
[45]     CAPA.esp
[46]     WattzLaserGun.esp
[47]     512StandaloneHairColors.esp
[48]     AER15.esp
[49]     F4NVServiceRifleRedux.esp
[4A]     3dscopes.esp
[4B]     StandaloneConstruct.esp
[4C]     EXALT Cybernetics.esp
[4D]     SigSauer127.esp
[4E]     NRAW_Common.esp
[4F]     FCaB - AER-15 - Basic.esp
[50]     SynthPA.esp
[51]     CartographersMapMarkers Commonwealth.esp
[52]     Cyber-Light Hand Cannon.esp
[53]     MarksmansMistress.esp
[54]     UniquePAFrames.esp
[55]     M2045MagnumRevolverRifle.esp
[56]     SubmersiblePowerArmorRedux.esp
[57]     SKKMobileWorkshop.esp
[58]     AQUILA.esp
[59]     Quad_Accelerator.esp
[5A]     FCaB - Accelerator - Basic.esp
[5B]     AlienAssaultRifle.esp
[5C]     AngeliPowerarmor.esp
[5D]     SelectShotgun.esp
[5E]     M6Magnum.esp
[5F]     Enclave-X02.esp
[60]     Liberty_PA.esp
[61]     M2Agency.esp
[62]     X12Plasmacaster.esp
[63]     GaussRevolver.esp
[64]     ExcavatorPA.esp
[65]     UnionBlaster.esp
[66]     InstitutePowerArmor.esp
[67]     GIAT_FAMAS.esp
[68]     Archimedes-II.esp
[69]     PD_LowerWeapon.esp
[6A]     FCaB - Aquila - Overhaul.esp
[6B]     BNPA_NAVI Armor.esp
[6C]     FunctionalDisplays.esp
[6D]     FCaB - Break-Action Laser - Overhaul.esp
[6E]     CROSS_GoreCrits.esp
[6F]     CROSS_RugerMkV.esp
[70]     ChineseSuitBuffs.esp
[71]     CartographersMapMarkers FarHarbor.esp
[72]     CartographersMapMarkers NukaWorld.esp
[73]     cartman1975_concrete-glass.esp
[74]     KSHairdos.esp
[75]     CrossbowPatch.esp
[76]     LooksMenu Customization Compendium.esp
[77]     EnclaveX02.esp
[78]     XIVFBlade.esp
[79]     Factor.esp
[7A]     FatherCompanion.esp
[7B]     Fusion Core Charging.esp
[7C]     FCaB - Glock86(esp) - Basic.esp
[7D]     FCaB - HK G11 - Overhaul.esp
[7E]     Hellfirenew.esp
[7F]     DarkerNights.esp
[80]     InstitWeapPosit.esp
[81]     TrueGrass.esp
[82]     M72GaussRifle.esp
[83]     MAID_by_Justice.esp
[84]     KSHairdos_oel.esp
[85]     SSEX.esp
[86]     LenA_RadMorphing.esp
[87]     move that workbench!.esp
[88]     CarryWeight25Strength.esp
[89]     CarryWeight300.esp
[8A]     NoRailRoadBallisticWeaveCPL.esp
[8B]     OCDecorator.esp
[8C]     OCDecoratorDLC.esp
[8D]     FCaB - Officers Revolver - Overhaul.esp
[8E]     ESPExplorerFO4.esp
[8F]     PowerArmorHoarder.esp
[90]     Professional Ammo Crafting.esp
[91]     pulsecarbine.esp
[92]     QuickTrade.esp
[93]     REP-01Plasma.esp
[94]     LenARM_Trigger_Rads.esp
[95]     Relight.esp
[96]     P220.esp
[97]     Scrounger DLC Fix.esp
[98]     TakeCover.esp
[99]     ScytheofMadness.esp
[9A]     Sporty Underwear.esp
[9B]     VisibleCompanionAffinity.esp
[9C]     FCaB - Wattz Laser Gun - Basic.esp
[9D]     WorkshopPlus.esp
