[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     ArmorKeywords.esm
[0A]     XDI.esm
[0B]     TCDeyes.esp
[0C]     SettlementKeywords.esm
[0D]     EthreonMasterPlan.esm
[0E]     Retro_Style.esm
[0F]     ProjectMojave.esm
[10]     CWWorkshopMaster.esm
[11]     Homemaker.esm
[12]     HUDFramework.esm
[13]     Armament.esp
[14]     Pip2000MkVi_Replacer.esp
[15]     FOLIP - After Generation.esp
[16]     F4NVRechargerWeapons.esp
[17]     DogmeatsManyFacesNewVegasEdition.esp
[18]     VIS-G Item Sorting.esp
[19]     CruiseShipWreck.esp
[1A]     Grasslands - Healthy.esp
[1B]     Splash of Pine Trees.esp
[1C]     Be Exceptional.esp
[1D]     VAFS Redux.esp
[1E]     The Eyes Of Beauty.esp
[1F]     KSHairdos.esp
[20]     NukaWorldPlus.esp
[21]     commonwealthdepository.esp
[22]     Rebuilt_SunshineTidings.esp
[23]     Ketaros_Treasures.esp
[24]     frogs345CombinedWeaponMods.esp
[25]     MojaveImports.esp
[26]     Depravity.esp
[27]     BoS_PA_Overhaul.esp
[28]     CombatZoneRestored.esp
[29]     America Rising - A Tale of the Enclave.esp
[2A]     Eli_Armour_Compendium.esp
[2B]     ECO.esp
[2C]     Eli_MarlboroughHouse.esp
[2D]     GeneralMaxRubbleRemover.esp
[2E]     NEST_BUNKER_PROJECT.esp
[2F]     RRTV_GoodneighborCondo.esp
[30]     WastelandCodex.esp
[31]     Vertibird Faction Paint Schemes.esp
[32]     CAPP.esp
[33]     Eli_Chestnut Lodge DLC.esp
[34]     AmazingFollowerTweaks.esp
[35]     NightstrikerCreatureMod.esp
[36]     PlaneWreck.esp
[37]     CheatTerminal.esp
[38]     APC_Mobile_Base_v1.3.esp
[39]     PollutedClimate.esp
[3A]     Gas Masks of the Wasteland.esp
[3B]     PrivateContract.esp
[3C]     Eli_Rockin Red Rocket.esp
[3D]     Cyber-Light Apartments.esp
[3E]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[3F]     Backpacks of the Commonwealth.esp
[40]     Skb_RiflesRebirth.esp
[41]     More Vertibird Crash Sites.esp
[42]     Gas Mask NPC.esp
[43]     SovietPowerArmor.esp
[44]     Glock86.esp
[45]     NVUMP.esp
[46]     DOOMMerged.esp
[47]     Eli_Sanctuary Bunker.esp
[48]     Eli_Hangman's Home.esp
[49]     powerarmort49.esp
[4A]     ChineseRemnants.esp
[4B]     Ketaros_World.esp
[4C]     LimaOutpost.esp
[4D]     ChinaLakeandHolorifle.esp
[4E]     Ketaros_MissingMags.esp
[4F]     9mmPistol.esp
[50]     Rangergearnew.esp
[51]     WattzLaserGun.esp
[52]     WestTek.esp
[53]     WestTekTacticalOptics.esp
[54]     CAPA.esp
[55]     Midwest Power Armor Evolution.esp
[56]     ellen.esp
[57]     Eli_BunkerSafehouse.esp
[58]     ClassicSniper.esp
[59]     FOLON-StandaloneReleaser.esp
[5A]     DP_CaravanShotgun.esp
[5B]     SigSauer127.esp
[5C]     127mmSMG.esp
[5D]     RU556.esp
[5E]     RU556Armouryprojectv3.esp
[5F]     Mk41GyrojetHMG.esp
[60]     F4NVServiceRifleRedux.esp
[61]     HandmadeRevolver.esp
[62]     3dscopes.esp
[63]     MoreUniques.esp
[64]     LAER.esp
[65]     CWCreateABot.esp
[66]     M1Garand.esp
[67]     llamaCompanionHeatherv2.esp
[68]     Miami Misadventures EP1.esp
[69]     VarmintRifle.esp
[6A]     STREETSWEEPER.esp
[6B]     HuntingShotgun.esp
[6C]     Glock19x.esp
[6D]     LeeEnfieldNo4MkI.esp
[6E]     BullpupBozar.esp
[6F]     officersRevolver.esp
[70]     MiamiEnclave.esp
[71]     Enclave-X02.esp
[72]     RemingtonNewArmy.esp
[73]     Extended weapon mods.esp
[74]     GreaseGunSMG.esp
[75]     45autoPistol.esp
[76]     EnclaveUniform.esp
[77]     ClassicEnclavePA.esp
[78]     DesertEagleNV.esp
[79]     HuntingRevolver.esp
[7A]     TCD.esp
[7B]     OCDecorator.esp
[7C]     RealComics.esp
[7D]     PipeShotgun.esp
[7E]     OWCaD.esp
[7F]     OCDecoratorDLC.esp
[80]     MW Basilisk.esp
[81]     NukaWorldRifleClassicStock.esp
[82]     Altyn Assault Helmet.esp
[83]     ECV_RemnantsArmor.esp
[84]     dinomore.esp
[85]     GCM.esp
[86]     GunnerHitSquad.esp
[87]     CompanionStatus.esp
[88]     Deeper Thoughts - Expressive Curie.esp
[89]     WmkActiveEffects.esp
[8A]     AnimChemRedux.esp
[8B]     Locksmith.esp
[8C]     HoloTime.esp
[8D]     ngh_FO1_PA.esp
[8E]     Eli_Pride.esp
[8F]     Eli_Pride2023.esp
[90]     CigaretteInMouth.esp
[91]     Bozar.esp
[92]     Scopes.esp
[93]     3dscopes-framework.esp
[94]     Take and Equip.esp
[95]     th1nkEyebot.esp
[96]     th1nkEyeBot-FarHarbor.esp
[97]     Animals and Feral Ghouls Can't Open Doors WIP 0.0.2.esp
[98]     LooksMenu Customization Compendium.esp
[99]     LooksMirror.esp
[9A]     VisibleCompanionAffinity.esp
[9B]     FO4Hotkeys.esp
[9C]     NaiSynthProstheticArm.esp
[9D]     CROSS_Cybernetics.esp
[9E]     D.E.C.A.Y.esp
[9F]     DLCWeaponsinCW.esp
[A0]     Eli_Display Shelves.esp
[A1]     DOOMThatGun.esp
[A2]     EnclaveX02.esp
