[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     Unofficial Fallout 4 Patch.esp
[09]     WorkshopFramework.esm
[0A]     SS2.esm
[0B]     SS2_XPAC_Chapter2.esm
[0C]     DCGuard_Overhaul.esp
[0D]     Fallout 4 Fixes.esm
[0E]     XDI.esm
[0F]     HUDFramework.esm
[10]     ShieldFramework.esm
[11]     CUPAPP.esm
[12]     TrueStormsFO4.esm
[13]     InstituteTechnologyOverhaul.esm
[14]     TacticalReload.esm
[15]     TheSewers.esm
[16]     SouthOfTheSea.esm
[17]     CROSS_CosmeticFramework.esm
[18]     Vault4.esp
[19]     SS2Extended.esp
[1A]     CreationClubDelay.esp
[1B]     GCM.esp
[1C]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[1D]     CheatTerminal.esp
[1E]     FO4Hotkeys.esp
[1F]     HVSG_LLInjector.esp
[20]     RespecHolotape.esp
[21]     Search&DestroyFixed.esp
[22]     PhotoMode.esp
[23]     Nuka World Bottle Fix.esp
[24]     Immersive HUD.esp
[25]     Scopes.esp
[26]     Realistic_conversations.esp
[27]     ImmersiveGenericDialogues.esp
[28]     IcebreakerCDO-Piper.esp
[29]     RustDevilRedux.esp
[2A]     Elzee Human Grab Attacks.esp
[2B]     JJNickValentineRepairKits.esp
[2C]     Perk Up.esp
[2D]     Better Power Armor - Redux.esp
[2E]     X01Light.esp
[2F]     FarHarborStory.esp
[30]     llamaCompanionHeatherv2.esp
[31]     BetterCompanions.esp
[32]     NoSharedDogmeatTemplate.esp
[33]     Dogmeat  A True Companion Normal.esp
[34]     Archimedes-II.esp
[35]     GaussRevolver.esp
[36]     HuntingRevolver.esp
[37]     Cranky.esp
[38]     HandmadeRevolver.esp
[39]     DP_CaravanShotgun.esp
[3A]     Pig1887Munitions.esp
[3B]     F4NVServiceRifleRedux.esp
[3C]     WeaponModFixes-GOTY.esp
[3D]     RiotShotgun.esp
[3E]     3dscopes.esp
[3F]     [ETH]ShieldIntegrationProject.esp
[40]     M1918nv.esp
[41]     AER15.esp
[42]     Assault Rifle Reanimated.esp
[43]     CombinedArmsNV.esp
[44]     CombinedArmsEXPack.esp
[45]     CrudeBlowback.esp
[46]     G3Family.esp
[47]     GIAT_FAMAS.esp
[48]     Glock19x.esp
[49]     GS Lever Action Shotgun.esp
[4A]     HK_MP5.esp
[4B]     HK_UMP.esp
[4C]     InstituteTechnologyOverhaul - FULL.esp
[4D]     LAER.esp
[4E]     M203.esp
[4F]     M2Agency.esp
[50]     Mk41GyrojetHMG.esp
[51]     Mossberg500.esp
[52]     MP7.esp
[53]     PKMnv.esp
[54]     Remington700.esp
[55]     RemingtonM11.esp
[56]     Type_56_AK47_M70.esp
[57]     Wana_SA58.esp
[58]     HandmadeSMG.esp
[59]     InstitWeapPosit.esp
[5A]     AVBPipeGunsReplace.esp
[5B]     F4NVServiceRifleRedux_TacticalReloadPatch.esp
[5C]     WD_44.esp
[5D]     SelectShotgun.esp
[5E]     PD_LowerWeapon.esp
[5F]     CROSS_Uni_Scarf.esp
[60]     WestTekTacticalOptics.esp
[61]     Tactical Flashlights.esp
[62]     CROSS_Cybernetics.esp
[63]     Mercenary.esp
[64]     ScavengedMercGear.esp
[65]     PowerArmorLite.esp
[66]     Military Gorka Suit.esp
[67]     Galac-TactREDUX.esp
[68]     Backpacks of the Commonwealth.esp
[69]     Metro Gas Masks.esp
[6A]     Altyn Assault Helmet.esp
[6B]     AVBHandmadeHazmat.esp
[6C]     R97R Camo Power Armor Skins.esp
[6D]     T47R_PA.esp
[6E]     SynthPA.esp
[6F]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[70]     GreaseRatGarbs.esp
[71]     SuperMutantRedux.esp
[72]     AVBGuns.esp
[73]     ImprovedBoSRedux.esp
[74]     ImprovedBoSRedux-Uniforms.esp
[75]     GhoulBlood.esp
[76]     [ARRETH] FGEP.esp
[77]     W.A.T.Minutemen.esp
[78]     FO4 NPCs Travel.esp
[79]     CommonwealthChooksAndBunnies.esp
[7A]     DeadlierDeathclaws.esp
[7B]     VisibleCompanionAffinity.esp
[7C]     RRTV_CommonwealthRoadMap-RedRocket.esp
[7D]     SettlementMenuManager.esp
[7E]     BasementLiving.esp
[7F]     SS2-PraRandomAddon.esp
[80]     SS2WastelandVenturers.esp
[81]     SS2_ruined_simsettlement_addonpack.esp
[82]     Boston Natural Surroundings.esp
[83]     Better Landscape Grass.esp
[84]     TrueGrass.esp
[85]     DT_MercOutfitPack.esp
[86]     GP5.esp
[87]     DT_GunnerOutfitPack.esp
[88]     DTG_LeveledListIntegration.esp
[89]     AnimatedCandles.esp
[8A]     DarkerNights.esp
[8B]     Institute Patch for PRC.esp
[8C]     Hunkered Down.esp
[8D]     Hunkered Down-Settlements.esp
[8E]     RRTV_OverbossHideaway.esp
[8F]     RRTV_FizztopGrilleEnhancements.esp
[90]     goodneighborhotel.esp
[91]     GoodneighborExpanded.esp
[92]     Eli_FahabaShack.esp
[93]     RRTV_CourierStations.esp
[94]     RRTV_HomesAndBunkers_Coastal.esp
[95]     RRTV_EdenCinemaHome.esp
[96]     Eli_BunkerSafehouse.esp
[97]     RRTV_Outcast_Hideout_Home.esp
[98]     RRTV_HomesAndBunkers_Somerville.esp
[99]     RRTV_UndergroundHideout_Redux.esp
[9A]     Vault-Tec Workshop Overhaul.esp
[9B]     Relight.esp
[9C]     RRTV_SubwaySafehouse.esp
