XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x000068790000
X3DAudio1_7.dll               0x0000689B0000
NSI.dll                       0x01DEF2C80000
BakaScrapHeap.dll             0x01DEF51A0000
Fallout4.exe                  0x7FF677690000
Buffout4.dll                  0x7FF8844B0000
steamclient64.dll             0x7FF884F70000
gameoverlayrenderer64.dll     0x7FF894B70000
OPENGL32.dll                  0x7FF8A50C0000
medal-hook64.dll              0x7FF8A6920000
nvspcap64.dll                 0x7FF8BFF60000
ResampleDmo.DLL               0x7FF8C09E0000
DSOUND.DLL                    0x7FF8C0AA0000
msdmo.dll                     0x7FF8C1F60000
d3d12.dll                     0x7FF8D99E0000
XAudio2_7.dll                 0x7FF8E3BA0000
MessageBus.dll                0x7FF8EA070000
HighFPSPhysicsFix.dll         0x7FF8ECC30000
textinputframework.dll        0x7FF8EF270000
Windows.UI.dll                0x7FF8F12B0000
Secur32.dll                   0x7FF8F57C0000
MSVCP140.dll                  0x7FF8F6BC0000
comctl32.dll                  0x7FF8F74D0000
GLU32.dll                     0x7FF8F84C0000
f4se_1_10_163.dll             0x7FF8F85C0000
AUDIOSES.DLL                  0x7FF8F8C20000
nvwgf2umx.dll                 0x7FF8F9DF0000
nvapi64.dll                   0x7FF8FFD50000
VCRUNTIME140.dll              0x7FF901A80000
OneCoreCommonProxyStub.dll    0x7FF903B10000
winmmbase.dll                 0x7FF905AA0000
MMDevApi.dll                  0x7FF9084F0000
nvldumdx.dll                  0x7FF908D50000
dbghelp.dll                   0x7FF908E10000
drvstore.dll                  0x7FF909790000
OneCoreUAPCommonProxyStub.dll 0x7FF909BA0000
cryptnet.dll                  0x7FF90A730000
VERSION.dll                   0x7FF90A770000
tier0_s64.dll                 0x7FF90BEA0000
vstdlib_s64.dll               0x7FF90C040000
f4se_steam_loader.dll         0x7FF90C100000
cudart64_75.dll               0x7FF90C140000
GFSDK_GodraysLib.x64.dll      0x7FF90C1A0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF90C200000
flexRelease_x64.dll           0x7FF90C470000
MSVCR110.dll                  0x7FF90C5C0000
flexExtRelease_x64.dll        0x7FF90C970000
MSVCP110.dll                  0x7FF90CA40000
bink2w64.dll                  0x7FF90CAF0000
dhcpcsvc.DLL                  0x7FF90DBB0000
CoreUIComponents.dll          0x7FF90DBF0000
WINMM.dll                     0x7FF90DF60000
WINHTTP.dll                   0x7FF90E420000
directxdatabasehelper.dll     0x7FF90E650000
avrt.dll                      0x7FF90E990000
VCRUNTIME140_1.dll            0x7FF90FDC0000
d3d11.dll                     0x7FF9112A0000
dcomp.dll                     0x7FF911530000
CoreMessaging.dll             0x7FF911BD0000
nvToolsExt64_1.dll            0x7FF911F80000
apphelp.dll                   0x7FF912510000
uxtheme.dll                   0x7FF912950000
dxgi.dll                      0x7FF912AC0000
dwmapi.dll                    0x7FF912BD0000
dxcore.dll                    0x7FF912C40000
resourcepolicyclient.dll      0x7FF912EE0000
wintypes.dll                  0x7FF9132E0000
windows.storage.dll           0x7FF913420000
HID.DLL                       0x7FF913CF0000
IPHLPAPI.DLL                  0x7FF913FC0000
UMPDC.dll                     0x7FF914310000
powrprof.dll                  0x7FF914330000
rsaenh.dll                    0x7FF9144D0000
kernel.appcore.dll            0x7FF914510000
ntmarta.dll                   0x7FF914580000
SSPICLI.DLL                   0x7FF9147D0000
MSWSOCK.dll                   0x7FF9149E0000
CRYPTSP.dll                   0x7FF914C60000
CRYPTBASE.DLL                 0x7FF914C80000
wldp.dll                      0x7FF914D30000
bcrypt.dll                    0x7FF914E20000
msasn1.dll                    0x7FF915110000
devobj.dll                    0x7FF915130000
cfgmgr32.dll                  0x7FF915160000
profapi.dll                   0x7FF9153A0000
gdi32full.dll                 0x7FF915470000
bcryptPrimitives.dll          0x7FF915590000
win32u.dll                    0x7FF915610000
wintrust.dll                  0x7FF915640000
KERNELBASE.dll                0x7FF9156B0000
msvcp_win.dll                 0x7FF915A60000
ucrtbase.dll                  0x7FF915B00000
CRYPT32.dll                   0x7FF915C20000
MSCTF.dll                     0x7FF915FE0000
sechost.dll                   0x7FF916110000
ADVAPI32.dll                  0x7FF9161C0000
combase.dll                   0x7FF916270000
SHELL32.dll                   0x7FF916690000
imagehlp.dll                  0x7FF916E90000
SETUPAPI.dll                  0x7FF916EB0000
msvcrt.dll                    0x7FF917340000
USER32.dll                    0x7FF9173F0000
shlwapi.dll                   0x7FF9175A0000
GDI32.dll                     0x7FF917680000
WS2_32.dll                    0x7FF9176B0000
ole32.dll                     0x7FF917740000
KERNEL32.DLL                  0x7FF9178E0000
PSAPI.DLL                     0x7FF9179B0000
clbcatq.dll                   0x7FF9179C0000
SHCORE.dll                    0x7FF917A70000
OLEAUT32.dll                  0x7FF917BC0000
RPCRT4.dll                    0x7FF917D10000
IMM32.DLL                     0x7FF917FF0000
ntdll.dll                     0x7FF918070000
