XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000052900000
steam_api64.dll                    0x000052910000
WhoseQuestIsItAnywayF4.dll         0x025579E50000
MSCTF.dll                          0x02562D190000
Fallout4.exe                       0x7FF6A48D0000
nvcuda64.dll                       0x7FFD35310000
NvCamera64.dll                     0x7FFD35CB0000
steamclient64.dll                  0x7FFD36510000
d3dcompiler_47_64.dll              0x7FFD406D0000
XAudio2_7.dll                      0x7FFD41730000
gameoverlayrenderer64.dll          0x7FFD417C0000
SUP_F4SE.dll                       0x7FFD43E00000
wsfw_identifier.dll                0x7FFD447C0000
Buffout4.dll                       0x7FFD448C0000
RobCo_Patcher.dll                  0x7FFD44F30000
po3_SpellPerkItemDistributorF4.dll 0x7FFD45000000
NVIDIA_Reflex.dll                  0x7FFD55000000
BakaScrapHeap.dll                  0x7FFD550D0000
IPHLPAPI.DLL                       0x7FFD551A0000
RememberPickAngleUpdated.dll       0x7FFD5FBA0000
XDI.dll                            0x7FFD60CC0000
tier0_s64.dll                      0x7FFD61260000
nvspcap64.dll                      0x7FFD6C460000
DINPUT8.dll                        0x7FFD6C910000
f4se_1_10_163.dll                  0x7FFD6C9C0000
PowerGridTools.dll                 0x7FFD6E330000
mcm.dll                            0x7FFD6E5C0000
place.dll                          0x7FFD6F770000
UnlimitedSurvivalMode.dll          0x7FFD6FAE0000
UneducatedShooter.dll              0x7FFD74400000
RefLookup.dll                      0x7FFD74FF0000
HighFPSPhysicsFix.dll              0x7FFD76500000
vstdlib_s64.dll                    0x7FFD76590000
Interior-NavCut-Fix.dll            0x7FFD79210000
MessageBus.dll                     0x7FFD7BE70000
gdiplus.dll                        0x7FFD7C870000
FloatingDamage.dll                 0x7FFD7FDA0000
ClassicHolsteredWeapons.dll        0x7FFD80E50000
BulletCountedReload.dll            0x7FFD80F60000
flexRelease_x64.dll                0x7FFD80FF0000
MSVCR110.dll                       0x7FFD81140000
crafting_highlight_fix.dll         0x7FFD81530000
PriorityMod.dll                    0x7FFD81850000
cudart64_75.dll                    0x7FFD82B90000
achievements.dll                   0x7FFD84000000
GFSDK_SSAO_D3D11.win64.dll         0x7FFD84040000
GFSDK_GodraysLib.x64.dll           0x7FFD84310000
flexExtRelease_x64.dll             0x7FFD843E0000
DSOUND.DLL                         0x7FFD84ED0000
WINSPOOL.DRV                       0x7FFD883A0000
encounter_zone_recalculation.dll   0x7FFD888D0000
MSVCP110.dll                       0x7FFD889D0000
Secur32.dll                        0x7FFD8B1D0000
VCRUNTIME140_1.dll                 0x7FFD8CBB0000
MSVCP140.dll                       0x7FFD8CBC0000
VCRUNTIME140.dll                   0x7FFD8CC50000
COMCTL32.dll                       0x7FFD8CDB0000
MessageBus.dll                     0x7FFD8D240000
nvwgf2umx.dll                      0x7FFD8F650000
nvapi64.dll                        0x7FFD95240000
inputhost.dll                      0x7FFD96110000
textinputframework.dll             0x7FFD96290000
bink2w64.dll                       0x7FFD963E0000
Windows.UI.dll                     0x7FFD964D0000
f4se_steam_loader.dll              0x7FFD96A70000
WININET.dll                        0x7FFD984D0000
winmmbase.dll                      0x7FFD991F0000
WeaponDebrisCrashFix.dll           0x7FFD992B0000
SprintStutteringFix.dll            0x7FFD99990000
WINMM.dll                          0x7FFD9B020000
nvldumdx.dll                       0x7FFD9B0E0000
MSIMG32.dll                        0x7FFD9BD60000
NoScrollwheelPOVChange.dll         0x7FFD9BF70000
DbgHelp.dll                        0x7FFD9C7A0000
dxcore.dll                         0x7FFD9CA60000
drvstore.dll                       0x7FFD9D4F0000
cryptnet.dll                       0x7FFD9D780000
VERSION.dll                        0x7FFD9E580000
WINHTTP.dll                        0x7FFD9E920000
dhcpcsvc.DLL                       0x7FFD9FC60000
MMDevApi.dll                       0x7FFDA00E0000
AUDIOSES.DLL                       0x7FFDA01D0000
WindowsCodecs.dll                  0x7FFDA0360000
twinapi.appcore.dll                0x7FFDA0610000
WindowManagementAPI.dll            0x7FFDA0950000
avrt.dll                           0x7FFDA1660000
PROPSYS.dll                        0x7FFDA1A30000
d3d11.dll                          0x7FFDA1BB0000
wintypes.dll                       0x7FFDA2990000
CoreUIComponents.dll               0x7FFDA3070000
CoreMessaging.dll                  0x7FFDA33D0000
XINPUT9_1_0.dll                    0x7FFDA36B0000
nvToolsExt64_1.dll                 0x7FFDA36C0000
apphelp.dll                        0x7FFDA3720000
UxTheme.dll                        0x7FFDA38D0000
resourcepolicyclient.dll           0x7FFDA39B0000
dwmapi.dll                         0x7FFDA3BC0000
kernel.appcore.dll                 0x7FFDA3DA0000
windows.storage.dll                0x7FFDA3FA0000
HID.DLL                            0x7FFDA4740000
dxgi.dll                           0x7FFDA4780000
rsaenh.dll                         0x7FFDA4F20000
ntmarta.dll                        0x7FFDA5040000
UMPDC.dll                          0x7FFDA52F0000
IpHlpAPI.dll                       0x7FFDA5310000
powrprof.dll                       0x7FFDA5430000
MSWSOCK.dll                        0x7FFDA5670000
CRYPTSP.dll                        0x7FFDA5860000
CRYPTBASE.DLL                      0x7FFDA5880000
Wldp.dll                           0x7FFDA5910000
msasn1.dll                         0x7FFDA5AA0000
devobj.dll                         0x7FFDA5C60000
SSPICLI.DLL                        0x7FFDA5DB0000
profapi.dll                        0x7FFDA5E00000
bcryptPrimitives.dll               0x7FFDA5ED0000
WINTRUST.DLL                       0x7FFDA5F60000
bcrypt.dll                         0x7FFDA5FD0000
win32u.dll                         0x7FFDA6000000
cfgmgr32.dll                       0x7FFDA60E0000
KERNELBASE.dll                     0x7FFDA6130000
msvcp_win.dll                      0x7FFDA6430000
CRYPT32.dll                        0x7FFDA64D0000
gdi32full.dll                      0x7FFDA6630000
ucrtbase.dll                       0x7FFDA6750000
ADVAPI32.dll                       0x7FFDA6850000
USER32.dll                         0x7FFDA6BF0000
combase.dll                        0x7FFDA6D90000
NSI.dll                            0x7FFDA70F0000
PSAPI.DLL                          0x7FFDA7100000
KERNEL32.DLL                       0x7FFDA7110000
ole32.dll                          0x7FFDA71D0000
clbcatq.dll                        0x7FFDA7300000
shcore.dll                         0x7FFDA73B0000
sechost.dll                        0x7FFDA7460000
imagehlp.dll                       0x7FFDA7500000
SHLWAPI.dll                        0x7FFDA7530000
SHELL32.dll                        0x7FFDA7590000
GDI32.dll                          0x7FFDA7D70000
COMDLG32.dll                       0x7FFDA7DA0000
msvcrt.dll                         0x7FFDA7E80000
RPCRT4.dll                         0x7FFDA7F20000
SETUPAPI.dll                       0x7FFDA8170000
WS2_32.dll                         0x7FFDA85E0000
IMM32.DLL                          0x7FFDA8650000
OLEAUT32.dll                       0x7FFDA8680000
ntdll.dll                          0x7FFDA87F0000
