XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x000068680000
d3d11.dll                   0x000180000000
BakaScrapHeap.dll           0x018E00010000
RTSSHooks64.dll             0x018E64FC0000
clbcatq.dll                 0x018E714A0000
Fallout4.exe                0x7FF62A170000
nvwgf2umx.dll               0x7FFA56F60000
d3dcompiler_42.dll          0x7FFA6C670000
nvcuda64.dll                0x7FFA6C8F0000
NvCamera64.dll              0x7FFA6D2B0000
XAudio2_7.dll               0x7FFA773F0000
d3dcompiler_47_64.dll       0x7FFA77480000
d3dx11_42.dll               0x7FFA77D30000
nvspcap64.dll               0x7FFA79E80000
d3dcompiler_46e.dll         0x7FFA7AE20000
nvldumdx.dll                0x7FFA7BBD0000
XDI.dll                     0x7FFA7BC90000
wsfw_identifier.dll         0x7FFA7BD00000
ShadowBoostFO4.dll          0x7FFA7BE00000
IPHLPAPI.DLL                0x7FFA7BED0000
PowerGridTools.dll          0x7FFA7D1A0000
Buffout4.dll                0x7FFA7D210000
DINPUT8.dll                 0x7FFA7DC80000
mcm.dll                     0x7FFA7DCD0000
HighFPSPhysicsFix.dll       0x7FFA7DD70000
f4ee.dll                    0x7FFA7DE00000
ClassicHolsteredWeapons.dll 0x7FFA7EA60000
D3DCOMPILER_43.dll          0x7FFA7EB10000
place.dll                   0x7FFA825B0000
f4se_1_10_163.dll           0x7FFA82700000
lootman.dll                 0x7FFA86B90000
flexRelease_x64.dll         0x7FFA86C00000
MSVCR110.dll                0x7FFA87300000
steam_api64.dll             0x7FFA873E0000
f4pm.dll                    0x7FFA87630000
UnlimitedFastTravel.dll     0x7FFA87810000
cbp.dll                     0x7FFA87860000
MSVCP110.dll                0x7FFA87AF0000
BetterConsole.dll           0x7FFA88750000
GFSDK_SSAO_D3D11.win64.dll  0x7FFA888C0000
cudart64_75.dll             0x7FFA8C030000
GFSDK_GodraysLib.x64.dll    0x7FFA8C770000
bink2w64.dll                0x7FFA99A50000
flexExtRelease_x64.dll      0x7FFA9A400000
d3dx11_43.dll               0x7FFA9C100000
ncryptsslp.dll              0x7FFA9E970000
xinput1_4.dll               0x7FFAA2860000
winmmbase.dll               0x7FFAA7BA0000
AUDIOSES.DLL                0x7FFAAB110000
webio.dll                   0x7FFAAB6C0000
inputhost.dll               0x7FFAB02F0000
MessageBus.dll              0x7FFAB2380000
msdmo.dll                   0x7FFAB2E70000
WeaponDebrisCrashFix.dll    0x7FFAB3B80000
PriorityMod.dll             0x7FFAB3C90000
WINSPOOL.DRV                0x7FFAB42C0000
COMCTL32.dll                0x7FFAB43B0000
textinputframework.dll      0x7FFAB58D0000
XINPUT9_1_0.dll             0x7FFAB5A30000
f4se_steam_loader.dll       0x7FFAB5A40000
Windows.UI.dll              0x7FFAB64D0000
MSVCP140.dll                0x7FFAB66E0000
VCRUNTIME140.dll            0x7FFAB6770000
MessageBus.dll              0x7FFAB6B30000
ResampleDmo.DLL             0x7FFAB7550000
