[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     XDI.esm
[09]     HUDFramework.esm
[0A]     ArmorKeywords.esm
[0B]     AAF.esm
[0C]     MutantMenagerie.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     SouthOfTheSea.esm
[0F]     ProjectMojave.esm
[10]     CWWorkshopMaster.esm
[11]     Companion Infinite Ammo and Unbreakable Power Armour.esm
[12]     TacticalReload.esm
[13]     a149 My Little Armor.esm
[14]     No Borders.esp
[15]     Diamond City Clean up Project.esp
[16]     A Forest.esp
[17]     FlaconOil_BA2_1K_Part1.esp
[18]     TrueGrass.esp
[19]     NiceBush.esp
[1A]     PiperCaitCurieDialogueOverhaul.esp
[1B]     RED.esp
[1C]     Better Locational Damage.esp
[1D]     BLD - Leveled Lists - DLC.esp
[1E]     MoreLeavesFX-EN.esp
[1F]     Phase4DLC.esp
[20]     RynsFallout4.esp
[21]     Foggy Rooms Defogged.esp
[22]     projectmojave-wolfes-expansion_beta.esp
[23]     Ketaros_Treasures.esp
[24]     SuperMutantRedux.esp
[25]     OutcastsAndRemnants.esp
[26]     CrimeTown.esp
[27]     AnimatedCandles.esp
[28]     Cyberman.esp
[29]     DiamondNewVendors.esp
[2A]     SC-SanctuaryCrash-redux.esp
[2B]     PAC.esp
[2C]     America Rising - A Tale of the Enclave.esp
[2D]     BetterCoastalWaves.esp
[2E]     Eli_Armour_Compendium.esp
[2F]     DeadlierDeathclaws.esp
[30]     AA FusionCityRising.esp
[31]     MoreOutfitVariations.esp
[32]     MegaExplosions_x2.esp
[33]     Reverb and Ambiance Overhaul.esp
[34]     jsrs.esp
[35]     W.A.T.Minutemen.esp
[36]     GhoulBlood.esp
[37]     kobold.esp
[38]     Reinforcements.esp
[39]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[3A]     Backpacks of the Commonwealth.esp
[3B]     Flashy_Infestations.esp
[3C]     Zetan.esp
[3D]     Teddies 76.esp
[3E]     SovietPowerArmor.esp
[3F]     InGameCollectibleMaps.esp
[40]     NAC.esp
[41]     MisriahArmory.esp
[42]     MisriahArmory_TacticalReloadPatch.esp
[43]     FlaconOil_BA2_1K_Part3.esp
[44]     Mark V[B] Redux.esp
[45]     ProjectValkyrie.esp
[46]     UltracitePA.esp
[47]     LilyCompanion.esp
[48]     MjolnirMKVB.esp
[49]     Noble Team Companions.esp
[4A]     CSEPBIARedux.esp
[4B]     JK_IonCannon.esp
[4C]     Zenit.esp
[4D]     noveskeRecceL.esp
[4E]     VD_SIGMCXVirtus.esp
[4F]     MWIIM4.esp
[50]     MWIIChimera.esp
[51]     MK18.esp
[52]     CazadorML.esp
[53]     Winters_FJX-Imperium.esp
[54]     T47R_PA.esp
[55]     AER15.esp
[56]     Midwest Power Armor Evolution.esp
[57]     CWCreateABot.esp
[58]     VisibleWeapons.esp
[59]     llamaCompanionHeatherv2.esp
[5A]     SKDuke.esp
[5B]     VisibleWeaponsOnPacks.esp
[5C]     Pip-Boy Flashlight.esp
[5D]     TacticalTablet.esp
[5E]     ZellaHairDye.esp
[5F]     00LK_MW2019_SAS_Companions.esp
[60]     FO4 NPCs Travel.esp
[61]     EnclaveUniform.esp
[62]     Bruen Bullpup Family.esp
[63]     Explosive Plasma Projectiles.esp
[64]     AQUILA.esp
[65]     AutomatronClaptrap.esp
[66]     BLD - AI Tweaks.esp
[67]     IWProtag.esp
[68]     IWJackal.esp
[69]     IWStryker.esp
[6A]     BZW_COD_Ghost_Jawbone.esp
[6B]     BOCW Outfit Pack.esp
[6C]     US_Rangers.esp
[6D]     Glowing Animals Emit Light.esp
[6E]     Better Locational Damage - DLC_WWorkshop.esp
[6F]     Better Perks.esp
[70]     Better VATS - 0.75.esp
[71]     MyCart_Biohazard.esp
[72]     CBBE.esp
[73]     Casio_W59.esp
[74]     Cinematographic fog effect - Heavy.esp
[75]     BZW_Chris_Redfield.esp
[76]     ClassicGhoulRace2022.esp
[77]     C_VWAS.esp
[78]     KSHairdos.esp
[79]     XM2010_SniperRifle_by_tooun.esp
[7A]     RPD.esp
[7B]     WeightlessAmmoForSurvival.esp
[7C]     Weapons of Fate.esp
[7D]     FnScar.esp
[7E]     3dscopes-replacer.esp
[7F]     Cyberpunk 2077 Malorian Animations.esp
[80]     MWM4.esp
[81]     Winters_ISO-Hemlock.esp
[82]     M9A3.esp
[83]     Schotel22.esp
[84]     RemingtonM11.esp
[85]     G36Complex.esp
[86]     UZK50gi.esp
[87]     SR2.esp
[88]     KrissVector.esp
[89]     HKUSP9mm.esp
[8A]     Companion_BloodRose.esp
[8B]     Live Action Handy.esp
[8C]     CompRedo.esp
[8D]     CriticalFX.esp
[8E]     Crows&Creatures_V1.esp
[8F]     Delta.esp
[90]     Guards.esp
[91]     DoubleBarrelReloadRedone.esp
[92]     DlxClothesPack.esp
[93]     JSSynths.esp
[94]     E3PC.esp
[95]     Inst_Exoskeleton_R-20.esp
[96]     ECV_RemnantsArmor.esp
[97]     [ETH]EthnetsMeleeSounds.esp
[98]     EnclaveX02.esp
[99]     FIS-Naming-Weap-Armo-EN.esp
[9A]     Falcon3.esp
[9B]     Factor.esp
[9C]     Cyberpunk Falcon3.esp
[9D]     [ARRETH] FGEP.esp
[9E]     [ARR] Hunter Beta.esp
[9F]     [ARR] FallEvil - Zombie Dogs REVisited.esp
[A0]     [ARR] FallEvil - Mega Zombie Pack.esp
