XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000061C00000
steam_api64.dll                    0x000061C10000
d3d11.dll                          0x000180000000
ALR.dll                            0x0194CC710000
BakaFramework.dll                  0x0194CC890000
LL_fourPlay_1_10_163.dll           0x0194D2A40000
wsfw_identifier.dll                0x0194D4500000
Fallout4.exe                       0x7FF61E260000
D3DCOMPILER_43.dll                 0x7FFA9C1F0000
steamclient64.dll                  0x7FFAA1C40000
d3dcompiler_46e.dll                0x7FFAA3860000
gameoverlayrenderer64.dll          0x7FFAA8580000
IPHLPAPI.DLL                       0x7FFAA8710000
SUP_F4SE.dll                       0x7FFAA9030000
ResampleDmo.DLL                    0x7FFAA9610000
DSOUND.DLL                         0x7FFAA96D0000
XDI.dll                            0x7FFAA9780000
WmkActiveEffects.dll               0x7FFAA9CA0000
PRKF.dll                           0x7FFAA9D20000
PowerGridTools.dll                 0x7FFAAA5C0000
po3_SpellPerkItemDistributorF4.dll 0x7FFAAA630000
place.dll                          0x7FFAAA740000
Buffout4.dll                       0x7FFAAA7C0000
mcm.dll                            0x7FFAAB780000
hudextension.dll                   0x7FFAAB820000
HighFPSPhysicsFix.dll              0x7FFAAB9D0000
Ghoulification.dll                 0x7FFAABCB0000
f4ee.dll                           0x7FFAABD10000
ESPExplorer.dll                    0x7FFAAF3F0000
flexRelease_x64.dll                0x7FFAAFBD0000
winmmbase.dll                      0x7FFAB02B0000
ClassicHolsteredWeapons.dll        0x7FFAB0310000
cudart64_75.dll                    0x7FFAB03C0000
d3dx11_43.dll                      0x7FFAB06C0000
MSVCR110.dll                       0x7FFAB0A10000
GFSDK_GodraysLib.x64.dll           0x7FFAB7390000
GFSDK_SSAO_D3D11.win64.dll         0x7FFAB7F40000
flexExtRelease_x64.dll             0x7FFABFA20000
usvfs_x64.dll                      0x7FFABFBD0000
crafting_highlight_fix.dll         0x7FFABFD80000
BulletCountedReload.dll            0x7FFABFDD0000
BakaScrapHeap.dll                  0x7FFABFE60000
f4se_1_10_163.dll                  0x7FFAC00A0000
tier0_s64.dll                      0x7FFAC0180000
XAudio2_7.dll                      0x7FFAC0AA0000
MSVCP110.dll                       0x7FFAC0B30000
bink2w64.dll                       0x7FFAC0BE0000
vstdlib_s64.dll                    0x7FFAC0E00000
ClockWidget.dll                    0x7FFAC3AF0000
ExtraItemInfo.dll                  0x7FFAC3F80000
COMCTL32.dll                       0x7FFAC5160000
gdiplus.dll                        0x7FFAC5F20000
WININET.dll                        0x7FFAC69B0000
MSVCP140.dll                       0x7FFACC5A0000
VCRUNTIME140_1.dll                 0x7FFACC6C0000
VCRUNTIME140.dll                   0x7FFACC6D0000
Secur32.dll                        0x7FFACE1B0000
enbhelperf4.dll                    0x7FFACE340000
