XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000536A0000
steam_api64.dll               0x0000536B0000
d3d11.dll                     0x000180000000
LL_fourPlay_1_10_163.dll      0x026885410000
RTSSHooks64.dll               0x0268879E0000
Fallout4.exe                  0x7FF6EACD0000
nvcuda64.dll                  0x7FFCEECB0000
d3dcompiler_47_64.dll         0x7FFCF12E0000
NvCamera64.dll                0x7FFCF1AB0000
d3dcompiler_46e.dll           0x7FFCF2370000
steamclient64.dll             0x7FFCF3210000
gameoverlayrenderer64.dll     0x7FFCF73E0000
wsfw_identifier.dll           0x7FFCF7570000
XAudio2_7.dll                 0x7FFCF91F0000
transfer_settlements.dll      0x7FFCF93F0000
terminal+.dll                 0x7FFCFA0D0000
Buffout4.dll                  0x7FFCFA220000
XDI.dll                       0x7FFCFB680000
auto_backup_executable.dll    0x7FFCFFFD0000
NVIDIA_Reflex.dll             0x7FFD00B70000
mcm.dll                       0x7FFD00C40000
HighFPSPhysicsFix.dll         0x7FFD01650000
D3DCOMPILER_43.dll            0x7FFD016E0000
tier0_s64.dll                 0x7FFD01DB0000
IPHLPAPI.DLL                  0x7FFD01F50000
nvspcap64.dll                 0x7FFD230C0000
PowerGridTools.dll            0x7FFD25F50000
HHS.dll                       0x7FFD25FC0000
F4z Ro D'oh.dll               0x7FFD266B0000
f4ee.dll                      0x7FFD27490000
cbp.dll                       0x7FFD28950000
dxgi.dll                      0x7FFD29040000
flexRelease_x64.dll           0x7FFD29360000
f4se_1_10_163.dll             0x7FFD29560000
DINPUT8.dll                   0x7FFD2A360000
vstdlib_s64.dll               0x7FFD2A3B0000
BetterConsole.dll             0x7FFD2C5A0000
cudart64_75.dll               0x7FFD2DB30000
enbhelperf4.dll               0x7FFD2DCF0000
MSVCR110.dll                  0x7FFD2DD30000
f4se_steam_loader.dll         0x7FFD2F220000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD2F320000
MSVCP110.dll                  0x7FFD30510000
bink2w64.dll                  0x7FFD31470000
GFSDK_GodraysLib.x64.dll      0x7FFD31B10000
flexExtRelease_x64.dll        0x7FFD31C50000
d3dx11_43.dll                 0x7FFD37830000
winmmbase.dll                 0x7FFD38DC0000
WeaponDebrisCrashFix.dll      0x7FFD3BC40000
ondemandconnroutehelper.dll   0x7FFD3BD90000
Windows.UI.dll                0x7FFD42440000
mskeyprotect.dll              0x7FFD43230000
ncryptsslp.dll                0x7FFD433A0000
inputhost.dll                 0x7FFD434C0000
textinputframework.dll        0x7FFD44340000
WININET.dll                   0x7FFD45520000
OneCoreCommonProxyStub.dll    0x7FFD45A00000
XINPUT9_1_0.dll               0x7FFD483D0000
MessageBus.dll                0x7FFD48740000
nvwgf2umx.dll                 0x7FFD4AF20000
DbgHelp.dll                   0x7FFD528A0000
MpOav.dll                     0x7FFD530A0000
amsi.dll                      0x7FFD53120000
WINMM.dll                     0x7FFD535C0000
Secur32.dll                   0x7FFD55650000
iertutil.dll                  0x7FFD568A0000
srvcli.dll                    0x7FFD56B60000
urlmon.dll                    0x7FFD570E0000
MessageBus.dll                0x7FFD572D0000
MSVCP140.dll                  0x7FFD58640000
VCRUNTIME140_1.dll            0x7FFD587A0000
VCRUNTIME140.dll              0x7FFD587B0000
COMCTL32.dll                  0x7FFD58A40000
WINSPOOL.DRV                  0x7FFD58CE0000
MSIMG32.dll                   0x7FFD58F30000
wbemsvc.dll                   0x7FFD59500000
fastprox.dll                  0x7FFD59520000
webio.dll                     0x7FFD59A00000
nvapi64.dll                   0x7FFD59B30000
nvldumdx.dll                  0x7FFD5A2E0000
wbemcomn.dll                  0x7FFD5A3B0000
wbemprox.dll                  0x7FFD5A770000
fwpuclnt.dll                  0x7FFD5A7B0000
dxcore.dll                    0x7FFD5AE10000
rasadhlp.dll                  0x7FFD5B880000
OneCoreUAPCommonProxyStub.dll 0x7FFD5B8A0000
WINHTTP.dll                   0x7FFD5C990000
drvstore.dll                  0x7FFD5D7C0000
cryptnet.dll                  0x7FFD5D950000
MMDevApi.dll                  0x7FFD5D9B0000
AUDIOSES.DLL                  0x7FFD5DEC0000
WindowsCodecs.dll             0x7FFD5E0C0000
dhcpcsvc.DLL                  0x7FFD5E340000
twinapi.appcore.dll           0x7FFD5E360000
dhcpcsvc6.DLL                 0x7FFD5E660000
WindowManagementAPI.dll       0x7FFD5E700000
VERSION.dll                   0x7FFD5EF20000
WINNSI.DLL                    0x7FFD5EF30000
DSOUND.DLL                    0x7FFD5F7D0000
avrt.dll                      0x7FFD5FB20000
PROPSYS.dll                   0x7FFD60890000
nvToolsExt64_1.dll            0x7FFD60A50000
d3d11.dll                     0x7FFD616C0000
wintypes.dll                  0x7FFD61D90000
dcomp.dll                     0x7FFD61EF0000
CoreUIComponents.dll          0x7FFD62460000
CoreMessaging.dll             0x7FFD627C0000
