XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006E980000
steam_api64.dll                    0x00006E990000
d3d11.dll                          0x000180000000
clbcatq.dll                        0x018206B50000
LL_fourPlay_1_10_163.dll           0x0182275C0000
Fallout4.exe                       0x7FF609750000
steamclient64.dll                  0x7FFD9A3E0000
nvcuda64.dll                       0x7FFDA0FD0000
d3dcompiler_47_64.dll              0x7FFDA1BA0000
NvCamera64.dll                     0x7FFDA1FB0000
d3dcompiler_46e.dll                0x7FFDA2820000
Buffout4.dll                       0x7FFDA2BE0000
gameoverlayrenderer64.dll          0x7FFDADE20000
nvspcap64.dll                      0x7FFDBD790000
po3_SpellPerkItemDistributorF4.dll 0x7FFDBE490000
IPHLPAPI.DLL                       0x7FFDC0700000
po3_BaseObjectSwapperF4.dll        0x7FFDC6690000
BLD_Helper.dll                     0x7FFDC67A0000
HHS.dll                            0x7FFDC6C40000
D3DCOMPILER_43.dll                 0x7FFDC6D30000
tier0_s64.dll                      0x7FFDC73D0000
XAudio2_7.dll                      0x7FFDCAC50000
f4ee.dll                           0x7FFDCB4C0000
BakaFramework.dll                  0x7FFDCD0F0000
flexRelease_x64.dll                0x7FFDCF7D0000
f4se_1_10_163.dll                  0x7FFDCFB60000
DINPUT8.dll                        0x7FFDD0CC0000
vstdlib_s64.dll                    0x7FFDD0D10000
mcm.dll                            0x7FFDD1180000
ClassicHolsteredWeapons.dll        0x7FFDD2DD0000
MSVCR110.dll                       0x7FFDD41A0000
BulletCountedReload.dll            0x7FFDD4480000
XDI.dll                            0x7FFDD4550000
UneducatedShooter.dll              0x7FFDD50E0000
MSVCP110.dll                       0x7FFDD5EB0000
TullFramework.dll                  0x7FFDD92B0000
ncryptsslp.dll                     0x7FFDE0F90000
GFSDK_SSAO_D3D11.win64.dll         0x7FFDE1FE0000
f4pm.dll                           0x7FFDE2230000
Windows.UI.dll                     0x7FFDE3BF0000
OneCoreCommonProxyStub.dll         0x7FFDE51B0000
mskeyprotect.dll                   0x7FFDE5600000
bink2w64.dll                       0x7FFDE5910000
cudart64_75.dll                    0x7FFDE6CD0000
DSOUND.DLL                         0x7FFDE6D30000
GFSDK_GodraysLib.x64.dll           0x7FFDE6E10000
SeamlessInspect.dll                0x7FFDE73A0000
ESPExplorer.dll                    0x7FFDE74F0000
flexExtRelease_x64.dll             0x7FFDE8860000
enbhelperf4.dll                    0x7FFDEBD00000
MessageBus.dll                     0x7FFDEC2F0000
MSVCP140.dll                       0x7FFDECAC0000
Secur32.dll                        0x7FFDECFD0000
d3dx11_43.dll                      0x7FFDEE2D0000
MessageBus.dll                     0x7FFDEE760000
VCRUNTIME140_1.dll                 0x7FFDEEF90000
VCRUNTIME140.dll                   0x7FFDEEFA0000
textinputframework.dll             0x7FFDEF3A0000
f4se_steam_loader.dll              0x7FFDEF620000
inputhost.dll                      0x7FFDEFC40000
nvwgf2umx.dll                      0x7FFDF19D0000
wbemcomn.dll                       0x7FFDF78B0000
nvapi64.dll                        0x7FFDF7940000
winmmbase.dll                      0x7FFDF9A20000
WINSPOOL.DRV                       0x7FFDFA850000
COMCTL32.dll                       0x7FFDFA8F0000
DbgHelp.dll                        0x7FFDFBB40000
XINPUT9_1_0.dll                    0x7FFDFD2F0000
webio.dll                          0x7FFDFD710000
MpOav.dll                          0x7FFDFD7B0000
amsi.dll                           0x7FFDFD830000
WINMM.dll                          0x7FFDFDAF0000
wbemsvc.dll                        0x7FFDFDB50000
nvToolsExt64_1.dll                 0x7FFDFDBD0000
fastprox.dll                       0x7FFDFDDA0000
fwpuclnt.dll                       0x7FFDFE8F0000
rasadhlp.dll                       0x7FFDFE9E0000
nvldumdx.dll                       0x7FFDFE9F0000
dxcore.dll                         0x7FFDFEBF0000
MSIMG32.dll                        0x7FFDFEC50000
wbemprox.dll                       0x7FFDFECC0000
OneCoreUAPCommonProxyStub.dll      0x7FFDFED10000
WINHTTP.dll                        0x7FFDFFF80000
MMDevApi.dll                       0x7FFE00610000
drvstore.dll                       0x7FFE006E0000
AUDIOSES.DLL                       0x7FFE00830000
cryptnet.dll                       0x7FFE009C0000
VERSION.dll                        0x7FFE00E70000
WindowsCodecs.dll                  0x7FFE00ED0000
twinapi.appcore.dll                0x7FFE01090000
dhcpcsvc.DLL                       0x7FFE01350000
dhcpcsvc6.DLL                      0x7FFE01370000
WINNSI.DLL                         0x7FFE013E0000
WindowManagementAPI.dll            0x7FFE01450000
avrt.dll                           0x7FFE019C0000
PROPSYS.dll                        0x7FFE02A50000
d3d11.dll                          0x7FFE03660000
wintypes.dll                       0x7FFE03E90000
dcomp.dll                          0x7FFE03FF0000
CoreUIComponents.dll               0x7FFE04560000
CoreMessaging.dll                  0x7FFE048C0000
UxTheme.dll                        0x7FFE04C00000
resourcepolicyclient.dll           0x7FFE04DD0000
dwmapi.dll                         0x7FFE04ED0000
kernel.appcore.dll                 0x7FFE051C0000
windows.storage.dll                0x7FFE053C0000
HID.DLL                            0x7FFE05B60000
dxgi.dll                           0x7FFE05BA0000
schannel.DLL                       0x7FFE06260000
rsaenh.dll                         0x7FFE06340000
ntmarta.dll                        0x7FFE06460000
UMPDC.dll                          0x7FFE06710000
IpHlpAPI.dll                       0x7FFE06730000
DNSAPI.dll                         0x7FFE06780000
powrprof.dll                       0x7FFE06850000
MSWSOCK.dll                        0x7FFE06A90000
CRYPTBASE.DLL                      0x7FFE06C80000
CRYPTSP.dll                        0x7FFE06C90000
Wldp.dll                           0x7FFE06D30000
NTASN1.dll                         0x7FFE06D60000
ncrypt.dll                         0x7FFE06DA0000
msasn1.dll                         0x7FFE06EC0000
devobj.dll                         0x7FFE07080000
DPAPI.DLL                          0x7FFE070E0000
SSPICLI.DLL                        0x7FFE071A0000
USERENV.dll                        0x7FFE071E0000
profapi.dll                        0x7FFE07220000
gdi32full.dll                      0x7FFE072F0000
bcrypt.dll                         0x7FFE07410000
KERNELBASE.dll                     0x7FFE07440000
wintrust.dll                       0x7FFE07740000
msvcp_win.dll                      0x7FFE07860000
win32u.dll                         0x7FFE07900000
CRYPT32.dll                        0x7FFE07930000
bcryptPrimitives.dll               0x7FFE07A90000
cfgmgr32.dll                       0x7FFE07B20000
ucrtbase.dll                       0x7FFE07B70000
OLEAUT32.dll                       0x7FFE07D10000
KERNEL32.DLL                       0x7FFE07DE0000
imagehlp.dll                       0x7FFE07EA0000
sechost.dll                        0x7FFE07EC0000
SHELL32.dll                        0x7FFE07F60000
NSI.dll                            0x7FFE086B0000
SHLWAPI.dll                        0x7FFE08720000
RPCRT4.dll                         0x7FFE08780000
SETUPAPI.dll                       0x7FFE088B0000
IMM32.DLL                          0x7FFE08D20000
USER32.dll                         0x7FFE09010000
combase.dll                        0x7FFE091B0000
shcore.dll                         0x7FFE09590000
WS2_32.dll                         0x7FFE09640000
COMDLG32.dll                       0x7FFE096B0000
msvcrt.dll                         0x7FFE09790000
GDI32.dll                          0x7FFE09830000
PSAPI.DLL                          0x7FFE09860000
ole32.dll                          0x7FFE09870000
MSCTF.dll                          0x7FFE099A0000
ADVAPI32.dll                       0x7FFE09B20000
ntdll.dll                          0x7FFE09C10000
